tickNumber,in27,B14,B11,cn12,B54,B51,os4,in4,B33,sh10,in22,
78,,,,,|67_78_4_29_,,,,,,,
79,,,,,,,,,,,,
80,,,,,,,,,,,|77_80_10_33_,
81,,,,,,,|79_81_6_34_,,,,,
82,,,,,,,,,,|80_82_9_35_,,
83,,,,,,,|81_83_6_36_,,,,,
84,,,,,,,,,,|82_84_9_37_,,
85,,,,,,,,,,,,
86,,,,,,,,,,,|83_86_10_38_,
87,,,,,,,,,,,,
88,,,,,,,,,,,,
89,,,,,,,,,,|87_89_9_40_,,
90,,,,,,,,,,,,
91,,,,,,,,,,,,
92,,,,,,,,,,,|89_92_10_41_,
93,,,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,,,,|94_96_9_43_,,
97,,,,,|84_97_4_39_,,|97_97_6_46_,,,,,
98,,,,,,,,,,,,
99,,,,,,,,,,,,
100,,,,,,,,,,|98_100_9_47_,,
101,,,,,,,|99_101_6_48_,,,,,
102,,,,,,,,,,,,
103,,,,,|90_103_4_42_,,,,,|101_103_9_49_,,
104,,,,,,,,,,,,
105,,,,,,,,,,,,
106,,,,,,,,,,,,
107,,,,,,,,,,,,
108,,,,,,,,,,,,
109,,,,,|95_109_4_44_,,,,,,,
110,,,,,|96_110_4_45_,,,,,|108_110_9_53_,,
111,,,,,,,,,,,,
112,,,,,,,|109_112_6_54_,,,,|111_112_10_55_,
113,,,,,,,,,,,,
114,,,,,,,,,,,,
115,,,,,,,,,,,|114_115_10_57_,
116,,,,,,,,,,,,
117,,,,,,,,,,,,
118,,,,,|103_118_4_50_,,,,,,,
119,,,,,,,|116_119_6_58_,,,,,
120,,,,,,,,,,,,
121,,,,,|106_121_4_51_,,,,,,|120_121_10_60_,
122,,,,,|107_122_4_52_,,,,,,,
123,,,,,,,,,,,,
124,,,,,,,,,,,,
125,,,,,,,|122_125_6_61_,,,,,
126,,,,,,,|123_126_6_62_,,,,,
127,,,,,,,|124_127_6_63_,,,,,
128,,,,,,,,,,,,
129,,,,,|113_129_4_56_,,,,,,,
130,,,,,,,|127_130_6_64_,,,,,
131,,,,,,,,,,,,
132,,,,,,,,,,,,
133,,,,,,,|130_133_6_65_,,,|131_133_9_66_,,
134,,,,,,,,,,,,
135,,,,,|118_135_4_59_,,,,,,,
136,,,,,,,,,,,,
137,,,,,,,,,,,,
138,,,,,,,,,,,,
139,,,,,,,,,,,,
140,,,,,,,,,,,,
141,,,,,,,,,,,,
142,,,,,,,,,,,,
143,,,,,,,,,,,,
144,,,,,,,|141_144_6_68_,,,,,
145,,,,,,,,,,,|144_145_10_69_,
146,,,,,,,,,,,,
147,,,,,,,,,,,,
148,,,,,,,|145_148_6_70_,,,,,
149,,,,,,,,,,,,
150,,,,,,,,,,,,
151,,,,,,,,,,,,
152,,,,,|133_152_4_67_,,,,,,,
153,,,,,,,|153_153_6_73_,,,,,
154,,,,,,,,,,,|151_154_10_72_,
155,,,,,,,,,,,,
156,,,,,,,,,,,,
157,,,,,,,,,,,,
158,,,,,,,,,,,,
159,,,,,,,|157_159_6_75_,,,,,
160,,,,,,,,,,,,
161,,,,,,,,,,,|158_161_10_76_,
162,,,,,,,,,,,|159_162_10_77_,
163,,,,,,,,,,,,
164,,,,,,,,,,,,
165,,,,,,,,,,,,
166,,,,,,,,,,,,
167,,,,,,,,,,,,
168,,,,,,,,,,,,
169,,,,,,,,,,,,
170,,,,,|150_170_4_71_,,,,,,,
171,,,,,,,,,,,,
172,,,,,,,,,,,|169_172_10_80_,
173,,,,,,,,,,,,
174,,,,,|154_174_4_74_,,,,,,,
175,,,,,,,,,,|173_175_9_81_,,
176,,,,,,,,,,,,
177,,,,,,,,,,,,
178,,,,,,,|178_178_6_85_,,,,,
179,,,,,,,,,,,,
180,,,,,,,,,,,|174_180_10_82_,
181,,,,,,,,,,|179_181_9_86_,,
182,,,,,,,,,,,,
183,,,,,,,,,,,,
184,,,,,,,,,,,,
185,,,,,,,,,,,,
186,,,,,|165_186_4_78_,,,,,,,
187,,,,,,,,,,|185_187_9_89_,,
188,,,,,,,,,,,,
189,,,,,|167_189_4_79_,,,,,,,
190,,,,,,,,,,,,
191,,,,,,,,,,,,
192,,,,,,,|190_192_6_90_,,,,,
193,,,,,,,,,,,,
194,,,,,,,,,,,,
195,,,,,,,|193_195_6_92_,,,,,
196,,,,,,,,,,,,
197,,,,,,,|195_197_6_94_,,,,,
198,,,,,|175_198_4_83_,,|192_198_6_91_,,,,,
199,,,,,,,,,,,,
200,,,,,|177_200_4_84_,,,,,,,
201,,,,,,,|199_201_6_97_,,,,,
202,,,,,,,|200_202_6_98_,,,,,
203,,,,,,,|198_203_6_96_,,,,,
204,,,,,,,,,,,,
205,,,,,|182_205_4_87_,,|203_205_6_100_,,,,|202_205_10_99_,
206,,,,,,,,,,,,
207,,,,,|183_207_4_88_,,,,,,,
208,,,,,,,|206_208_6_102_,,,,,
209,,,,,,,,,,,,
210,,,,,,,,,,,,
211,,,,,,,,,,,,
212,,,,,,,|207_212_6_103_,,,,,
213,,,,,,,,,,|211_213_9_104_,,
214,,,,,,,,,,,,
215,,,,,|194_215_4_93_,,,,,,,
216,,,,,,,,,,,,
217,,,,,,,,,,,,
218,,,,,,,,,,,,
219,,,,,,,,,,,,
220,,,,,,,|218_220_6_108_,,,,,
221,,,,,,,,,,,,
222,,,,,|197_222_4_95_,,,,,,,
223,,,,,,,,,,,,
224,,,,,,,,,,,,
225,,,,,,,,,,,,
226,,,,,,,,,,,,
227,,,,,,,,,,,|224_227_10_110_,
228,,,,,,,,,,,,
229,,,,,,,,,,,,
230,,,,,|204_230_4_101_,,|225_230_6_111_,,,,,
231,,,,,,,,,,,|228_231_10_113_,
232,,,,,,,,,,|230_232_9_115_,,
233,,,,,,,,,,,,
234,,,,,,,,,,,,
235,,,,,,,,,,,,
236,,,,,,,,,,|234_236_9_116_,,
237,,,,,,,,,,,,
238,,,,,,,,,,,,
239,,,,,|212_239_4_105_,,,,,,,
240,,,,,,,|235_240_6_117_,,,,,
241,,,,,,,,,,,,
242,,,,,,,|237_242_6_118_,,,,,
243,,,,,|217_243_4_107_,,,,,,|240_243_10_119_,
244,,,,,|216_244_4_106_,,,,,,|241_244_10_120_,
245,,,,,,,,,,,,
246,,,,,,,,,,,,
247,,,,,,,,,,,,
248,,,,,|220_248_4_109_,,,,,,,
249,,,,,,,,,,,|246_249_10_122_,
250,,,,,,,,,,,,
251,,,,,,,,,,,,
252,,,,,,,,,,,,
253,,,,,,,,,,|251_253_9_123_,,
254,,,,,,,,,,,,
255,,,,,,,,,,,,
256,,,,,|227_256_4_112_,,,,,,,
257,,,,,,,,,,,|255_257_10_126_,
258,,,,,|229_258_4_114_,,,,,,|256_258_10_127_,
259,,,,,,,,,,,,
260,,,,,,,,,,,|258_260_10_128_,
261,,,,,,,,,,,,
262,,,,,,,,,,,,
263,,,,,,,,,,,,
264,,,,,,,,,,,,
265,,,,,,,,,,,,
266,,,,,,,,,,,,
267,,,,,,,|264_267_6_129_,,,,,
268,,,,,,,,,,,,
269,,,,,,,,,,,,
270,,,,,,,,,,|268_270_9_130_,,
271,,,,,,,,,,,,
272,,,,,,,,,,,,
273,,,,,,,|273_273_6_132_,,,,,
274,,,,,,,,,,,,
275,,,,,,,,,,,,
276,,,,,|245_276_4_121_,,,,,,,
277,,,,,,,,,,,|275_277_10_133_,
278,,,,,,,,,,,,
279,,,,,,,,,,,|277_279_10_134_,
280,,,,,,,,,,,,
281,,,,,,,,,,,,
282,,,,,,,,,,,,
283,,,,,,,,,,,,
284,,,,,|252_284_4_124_,,|284_284_6_137_,,,,,
285,,,,,|253_285_4_125_,,,,,,,
286,,,,,,,,,,,,
287,,,,,,,|287_287_6_138_,,,,,
288,,,,,,,,,,,,
289,,,,,,,,,,,,
290,,,,,,,,,,|288_290_9_139_,,
291,,,,,,,,,,,,
292,,,,,,,,,,,,
293,,,,,,,,,,|291_293_9_140_,,
294,,,,,,,,,,,|292_294_10_141_,
295,,,,,,,,,,,,
296,,,,,,,,,,,|294_296_10_143_,
297,,,,,,,,,,,,
298,,,,,,,,,,,,
299,,,,,,,,,,|297_299_9_146_,,
300,,,,,,,,,,|298_300_9_147_,,
301,,,,,,,,,,,,
302,,,,,,,,,,,,
303,,,,,,,,,,,,
304,,,,,,,,,,,,
305,,,,,|271_305_4_131_,,|302_305_6_149_,,,,,
306,,,,,,,,,,|304_306_9_150_,,
307,,,,,|307_307_4_152_,,,,,,,
308,,,,,,,|308_308_6_153_,,,,,
309,,,,,,,|306_309_6_151_,,,,,
310,,,,,,,,,,,,
311,,,,,,,,,,,,
312,,,,,,,,,,,,
313,,,,,|278_313_4_135_,,,,,,,
314,,,,,,,,,,,,
315,,,,,,,,,,,,
316,,,,,,,,,,,,
317,,,,,,,,,,,,
318,,|315_318_1_155_,,,,,,,,,,
319,,,,,|283_319_4_136_,,,,,|317_319_9_157_,,
320,,,,,,,,,,,,
321,,,,,,,,,,|319_321_9_158_,,
322,,,,,,,,,,,,
323,,,,,,,,,,,,
324,,,,,,,,,,,,
325,,,,,,,,,,,,
326,,,,,,,,,,,,
327,,|323_327_1_160_,,,,,,,,,|325_327_10_162_,
328,,,,,,,,,,,,
329,,,,,,,,,,,,
330,,|324_330_1_161_|326_330_1_163_,,,,,,,,,,
331,,,,,,,,,,,,
332,,|293_332_1_142_,,,|295_332_4_144_,,,,,,,
333,,,,,|296_333_4_145_,,,,,,,
334,,,,,,,,,,,,
335,,,,,,,,,,,,
336,,|331_336_1_165_,,,,,|334_336_6_167_,,,,|333_336_10_166_,
337,,,,,|299_337_4_148_,,,,,,,
338,,,,,,,,,,,,
339,,,,,,,,,,,|336_339_10_168_,
340,,,,,,,,,,,,
341,,,,,,,,,,,,
342,,,,,,,,,,,,
343,,,,,,,,,,,|340_343_10_170_,
344,,,,,|313_344_4_154_,,,,,,,
345,,|339_345_1_169_,,,,,,,,,,
346,,,,,,,,,,,,
347,,,,,,,,,,,,
348,,,,,,,,,,|346_348_9_171_,,
349,,,,,,,|347_349_6_172_,,,,,
350,,,,,,,,,,,,
351,,,,,,,,,,|349_351_9_173_,,
352,,,,,,,,,,,,
353,,,,,|316_353_4_156_|321_353_4_159_,,,,,|351_353_9_175_,,
354,,,,,,,,,,,,
355,,,,,,,|353_355_6_177_,,,,,
356,,,,,,,,,,,,
357,,|352_357_1_176_,,,,,|357_357_6_180_,,,,,
358,,,,,,,,,,|356_358_9_179_,,
359,,,,,,,,,,,,
360,,,,,,,,,,,,
361,,,,,,,|359_361_6_182_|361_361_6_184_,,,,|358_361_10_181_,
362,,,,,,,,,,,,
363,,,,,,,,,,,,
364,,,,,|360_364_4_183_,,|364_364_6_185_,,,,,
365,,,,,,,,,,,,
366,,,,,,,,,,,,
367,,,,,,,,,,|365_367_9_186_,,
368,,,,,,,,,,,,
369,,,,,|329_369_4_164_,,,,,,,
370,,,,,,,,,,|368_370_9_189_,|367_370_10_188_,
371,,,,,|366_371_4_187_,,|371_371_6_191_,,,,,
372,,,,,,,|370_372_6_190_,,,,,
373,,,,,,,,,,,,
374,,,,,,,,,,,,
375,,,,,,,,,,,,
376,,,,,,,,,,,,
377,,,,,,,,,,,,
378,,,,,,,,,,,,
379,,,,,,,,,,,,
380,,,,,,,,,,|378_380_9_193_,,
381,,,,,,,,,,,,
382,,,,,|377_382_4_192_,,,,,|380_382_9_194_,,
383,,,,,,,,,,,,
384,,,,,,,,,,,,
385,,,,,,,,,,,,
386,,,,,,,,,,,,
387,,,,,,,,,,,,
388,,,,,|384_388_4_195_,,|386_388_6_197_,,,,|385_388_10_196_,
389,,,,,,,,,,|387_389_9_198_,,
390,,,,,|350_390_4_174_,,,,,,,
391,,,,,,,,,,,,
392,,,,,|388_392_4_199_,,,,,,,
393,,,,,,,|391_393_6_201_,,,,,
394,,,,,|390_394_4_200_,,,,,,,
395,,,,,|355_395_4_178_,,,,,,,
396,,,,,,,,,,,,
397,,,,,,,,,,,,
398,,,,,,,,,,,,
399,,,,,,,,,,,,
400,,,,,,,,,,,,
401,,,,,,,,,,,,
402,,,,,,,,,,,,
403,,,,,,,,,,|399_403_9_204_,,
404,,,,,,,,,,,,
405,,,,,,,,,,,,
406,,,,,,,,,,,,
407,,,,,,,,,,,,
408,,,,,,,,,,,,
409,,,,,,,,,,,,
410,,,,,,,,,,|406_410_9_207_,,
411,,,,,,,,,,,,
412,,,,,,,,,,,,
413,,,,,,,,,,,|407_413_10_208_,
414,,,,,|392_414_4_202_,,,,,,,
415,,,,,,,,,,,,
416,,,,,,,,,,,,
417,,,,,|394_417_4_203_,,,,,,,
418,,,,,,,,,,,,
419,,,,,,,,,,,,
420,,,,,,,|415_420_6_212_,,,|416_420_9_213_,|414_420_10_211_,
421,,,,,,,,,,,,
422,,,,,,,|417_422_6_214_,,,,,
423,,,,,,,,,,,,
424,,,,,,,,,,,,
425,,,,,|401_425_4_205_,,,,,,,
426,,,,,|402_426_4_206_,,,,,,,
427,,,,,,,,,,,,
428,,,,,,,,,,,,
429,,,,,,,,,,,,
430,,,,,,,,,,,,
431,,,,,,,,,,,,
432,,,,,|408_432_4_209_,,,,,,|426_432_10_218_,
433,,,,,,,,,,|430_433_9_220_,,
434,,,,,,,,,,,,
435,,,,,|410_435_4_210_,,,,,|431_435_9_221_,,
436,,,,,,,,,,,,
437,,,,,,,,,,,,
438,,,,,,,,,,,,
439,,,,,,,,,,,,
440,,,,,,,,,,,|434_440_10_223_,
441,,,,,,,,,,,,
442,,,,,|422_442_4_215_,,,,,,,
443,,,,,,,|438_443_6_225_,,,,,
444,,,,,,,,,,,,
445,,,,,,,,,,,,
446,,,,,,,,,,,,
447,,,,,,,,,,,,
448,,,,,,,,,,,,
449,,,,,|423_449_4_216_,,,,,,,
450,,,,,|424_450_4_217_,,,,,,,
451,,,,,,,,,,,,
452,,,,,,,,,,,,
453,,,,,,,,,,,,
454,,,,,,,,,,,,
455,,,,,,,,,,,,
456,,,,,|429_456_4_219_,,,,,,,
457,,,,,,,,,,,|451_457_10_227_,
458,,,,,,,,,,,,
459,,,,,|432_459_4_222_,,,,,,,
460,,,,,,,|458_460_6_230_,,,|456_460_9_229_,,
461,,,,,,,,,,,,
462,,,,,,,,,,,,
463,,,,,|435_463_4_224_,,,,,,,
464,,,,,,,,,,,,
465,,,,,,,,,,,|459_465_10_231_,
466,,,,,,,,,,|462_466_9_233_,,
467,,,,,,,,,,,|461_467_10_232_,
468,,,,,,,,,,,,
469,,,,,,,|467_469_6_236_,,,,,
470,,,,,,,,,,,,
471,,,,,,,,,,,|466_471_10_235_,
472,,,,,,,,,,,,
473,,,,,,,,,,,,
474,,,,,,,,,,,,
475,,,,,,,,,,,,
476,,,,,|447_476_4_226_,,,,,,|470_476_10_237_,
477,,,,,,,,,,,|471_477_10_238_,
478,,,,,,,,,,,,
479,,,,,,,,,,,,
480,,,,,,,,,,,,
481,,,,,,,,,,|477_481_9_240_,,
482,,,,,,,,,,|478_482_9_241_,,
483,,,,,,,,,,|479_483_9_242_,,
484,,,,,,,,,,,,
485,,,,,|455_485_4_228_,,|480_485_6_243_,,,,,
486,,,,,,,,,,,,
487,,,,,,,,,,|483_487_9_245_,,
488,,,,,,,,,,,,
489,,,,,,,,,,,,
490,,,,,,,,,,,,
491,,,,,,,,,,,,
492,,,,,,,,,,,|486_492_10_246_,
493,,,,,,,|487_493_6_247_,,,,,
494,,,,,,,,,,,,
495,,,,,,,,,,,,
496,,,,,,,,,,,|490_496_10_250_,
497,,,,,|465_497_4_234_,,,,,,,
498,,,,,,,,,,,|493_498_10_251_,
499,,,,,,,,,,,,
500,,,,,,,,,,,,
501,,,,,,,|499_501_6_255_,,,,,
502,,,,,,,|496_502_6_252_,,,,,
503,,,,,,,,,,,,
504,,,,,,,|498_504_6_254_|502_504_6_256_,,,,,
505,,,,,,,,,,,,
506,,,,,,,,,,,,
507,,,,,|474_507_4_239_,,,,,,,
508,,,,,,,,,,,,
509,,,,,,,,,,,,
510,,,,,,,,,,,|507_510_10_258_,
511,,,,,,,,,,,,
512,,,,,,,,,,,,
513,,,,,,,,,,,,
514,,,,,,,|510_514_6_261_,,,,,
515,,,,,,,,,,,,
516,,,,,|482_516_4_244_,,,,,,,
517,,,,,,,,,,,|514_517_10_262_,
518,,,,,,,,,,,,
519,,,,,,,,,,,,
520,,,,,,,,,,,,
521,,,,,,,,,,|519_521_9_265_,,
522,,,,,|488_522_4_248_,,,,,,,
523,,,,,,,,,,,|520_523_10_266_,
524,,,,,|489_524_4_249_,,,,,|522_524_9_267_,,
525,,,,,,,,,,,,
526,,,,,,,,,,,|523_526_10_268_,
527,,,,,,,,,,,,
528,,,,,,,,,,,,
529,,,,,,,,,,,,
530,,,,,,,,,,|528_530_9_270_,,
531,,,,,,,,,,,,
532,,,,,|497_532_4_253_,,,,,,,
533,,,,,,,,,,,|530_533_10_271_,
534,,,,,,,,,,,,
535,,,,,,,,,,,,
536,,,,,,,,,,|534_536_9_274_,,
537,,,,,,,|535_537_6_275_,,,,,
538,,,,,,,|536_538_6_276_,,,,,
539,,,,,,,,,,,,
540,,,,,|504_540_4_257_,,,,,|538_540_9_278_,,
541,,,,,,,,,,,,
542,,,,,,,|537_542_6_277_,,,,,
543,,,,,,,,,,,,
544,,,,,,,,,,,,
545,,,,,|508_545_4_259_,,,,,,|542_545_10_281_,
546,,|541_546_1_280_,,,|509_546_4_260_,,,,,,,
547,,,,,,,,,,,,
548,,,,,,,,,,,,
549,,,,,,,|545_549_6_282_|547_549_6_284_,,,,,
550,,,,,,,|546_550_6_283_,,,,,
551,,,,,,,,,,,,
552,,,,,,,,,,|550_552_9_286_,,
553,,|548_553_1_285_,,,|515_553_4_263_,,,,,,,
554,,,,,|516_554_4_264_,,,,,,,
555,,,,,,,,,,,,
556,,,,,,,,,,,,
557,,,,,,,,,,,|554_557_10_287_,
558,,,,,,,,,,,,
559,,,,,,,,,,,,
560,,,,,,,,,,,|557_560_10_288_,
561,,,,,|526_561_4_269_,,,,,,,
562,,,,,,,,,,,,
563,,,,,,,,,,,,
564,,,,,,,,,,,,
565,,,,,,,|561_565_6_291_,,,,|562_565_10_292_,
566,,,,,,,,,,,,
567,,,,,,,|563_567_6_293_,,,,,
568,,,,,,,|564_568_6_294_,,,|566_568_9_295_,,
569,,,,,,,|567_569_6_296_,,,,,
570,,,,,,,,,,,,
571,,,,,|531_571_4_272_,,,,,,,
572,,,,,|532_572_4_273_,,,,,,,
573,,,,,,,,,,,,
574,,,,,,,,,,,|571_574_10_298_,
575,,,,,,,,,,,,
576,,,,,,,,,,|574_576_9_300_,,
577,,,,,,,,,,,,
578,,,,,,,,,,|576_578_9_301_,,
579,,,,,,,,,,,,
580,,,,,|540_580_4_279_,,,,,|578_580_9_302_,,
581,,,,,,,,,,,,
582,,,,,,,,,,,,
583,,,,,,,,,,,,
584,,,,,,,,,,|582_584_9_304_,,
585,,,,,,,,,,,,
586,,,,,,,,,,,,
587,,,,,,,,,,,|584_587_10_306_,
588,,,,,,,,,,,|585_588_10_307_,
589,,,,,,,,,,,,
590,,,,,,,,,,,,
591,,,,,,,,,,,,
592,,,,,,,,,,,,
593,,,,,,,|591_593_6_310_,,,,,
594,,,,,,,,,,,,
595,,,,,,,,,,,,
596,,,,,,,,,,,|593_596_10_311_,
597,,,,,,,,,,|595_597_9_312_,,
598,,,,,|558_598_4_289_,,,,,,,
599,,,,,,,,,,,,
600,,,,,|560_600_4_290_,,|598_600_6_314_,,,,,
601,,,,,,,,,,,,
602,,,,,,,,,,,,
603,,,,,,,|601_603_6_316_,,,,|600_603_10_315_,
604,,,,,,,,,,,,
605,,,,,,,,,,,|602_605_10_317_,
606,,,,,,,,,,,,
607,,,,,,,|605_607_6_319_,,,,,
608,,,,,,,,,,,,
609,,,,,|569_609_4_297_,,,,,,,
610,,,,,,,,,,,,
611,,,,,,,,,,,,
612,,,,,,,,,,,,
613,,,,,|573_613_4_299_,,|609_613_6_320_,,,,,
614,,,,,,,,,,,,
615,,,,,,,,,,,,
616,,,,,,,,,,,,
617,,,,,,,,,,,,
618,,,,,,,,,,,,
619,,,,,|579_619_4_303_,,|617_619_6_323_,,,,,
620,,,,,,,,,,,,
621,,,,,,,,,,|619_621_9_324_,,
622,,,,,,,,,,,,
623,,,,,|583_623_4_305_,,,,,,,
624,,,,,,,|622_624_6_326_,,,,|621_624_10_325_,
625,,,,,,,,,,,,
626,,,,,|586_626_4_308_,,,,,,,
627,,,,,,,,,,,,
628,,,,,,,,,,,,
629,,,,,,,,,,,,
630,,,,,|590_630_4_309_,,,,,,,
631,,,,,,,,,,,,
632,,,,,,,,,,,,
633,,,,,,,,,,,|630_633_10_330_,
634,,,,,,,|632_634_6_332_,,,,|631_634_10_331_,
635,,,,,,,,,,,,
636,,,,,|596_636_4_313_,,,,,,,
637,,,,,,,|635_637_6_334_,,,,,
638,,,,,,,,,,,,
639,,,,,,,,,,|637_639_9_336_,|636_639_10_335_,
640,,,,,,,,,,|638_640_9_337_,,
641,,,,,,,,,,|639_641_9_338_,,
642,,,,,,,,,,,,
643,,,,,,,,,,,,
644,,,,,|604_644_4_318_,,,,,,,
645,,,,,,,,,,,,
646,,,,,,,|642_646_6_339_,,,,,
647,,,,,,,,,,,,
648,,,,,,,,,,,|645_648_10_340_,
649,,,,,,,,,,,,
650,,,,,,,,,,,,
651,,,,,,,,,,,,
652,,,,,,,,,,|650_652_9_342_,,
653,,,,,,,,,,,,
654,,,,,|614_654_4_321_,,,,,,,
655,,,,,|615_655_4_322_,,,,,,,
656,,,,,,,|654_656_6_345_,,,,,
657,,,,,,,,,,,,
658,,,,,,,,,,,,
659,,,,,,,,,,,,
660,,,,,,,,,,,,
661,,,,,,,|659_661_6_348_,,,,,
662,,,,,,,,,,,,
663,,|623_663_1_327_,,,,,|661_663_6_350_,,,,|660_663_10_349_,
664,,,,,,,,,,,,
665,,,,,|625_665_4_328_,,,,,|663_665_9_351_,,
666,,,,,,,,,,,,
667,,,,,|627_667_4_329_,,,,,,,
668,,,,,,,,,,,|665_668_10_353_,
669,,,,,,,,,,,,
670,,,,,,,,,,,,
671,,,,,,,,,,,,
672,,,,,,,,,,,,
673,,|668_673_1_355_,,,|633_673_4_333_,,,,,,,
674,,,,,,,,,,,,
675,,,,,,,,,,,,
676,,,,,,,,,,|674_676_9_356_,,
677,,,,,,,,,,,,
678,,,,,,,,,,,,
679,,,,,,,,,,|677_679_9_357_,,
680,,,,,,,,,,,,
681,,,,,,,,,,,,
682,,,,,,,|680_682_6_359_,,,,|679_682_10_358_,
683,,,,,,,,,,|681_683_9_360_,,
684,,,,,,,,,,,,
685,,,,,,,,,,|683_685_9_362_,,
686,,,,,|646_686_4_341_,,,,,,,
687,,,,,,,,,,,,
688,,,,,,,,,,,,
689,,,,,,,,,,,,
690,,,,,,,,,,,,
691,,,,,|651_691_4_343_,,|689_691_6_363_,,,,,
692,,,,,,,,,,|690_692_9_364_,,
693,,,,,|653_693_4_344_,,,,,,,
694,,,,,,,,,,,,
695,,,,,|655_695_4_346_,,|693_695_6_366_,,,,,
696,,,,,,,,,,,,
697,,,,,,,,,,,,
698,,,,,|658_698_4_347_,,,,,,|695_698_10_367_,
699,,,,,,,,,,,|696_699_10_368_,
700,,,,,,,,,,,,
701,,,,,,,,,,|699_701_9_369_,,
702,,,,,,,,,,,,
703,,,,,,,,,,,,
704,,,,,|664_704_4_352_,,,,,,,
705,,,,,,,,,,,,
706,,,,,|666_706_4_354_,,,,,,,
707,,,,,,,,,,,,
708,,,,,,,,,,,,
709,,,,,,,,,,,,
710,,,,,,,,,,|708_710_9_371_,,
711,,,,,,,,,,,,
712,,,,,,,,,,,,
713,,,,,,,,,,,|710_713_10_372_,
714,,,,,,,,,,,,
715,,,,,,,,,,,,
716,,,,,,,,,,,|712_716_10_374_,
717,,,,,,,,,,,,
718,,,,,,,,,,,,
719,,,,,,,,,,,,
720,,,,,,,|716_720_6_376_,,,,,
721,,,,,,,,,,|719_721_9_378_,,
722,,,,,|682_722_4_361_,,|717_722_6_377_,,,,,
723,,,,,,,,,,,,
724,,,,,,,,,,,,
725,,,,,,,,,,,,
726,,,,,,,,,,,,
727,,,,,,,,,,,,
728,,,,,,,,,,,|725_728_10_379_,
729,,,,,,,,,,,,
730,,,,,,,,,,,,
731,,,,,,,,,,,|728_731_10_381_,
732,,,,,|692_732_4_365_,,,,,,,
733,,,,,,,,,,,,
734,,,,,,,,,,|733_734_9_382_,,
735,,,,,,,,,,,,
736,,,,,,,,,,,,
737,,,,,,,,,,|736_737_9_383_,,
738,,,,,,,,,,,,
739,,,,,,,,,,,,
740,,,,,,,,,,,,
741,,,,,,,,,,,,
742,,,,,,,,,,,,
743,,,,,,,,,,,|740_743_10_384_,
744,,,,,,,,,,,,
745,,,,,,,,,,,|743_745_10_385_,
746,,,,,|706_746_4_370_,,,,,,,
