tickNumber,in27,B14,B11,cn12,B54,B51,os4,in4,B33,
128,,,,,,,,,,
129,,,,,,,,,,
130,,,,,,,,,,
131,,,,,,,,,,
132,,,,,|115_132_4_55_,,,,,
133,,,,,|103_133_4_52_,,,,,
134,,,,,,,,,,
135,,,,,,,,,,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,|133_138_6_62_,,,
139,,,,,|121_139_4_57_,,,,,
140,,,,,,,,,|114_140_8_54_,
141,,,,,,,|136_141_6_64_,,,
142,,,,,,,,,,
143,,,,,,,,,,
144,,,,,,,,,,
145,,,,,|127_145_4_59_,,,,|145_145_8_67_,
146,,,,,,,,,,
147,,,,,|128_147_4_60_,,,,,
148,,,,,,,,,,
149,,,,,|130_149_4_61_,|148_149_5_68_,,,,
150,,,,,,,,,,
151,,,,,,,,,,
152,,,,,,,,,,
153,,,,,,,,,,
154,,,,,,,,,,
155,,,,,|135_155_4_63_,,,,,
156,,,,,,,,,,
157,,,|152_157_2_71_,,,,,,|157_157_8_74_,
158,,,,,|138_158_4_65_,,,,,
159,,,,,,,,,,
160,,,|155_160_2_73_,,,,,,,
161,,,,,|126_161_4_58_,,,,,
162,,|143_162_1_66_,,,,,,,,
163,,,,,,,,,,
164,,,,,,,,,,
165,,,,,|165_165_4_79_,,,,,
166,,,|161_166_2_77_,,,,,,|166_166_8_80_,
167,,,,,|160_167_4_76_,,,,,
168,,,,,,,,,,
169,,,,,,,|164_169_6_78_,,|169_169_8_83_,
170,,|158_170_1_75_,,,,,,,,
171,,,,,,,,,,
172,,,,,,,,,,
173,,,|167_173_2_81_,,,,,,,
174,,,,,,,,,,
175,,,,,,,,,,
176,,,,,|154_176_4_72_,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,,,,,,,,,|180_180_8_91_,
181,,,,,,|171_181_5_85_,|176_181_6_88_,,,
182,,,,,,,,,,
183,,,,,,,,,,
184,,,|179_184_2_90_,,,,,,,
185,,,,,,,,,,
186,,,,,|150_186_4_70_,|170_186_5_84_,,,,
187,,,,,,,,,,
188,,,,,,,,,,
189,,,,,|149_189_4_69_,,,,|175_189_8_87_,
190,,,,,,,,,,
191,,,,,,,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,|189_194_2_95_,,,,,,,
195,,,,,,,,,|195_195_8_99_,
196,,,,,,,,,,
197,,,|192_197_2_97_,,,,,,,
198,,,,,|174_198_4_86_,,,,|198_198_8_101_,
199,,,,,,|181_199_5_92_,,,|199_199_8_102_,
200,,,,,|190_200_4_96_,,,,,
201,,,|196_201_2_100_,,,,,,,
202,,,,,|177_202_4_89_,,,,,
203,,,,,,|168_203_5_82_,,,,
204,,,,,,,,,,
205,,,,,,,,,,
206,,,|201_206_2_103_,,,,,,,
207,,,,,,,,,,
208,,,,,,,,,,
209,,,,,,,,,,
210,,,,,,,,,,
211,,,,,,,,,,
212,,,,,,,,,,
213,,,,,,|188_213_5_94_,,,,
214,,,,,,,,,,
215,,,,,,,,,,
216,,,,,,,,,,
217,,,,,,,,,,
218,,,,,,,,,,
219,,,,,,,,,,
220,,,,,,,,,,
221,,,,,|182_221_4_93_,|211_221_5_105_,,,,
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,,
225,,,,,,|193_225_5_98_,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,,,|228_228_8_109_,
229,,,,,,,,,,
230,,,,,,,,,,
231,,,,,,,,,,
232,,,,,,,,,,
233,,,,,,,,,,
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,|232_237_2_112_,,,,,,,
238,,,|233_238_2_113_,,,|202_238_5_104_,,,,
239,,,,,,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,,
243,,,,,,,,,,
244,,,,,,,|239_244_6_115_,,,
245,,,,,,,,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,|242_248_2_116_,,,,,,,
249,,,,,|220_249_4_106_,,,,,
250,,|227_250_1_108_,,,,,,,|246_250_8_117_,
251,,,,,,,,,,
252,,,,,,,,,,
253,,,,,,,,,,
254,,,,,,,,,,
255,,,,,,,,,,
256,,,,,|225_256_4_107_,,,,,
257,,,|251_257_2_118_,,,,,,,
258,,,,,,,,,,
259,,,,,,,,,,
260,,,,,|229_260_4_110_,,,,,
261,,,,,,,,,,
262,,,,,,,,,,
263,,,,,,,,,,
264,,,,,,,,,|260_264_8_121_,
265,,,,,,,,,,
266,,,,,,,,,,
267,,,,,,,|262_267_6_123_,,,
268,,,,,|236_268_4_114_,,,,,
269,,,,,,,,,,
270,,,,,|230_270_4_111_,,,,,
271,,,,,,,,,,
272,,,,,,,,,,
273,,,,,,,,,,
274,,,,,,,,,,
275,,|275_275_1_131_,,,|268_275_4_126_,,,,,
276,,,|270_276_2_127_,,,,,,,
277,,,,,,,,,|273_277_8_129_,
278,,,,,,,,,,
279,,,,,,,,,,
280,,|256_280_1_120_,,,,,,,,
281,,,,,,,,,,
282,,,,,,,,,,
283,,,,,,,,,|279_283_8_134_,
284,,,,,,,,,,
285,,|284_285_1_137_,,,,,,,,
286,,|286_286_1_139_,,,,,,,,
287,,,,,,|276_287_5_132_,,,,
288,,,,,,,,,,
289,,,,,,,,,,
290,,,,,,,,,,
291,,,,,,,,,,
292,,,,,|261_292_4_122_,,,,,
293,,,,,,|253_293_5_119_,,,,
294,,,,,,,,,,
295,,,,,,,,,,
296,,,,,,,,,,
297,,|266_297_1_125_,,,,,,,,
298,,,,,,,,,,
299,,,,,|295_299_4_142_,,,,,
300,,,,,,,,,,
301,,,,,,,,,,
302,,,,,,|263_302_5_124_,,,,
303,,,,,,,,,,
304,,,|299_304_2_144_,,,,,,,
305,,,,,,,,,,
306,,,,,|285_306_4_138_,,,,,
307,,,,,,,,,,
308,,|281_308_1_135_,,,,,,,,
309,,|272_309_1_128_,,,,|274_309_5_130_,,,,
310,,,,,,,,,,
311,,,,,,,,,,
312,,,,,,,,,,
313,,,,,,,,,,
314,,,,,,,,,,
315,,,,,,,,,,
316,,|290_316_1_141_,,,,,,,,
317,,,,,,,,,,
318,,,,,,,,,|278_318_8_133_|289_318_8_140_,
319,,,,,,,,,,
320,,,,,,,,,,
321,,,,,|283_321_4_136_,,,,,
322,,,,,,,,,,
323,,|302_323_1_145_,,,,,,,,
324,,,,,,,,,,
325,,,,,,,,,,
326,,,,,,,,,,
327,,|312_327_1_149_,,,,,,,,
328,,,,,,,,,,
329,,|310_329_1_147_,|305_329_2_146_,,,,,,,
330,,,,,,,,,,
331,,,,,,,,,|331_331_8_157_,
332,,,,,,,,,,
333,,,,,|314_333_4_150_,,,,,
334,,|297_334_1_143_,,,,,,,,
335,,,,,,,,,,
336,,,,,,,,,,
337,,,,,,,,,,
338,,,,,,,,,,
339,,,,,,,,,,
340,,,,,,,,,,
341,,,,,|339_341_4_164_,,,,,
342,,,|315_342_2_151_,,,,,,,
343,,,|320_343_2_153_,,,,,,,
344,,,,,,,,,,
345,,|311_345_1_148_,|318_345_2_152_|322_345_2_154_,,,,,,,
346,,,,,,,,,,
347,,,,,,,,,,
348,,,,,,,,,,
349,,,,,,,,,,
350,,,,,,,,,,
351,,,,,,,,,,
352,,,,,,,,,,
353,,,,,,,,,,
354,,,,,,,|332_354_6_158_,,,
355,,,,,,,,,,
356,,,,,,,|335_356_6_161_,,,
357,,,,,,,,,,
358,,,,,|338_358_4_163_,,,,,
359,,,,,,,,,,
360,,,|342_360_2_165_,,,,,,,
361,,,,,|354_361_4_172_,,,,,
362,,,,,,,,,,
363,,,,,,|345_363_5_166_,,,,
364,,,,,,,,,,
365,,,,,|328_365_4_155_,,,,,
366,,,,,,,,,|365_366_8_178_,
367,,,,,,,|346_367_6_167_,,|367_367_8_180_,
368,,,|350_368_2_169_,,,,,,,
369,,,,,|334_369_4_160_,|329_369_5_156_,,,,
370,,,|352_370_2_171_,,,,,,,
371,,,,,,,,,,
372,,,,,|336_372_4_162_,,,,|370_372_8_182_,
373,,,|355_373_2_173_,,,|333_373_5_159_,,,,
374,,,,,,,,,|372_374_8_184_,
375,,,,,,,,,,
376,,,,,,,,,,
377,,,,,,,,,,
378,,,,,,,,,,
379,,,,,,,,,,
380,,,,,,,,,,
381,,,,,,,,,,
382,,,,,,|376_382_5_186_,,,,
383,,,,,,,,,,
384,,,,,,,,,,
385,,,,,,,,,,
386,,,,,,,,,,
387,,,,,,,,,,
388,,,,,|349_388_4_168_,,,,,
389,,,,,|362_389_4_175_,,,,,
390,,,,,|351_390_4_170_,,,,,
391,,,,,,,,,,
392,,,,,|391_392_4_192_,,,,,
393,,,,,,|384_393_5_189_,,,,
394,,,,,,,,,,
395,,,,,,,,,,
396,,,,,,,,,,
397,,,,,,|359_397_5_174_,,,,
398,,,,,|363_398_4_176_,,,,,
399,,,,,,,,,,
400,,,,,,|364_400_5_177_,,,,
401,,,,,,,,,,
402,,,,,|394_402_4_195_,,,,,
403,,|366_403_1_179_,,,,,|382_403_6_188_,,,
404,,,,,,,,,,
405,,,,,,,,,,
406,,|368_406_1_181_,,,,,,,,
407,,,,,|371_407_4_183_,,,,,
408,,,,,,,,,,
409,,,,,,,,,,
410,,|388_410_1_191_,,,,,,,,
411,,,,,,,,,|411_411_8_205_,
412,,,,,,,,,,
413,,,,,,|374_413_5_185_,,,,
414,,,,,|379_414_4_187_,,,,|412_414_8_206_,
415,,,,,,,,,,
416,,,|398_416_2_198_,,|409_416_4_203_,,,,,
417,,,,,,,,,|417_417_8_210_,
418,,,|385_418_2_190_,,,,,,,
419,,,,,,,,,,
420,,,,,,,,,,
421,,,,,,,,,,
422,,,,,,,,,|420_422_8_211_,
423,,,,,,,,,,
424,,,,,,,,,,
425,,,,,,,,,,
426,,,,,,,,,,
427,,,,,,|395_427_5_196_,,,,
428,,,,,,,,,,
429,,,,,|393_429_4_194_,,,,,
430,,,,,,,,,,
431,,,,,,,,,,
432,,,|410_432_2_204_,,,|392_432_5_193_,,,,
433,,,,,|397_433_4_197_,|415_433_5_209_,,,,
434,,,,,,,,,,
435,,,,,|402_435_4_199_,,,,,
436,,,,,,,,,,
437,,,,,,,,,,
438,,,,,,,,,,
439,,,,,,,,,,
440,,,,,,|440_440_5_222_,,,,
441,,,,,,,,,|441_441_8_223_,
442,,,|414_442_2_208_,,,,|408_442_6_202_,,,
443,,,,,,|404_443_5_200_,,,,
444,,,,,,|407_444_5_201_,,,,
445,,,,,,,,,,
446,,,,,,,,,,
447,,|447_447_1_226_,,,,,,,,
448,,,,,,,|445_448_6_225_,,,
449,,,,,,,,,,
450,,,,,,,,,,
451,,,,,,,|430_451_6_215_,,,
452,,,,,,|451_452_5_229_,,,|452_452_8_230_,
453,,|413_453_1_207_,,,,,,,,
454,,,,,,,,,,
455,,,,,,,,,,
456,,,,,|434_456_4_218_,,,,,
457,,,,,,,|454_457_6_231_,,,
458,,|428_458_1_213_,|423_458_2_212_,,,,,,,
459,,|435_459_1_219_,,,,,,,,
460,,,,,,,,,,
461,,,,,,,,,,
462,,,,,,,,,,
463,,,,,,,,,,
464,,,,,|433_464_4_217_,,,,,
465,,,|461_465_2_236_,,,,,,,
466,,,,,|429_466_4_214_,,,,,
467,,,,,,,,,,
468,,,|465_468_2_238_,,,,,,,
469,,,,,,,,,,
470,,,,,,,,,,
471,,,,,,,,,|457_471_8_233_,
472,,|432_472_1_216_,,,|448_472_4_227_,,,,,
473,,,,,,,,,,
474,,,,,|439_474_4_221_,|438_474_5_220_,,,,
475,,,,,,,,,,
476,,,,,,|472_476_5_243_,,,,
477,,|467_477_1_239_,,,,,,,,
478,,,,,,,,,|443_478_8_224_,
479,,,,,,,,,|464_479_8_237_|473_479_8_244_,
480,,,,,,,,,,
481,,,,,,,,,,
482,,,,,,,,,,
483,,,,,,,,,,
484,,,,,,,,,,
485,,,,,,,|482_485_6_248_,,,
486,,,,,,,,,,
487,,|484_487_1_250_,,,,,,,,
488,,,,,|449_488_4_228_,,,,,
489,,,,,,,,,,
490,,,,,|455_490_4_232_,|460_490_5_235_,,,,
491,,,|487_491_2_253_,,,,,,,
492,,,,,,,,,,
493,,|493_493_1_256_,,,|470_493_4_242_,,,,,
494,,,,,,|468_494_5_240_,,,,
495,,,,,,,,,,
496,,|459_496_1_234_,,,|496_496_4_259_,,,,,
497,,,,,,,,,,
498,,,,,,,|494_498_6_257_,,,
499,,,,,|491_499_4_255_,,,,,
500,,,,,,,,,,
501,,,,,,,,,,
502,,,|499_502_2_261_,,,,,,,
503,,,,,,,,,,
504,,,,,|481_504_4_247_,,,,,
505,,,,,,,,,,
506,,|500_506_1_262_,,,,|469_506_5_241_,,,,
507,,,,,,,,,,
508,,,,,,,|504_508_6_265_,,,
509,,,,,,,,,,
510,,,|507_510_2_266_,,,,,,,
511,,,,,,,,,,
512,,,,,|480_512_4_246_,,,,,
513,,,,,|479_513_4_245_,,,,,
514,,,,,,,,,,
515,,|511_515_1_268_,|512_515_2_269_,,,,,,,
516,,,,,,,,,,
517,,,,,,,,,,
518,,,,,,|485_518_5_251_,,,,
519,,,,,,,,,,
520,,,,,,,,,,
521,,,,,|483_521_4_249_,|495_521_5_258_,,,,
522,,|518_522_1_273_,,,,,,,,
523,,,,,,,|519_523_6_274_,,,
524,,|522_524_1_276_,,,,,,,,
525,,,,,|486_525_4_252_,,,,,
526,,,,,,,,,,
527,,,,,,,,,,
528,,,,,|489_528_4_254_,,,,,
529,,,,,,,,,,
530,,,,,,,|526_530_6_278_,,,
531,,,,,|516_531_4_272_,,,,,
532,,,,,,,,,,
533,,,,,,,,,,
534,,,,,|497_534_4_260_,,,,,
535,,,,,,,|531_535_6_280_,,,
536,,,,,|532_536_4_281_|533_536_4_282_,,,,,
537,,,,,,,,,,
538,,,,,,,,,|501_538_8_263_,
539,,,,,,,,,,
540,,,,,,,,,,
541,,,,,,,,,,
542,,,,,,,,,,
543,,,,,,,,,|503_543_8_264_,
544,,,,,,,,,,
545,,,|541_545_2_284_,,,,,,,
546,,,,,,,,,,
547,,,,,,,,,,
548,,,,,,,,,,
549,,,|545_549_2_286_,,,|509_549_5_267_,,,,
550,,,,,|538_550_4_283_,|520_550_5_275_,,,,
551,,,|546_551_2_287_,,,,,,,
552,,,,,,,,,,
553,,,,,,,,,,
554,,,,,|514_554_4_270_,,,,,
555,,,,,|515_555_4_271_,,,,,
556,,,,,,,,,,
557,,,,,|542_557_4_285_,,,,,
558,,,,,,|556_558_5_291_,,,,
559,,,,,|547_559_4_288_,,,,,
560,,,,,|558_560_4_292_,,,,,
561,,,,,,,,,,
562,,,,,,,,,,
563,,,,,,,,,,
564,,,,,,,,,,
565,,,,,|525_565_4_277_,,,,,
566,,,,,,,,,,
567,,,,,,,,,,
568,,,,,,,|562_568_6_294_,,,
569,,,,,,,,,|569_569_8_296_,
570,,,,,,|530_570_5_279_,,,,
571,,,,,,,,,,
572,,,,,,,,,,
573,,,,,,,,,,
574,,,,,,,,,,
575,,,,,,,,,,
576,,,,,,,,,,
577,,,,,,,,,,
578,,,,,,,,,,
579,,,,,,,,,,
580,,,,,,,,,,
581,,,,,,,,,,
582,,,,,,,,,,
583,,,|579_583_2_302_,,,,,,,
584,,,,,|573_584_4_300_,,,,|549_584_8_289_,
585,,,|581_585_2_304_,,,|552_585_5_290_,,,|585_585_8_307_,
586,,,,,,,,,,
587,,,,,,,,,,
588,,|570_588_1_297_,,,,,,,,
589,,,,,,,,,,
590,,,,,,,,,|590_590_8_309_,
591,,,,,,,,,|587_591_8_308_,
592,,,,,,,,,,
593,,,,,,,,,,
594,,,,,,,,,|594_594_8_313_,
595,,,,,,,,,|591_595_8_310_|593_595_8_312_,
596,,,,,,,,,,
597,,|596_597_1_315_,,,,|592_597_5_311_,,,|560_597_8_293_|580_597_8_303_,
598,,,,,,,,,|568_598_8_295_,
599,,,,,,,,,,
600,,,,,,,,,,
601,,,,,,,,,,
602,,,,,,,,,,
603,,,,,,,,,,
604,,,,,,,,,,
605,,,,,,,,,,
606,,,,,,,,,,
607,,,,,,,,,,
608,,,,,,,|603_608_6_318_,,|608_608_8_319_,
609,,,,,,,,,,
610,,,,,,|572_610_5_299_,,,,
611,,,,,,|571_611_5_298_,,,,
612,,,,,|575_612_4_301_,,,,,
613,,,,,,,,,,
614,,,,,,,,,,
615,,|615_615_1_322_,,,,|595_615_5_314_,,,,
616,,,,,,,,,,
617,,,|613_617_2_321_,,,,,,,
618,,,,,|616_618_4_323_,,,,|618_618_8_324_,
619,,,,,,,,,,
620,,,,,,,,,,
621,,,,,,,,,,
622,,,,,|583_622_4_305_,,,,,
623,,,,,,,,,,
624,,,,,,|584_624_5_306_,,,,
625,,,,,,,,,,
626,,,,,,,,,,
627,,,,,,,|622_627_6_327_,,,
628,,,,,,,|623_628_6_328_,,,
629,,,,,,,,,,
630,,|630_630_1_332_,,,,,,,,
631,,,,,,,,,,
632,,,,,,,,,,
633,,,,,,,,,,
634,,,,,|609_634_4_320_,,,,,
635,,,,,,,,,,
636,,,,,,,,,,
637,,,,,|597_637_4_316_,,,,,
638,,,,,,,,,,
639,,|599_639_1_317_|639_639_1_335_,,,,,,,,
640,,,,,,,,,,
641,,,,,,,,,,
642,,,,,,,,,,
643,,,,,,,,,,
644,,,,,,,,,|644_644_8_337_,
645,,,,,,,,,,
646,,,,,,,,,,
647,,,,,,,,,,
648,,,,,,,,,,
649,,,,,,,,,,
650,,,|646_650_2_339_,,,,,,,
651,,,,,,,,,,
652,,,,,,,,,,
653,,,,,,|619_653_5_325_,,,,
654,,,|650_654_2_341_,,,,,,,
655,,,,,,,,,,
656,,,,,,,,,,
657,,,|653_657_2_343_,,,,,,,
658,,,,,,,,,|625_658_8_329_,
659,,,,,,,,,,
660,,,,,|620_660_4_326_,,,,,
661,,,,,,,|656_661_6_344_,,,
662,,,,,,,,,,
663,,,,,,,,,,
664,,,|660_664_2_346_,,,,,,|629_664_8_331_,
665,,,,,,,,,,
666,,,,,,,,,|635_666_8_334_|666_666_8_349_,
667,,,,,,,,,,
668,,,,,,|628_668_5_330_,,,,
669,,,,,,,,,,
670,,,,,|670_670_4_353_,,,,,
671,,,,,,|631_671_5_333_,,,,
672,,,|668_672_2_351_,,,,,,,
673,,,,,,,,,|669_673_8_352_,
674,,,,,,,,,,
675,,,,,,,,,,
676,,,,,|664_676_4_348_,,,,,
677,,,,,,,,,,
678,,,,,,,,,,
679,,,,,|667_679_4_350_,,,,|641_679_8_336_,
680,,,,,,,,,,
681,,,,,,,,,,
682,,,,,,|645_682_5_338_,,,,
683,,,,,,,,,,
684,,,,,,,,,,
685,,,,,,,,,,
686,,,,,,,,,,
687,,,,,|648_687_4_340_,,,,,
688,,,,,,,,,|658_688_8_345_,
689,,,,,,,,,,
690,,,,,,,,,,
691,,,,,,,,,,
692,,|652_692_1_342_,,,,,,,,
693,,,,,,,,,,
694,,,,,,,,,,
695,,,,,|662_695_4_347_,,|690_695_6_359_,,,
696,,,,,,,,,,
697,,,,,,,,,|697_697_8_364_,
698,,,,,|675_698_4_354_,,,,|689_698_8_358_,
699,,,,,,,,,,
700,,|695_700_1_362_,|696_700_2_363_,,,,,,,
701,,,,,,,,,,
702,,,|698_702_2_365_,,,,,,,
703,,,,,,,,,,
704,,,,,,,,,|704_704_8_369_,
705,,,|701_705_2_367_,,,,,,,
706,,|678_706_1_355_,,,|683_706_4_356_,,,,,
707,,,,,,,,,,
708,,,,,,,,,,
709,,,,,,,,,,
710,,,,,,,,,,
711,,,,,,,,,,
712,,,,,,,,,|712_712_8_375_,
713,,,|708_713_2_371_,,,,,,,
714,,,,,,,,,,
715,,,,,,,,,|713_715_8_376_|715_715_8_377_,
716,,,,,|691_716_4_360_,,,,,
717,,,,,,,,,,
718,,,,,,,,,,
719,,,,,|717_719_4_379_,,,,,
720,,,,,,,,,,
721,,,,,,,,,,
722,,,,,,,,,,
723,,,,,,,|720_723_6_380_,,,
724,,,,,|716_724_4_378_,,,,,
725,,,,,,,,,,
726,,,,,|723_726_4_382_,|702_726_5_368_,,,,
727,,,,,|687_727_4_357_,,,,,
728,,,,,,,,,,
729,,,,,|692_729_4_361_,,,,,
730,,,,,,,,,,
731,,,,,,,,,,
732,,,,,,,,,,
733,,,,,,,,,,
734,,,,,,,,,,
735,,,,,,,,,,
736,,,,,,|699_736_5_366_,|731_736_6_385_,,,
737,,,,,|710_737_4_373_,,,,,
738,,,,,,,|733_738_6_386_,,,
739,,,,,,,,,,
740,,,,,,,,,,
741,,,,,,,,,,
742,,,,,,,,,,
743,,,,,|707_743_4_370_,,,,,
744,,,,,,,,,,
745,,,,,,,,,,
746,,,,,|709_746_4_372_,,,,,
747,,,,,,,,,,
748,,,,,|711_748_4_374_,,,,,
749,,,,,,,,,,
750,,,,,,,|745_750_6_390_,,,
751,,,,,,,,,,
752,,,,,,,,,,
753,,,,,,,,,,
754,,,|749_754_2_392_,,,,,,,
755,,,|750_755_2_393_,,,,,,,
756,,,,,,,,,,
757,,,,,,,,,,
758,,,,,,,,,,
759,,,,,,,,,,
760,,,,,,,,,,
761,,,,,,,,,,
762,,,,,|722_762_4_381_,,,,,
763,,,,,,,,,,
764,,,,,|726_764_4_384_,,,,,
765,,,,,,|725_765_5_383_,|760_765_6_397_,,,
766,,,,,,,,,,
767,,,,,,,|762_767_6_398_,,,
768,,,,,,,,,,
769,,,,,,,,,,
770,,,,,,,,,,
771,,,,,,,,,,
772,,,,,,,|767_772_6_400_,,,
773,,,,,,,,,,
774,,,,,,,,,,
775,,,,,,,,,,
776,,,,,,,,,,
777,,,,,|764_777_4_399_,,,,,
778,,,,,|739_778_4_387_|757_778_4_396_,,,,,
779,,,,,,,,,,
780,,,,,,,,,,
781,,,,,,,,,|744_781_8_389_,
782,,,,,,,,,,
783,,,,,,,,,|743_783_8_388_,
784,,,,,,,,,,
785,,,,,,,,,,
786,,,,,,,,,,
787,,,,,,,,,,
788,,,,,,,,,|748_788_8_391_,
789,,,,,,,,,,
790,,,|785_790_2_404_,,|755_790_4_395_,,,,|754_790_8_394_,
791,,,,,,,,,,
792,,,,,,,,,,
793,,,,,,,,,,
794,,,,,,,,,,
795,,,,,,,,,,
796,,,,,,,,,,
797,,,|792_797_2_406_,,,,,,|777_797_8_403_,
798,,,,,,,,,,
799,,,,,,,,,,
800,,,,,,,,,,
801,,,,,,,,,,
802,,,,,,,,,,
803,,,,,,,,,,
804,,,,,,,,,,
805,,,|800_805_2_408_,,,,,,,
806,,,,,|774_806_4_402_,,,,,
807,,,,,,,,,,
808,,,|803_808_2_410_,,,,,,,
809,,,,,,,,,,
810,,,,,,,,,,
811,,,,,,,,,|811_811_8_413_,
812,,,,,|773_812_4_401_,,,,,
813,,,,,,,,,|813_813_8_414_,
814,,,,,,,,,,
815,,,,,,,,,,
816,,,,,,,,,,
817,,,,,,,,,,
818,,,,,|787_818_4_405_,,,,,
819,,,,,,,,,,
820,,,|815_820_2_415_,,,,,,,
821,,,,,,,,,,
822,,,,,|805_822_4_411_,,,,,
823,,,,,,,,,,
824,,,,,,,,,,
825,,,,,,,,,|825_825_8_419_,
826,,,,,,,,,,
827,,,,,,,|824_827_6_418_,,,
828,,,,,,,,,|828_828_8_421_,
829,,,,,,,,,,
830,,,,,,,,,,
831,,,,,,,,,,
832,,,,,,,,,,
833,,,,,|793_833_4_407_,,|831_833_6_422_,,,
834,,,,,,,,,,
835,,,,,,,,,,
836,,,,,,,,,|836_836_8_424_,
837,,,,,,,,,,
838,,,,,,,,,,
839,,,,,,,,,,
840,,,,,|810_840_4_412_,,,,,
841,,,|839_841_2_426_,,|801_841_4_409_,,,,,
842,,,,,,,|840_842_6_427_,,,
