tickNumber,in27,B14,B11,cn12,B54,B51,os4,
134,,,,,,|134_134_5_73_,,
135,,,,,,,,
136,,|123_136_1_66_,,,,,,
137,,,,,,,|137_137_6_74_,
138,,,,,,|119_138_5_63_,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,|141_141_6_76_,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,|129_147_4_71_,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
151,,,,,,,,
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,|140_155_4_75_,,,
156,,,,,|142_156_4_77_,,,
157,,,,,,,,
158,,,,,,,,
159,,,,,,,,
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,,,,,|144_163_4_78_,|148_163_5_79_,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,,
167,,,,,,,,
168,,,,,,,|131_168_6_72_,
169,,,,,,,,
170,,,,,,,,
171,,,,,,,,
172,,,,,,,|172_172_6_87_,
173,,,,,|158_173_4_82_,,,
174,,,,,|153_174_4_80_,,,
175,,,,,,,,
176,,,,,,,|171_176_6_86_,
177,,,,,,,,
178,,,,,|157_178_4_81_,,,
179,,,,,,,,
180,,,,,|159_180_4_83_,,,
181,,,,,,,,
182,,,,,|165_182_4_84_,,,
183,,,,,,,,
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,,,,,|188_188_6_95_,
189,,,,,,,,
190,,,,,,,,
191,,,,,,,,
192,,,,,,,,
193,,,,,,,,
194,,,,,,,|186_194_6_94_,
195,,,,,,,,
196,,,,,,,,
197,,,,,,,,
198,,,,,|175_198_4_88_,,,
199,,,,,,,,
200,,,,,|184_200_4_92_,,,
201,,,,,|177_201_4_89_,,,
202,,,,,|178_202_4_90_,,,
203,,,,,,,|166_203_6_85_|195_203_6_99_,
204,,,,,,,|182_204_6_91_,
205,,|198_205_1_102_,,,,,,
206,,,,,,,,
207,,,,,,,,
208,,,,,,,,
209,,,,,,,|207_209_6_106_,
210,,,,,|185_210_4_93_,,,
211,,,,,,,,
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,,,,,,,,
216,,,,,,,,
217,,,,,|192_217_4_98_,,,
218,,,,,|196_218_4_100_,|216_218_5_111_,|211_218_6_109_,
219,,,,,,,,
220,,,,,,,,
221,,,,,,|189_221_5_96_,,
222,,,,,,,,
223,,,,,,,|223_223_6_116_,
224,,,,,,,,
225,,,,,,,|191_225_6_97_,
226,,,,,,,,
227,,,,,,|226_227_5_117_,|227_227_6_118_,
228,,,,,,,|197_228_6_101_,
229,,,,,,,|200_229_6_103_,
230,,,,,|203_230_4_104_,,,
231,,,,,|204_231_4_105_,,,
232,,,,,,,,
233,,,,,|229_233_4_120_,,,
234,,,,,,,|208_234_6_107_,
235,,,,,,,,
236,,,,,,,,
237,,,,,|209_237_4_108_,,,
238,,,,,,,,
239,,,,,,|217_239_5_112_,,
240,,,,,,,|233_240_6_121_,
241,,,,,,,,
242,,,,,,,|239_242_6_124_,
243,,,,,,,|213_243_6_110_,
244,,,,,,,|240_244_6_125_,
245,,,,,,,|222_245_6_115_,
246,,,,,,,,
247,,,,,,,,
248,,,,,|219_248_4_113_,,|247_248_6_131_,
249,,,,,,,,
250,,,,,|221_250_4_114_,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,|249_254_5_132_,,
255,,,,,,,,
256,,,,,|228_256_4_119_,|244_256_5_129_,,
257,,,,,,,,
258,,,,,,,|241_258_6_126_|246_258_6_130_,
259,,,,,,,,
260,,,,,,,,
261,,,,,,,|260_261_6_140_|261_261_6_141_,
262,,,,,,,,
263,,,,,,,|257_263_6_138_,
264,,,,,,,|256_264_6_137_,
265,,,,,|236_265_4_123_,|234_265_5_122_,|251_265_6_133_,
266,,,,,,,,
267,,,,,,,,
268,,,,,,,,
269,,,,,,,,
270,,,,,,|243_270_5_128_,,
271,,,,,,,,
272,,|271_272_1_146_,,,,,,
273,,,,,|242_273_4_127_,,|262_273_6_142_|273_273_6_147_,
274,,,,,,,,
275,,,,,,,,
276,,,,,,,,
277,,,,,,,|276_277_6_150_,
278,,,,,,|254_278_5_135_,,
279,,|279_279_1_153_,,,|253_279_4_134_,,,
280,,,,,,,,
281,,|270_281_1_145_,,,,,,
282,,,,,,,,
283,,,,,,,|265_283_6_143_,
284,,,,,,,,
285,,,,,,,,
286,,,,,,,,
287,,,,,|255_287_4_136_,,,
288,,,,,,,,
289,,,,,|284_289_4_156_,,,
290,,,,,,,,
291,,,,,,,,
292,,|275_292_1_149_,,,,,|267_292_6_144_,
293,,,,,,,,
294,,|280_294_1_154_|294_294_1_163_,,,,,,
295,,,,,,,|290_295_6_160_,
296,,,,,,,,
297,,,,,,,|258_297_6_139_,
298,,,,,,,,
299,,,,,,,,
300,,,,,,,,
301,,,,,|277_301_4_151_,,,
302,,,,,,,,
303,,,,,,,,
304,,,,,,,,
305,,,,,,,,
306,,,,,,,,
307,,,,,,,,
308,,,,,|282_308_4_155_,,|308_308_6_171_,
309,,,,,,,,
310,,,,,,,,
311,,,,,,,,
312,,,,,|274_312_4_148_,,,
313,,,,,,|278_313_5_152_,,
314,,|302_314_1_169_,,,,,,
315,,,,,,,|299_315_6_166_,
316,,,,,,,,
317,,,,,,,|314_317_6_175_|315_317_6_176_,
318,,,,,,,|316_318_6_177_,
319,,,,,,,|285_319_6_157_,
320,,,,,|288_320_4_159_,,,
321,,,,,,,,
322,,|313_322_1_174_,,,|311_322_4_173_,,,
323,,,,,|318_323_4_178_,,,
324,,,,,,,,
325,,,,,,,,
326,,,,,,,|286_326_6_158_,
327,,,,,,|291_327_5_161_,,
328,,,,,,|292_328_5_162_,,
329,,,,,|298_329_4_165_,,|322_329_6_181_,
330,,,,,,,,
331,,,,,|301_331_4_168_,,|328_331_6_184_,
332,,,,,,,,
333,,,,,,,,
334,,|296_334_1_164_|306_334_1_170_,,,,,,
335,,,,,,,,
336,,,,,,,,
337,,,,,,|300_337_5_167_,,
338,,,,,,,,
339,,,,,,,|310_339_6_172_,
340,,,,,,,,
341,,,,,|324_341_4_183_,,,
342,,,,,,,|334_342_6_187_,
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,|320_346_6_180_,
347,,,,,,,,
348,,,,,|329_348_4_185_,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,,,,,,|342_352_5_191_,,
353,,,,,,,,
354,,,,,,,,
355,,,,,,,|345_355_6_193_,
356,,,,,,,,
357,,,,,|350_357_4_196_,,|319_357_6_179_|355_357_6_199_,
358,,,,,,,,
359,,,,,,,,
360,,,,,,,|348_360_6_195_,
361,,,,,|335_361_4_188_,,,
362,,,,,,,,
363,,,,,,,|323_363_6_182_,
364,,,,,|356_364_4_200_,,,
365,,,,,,|333_365_5_186_,|338_365_6_189_,
366,,,,,,,,
367,,,,,,,,
368,,,,,,,,
369,,,,,|340_369_4_190_,,|369_369_6_207_,
370,,,,,,,,
371,,,,,,,,
372,,,,,,,,
373,,,,,,,,
374,,,,,,,,
375,,|368_375_1_206_,,,,,,
376,,,,,,,,
377,,,,,,,,
378,,,,,,|343_378_5_192_,,
379,,,,,,,,
380,,,,,|351_380_4_197_,,,
381,,,,,,,,
382,,,,,,,,
383,,,,,,,,
384,,,,,|353_384_4_198_,,,
385,,,,,,,,
386,,,,,|363_386_4_203_,,|346_386_6_194_,
387,,,,,|360_387_4_202_,,,
388,,,,,,,,
389,,,,,,,,
390,,,,,|364_390_4_204_,,,
391,,,,,,,,
392,,,,,,,,
393,,,,,,,,
394,,,,,,|357_394_5_201_,,
395,,,,,,,,
396,,,,,,,,
397,,,,,,,,
398,,,,,,,,
399,,,,,,,,
400,,,,,,,,
401,,|395_401_1_219_,,,|378_401_4_212_,,,
402,,,,,,|365_402_5_205_,,
403,,,,,,,,
404,,|380_404_1_213_,,,|374_404_4_209_,|375_404_5_210_,|382_404_6_215_,
405,,,,,,,|387_405_6_217_,
406,,,,,,,|404_406_6_223_,
407,,,,,|376_407_4_211_,,,
408,,,,,,,,
409,,,,,,,,
410,,,,,,|373_410_5_208_,,
411,,,,,,,,
412,,,,,,,,
413,,,,,,,|409_413_6_225_,
414,,|401_414_1_222_,,,,,,
415,,,,,,,,
416,,,,,,,,
417,,,,,,,,
418,,,,,,,,
419,,,,,,,,
420,,,,,|388_420_4_218_,,,
421,,,,,,,|381_421_6_214_,
422,,,,,,,,
423,,|421_423_1_233_,,,|400_423_4_221_,,,
424,,,,,,,,
425,,,,,|423_425_4_234_,|398_425_5_220_,|412_425_6_226_,
426,,,,,|386_426_4_216_,,,
427,,|418_427_1_231_,,,,,,
428,,,,,,,,
429,,,,,,,,
430,,,,,,,,
431,,,,,,,,
432,,,,,,,,
433,,,,,,,,
434,,,,,,,,
435,,,,,,,,
436,,,,,,,,
437,,|434_437_1_239_,,,,,,
438,,,,,,,|405_438_6_224_,
439,,,,,,,,
440,,,,,,,,
441,,,,,,,,
442,,,,,,,,
443,,,,,,,,
444,,,,,,,,
445,,,,,|416_445_4_229_,,,
446,,,,,|417_446_4_230_,,,
447,,,,,,,,
448,,,,,,,,
449,,|414_449_1_227_,,,,,,
450,,,,,,,,
451,,,,,,,,
452,,,,,,,,
453,,,,,,,,
454,,,,,,,,
455,,,,,|415_455_4_228_,,,
456,,,,,,|442_456_5_245_,,
457,,,,,,,,
458,,,,,,,,
459,,,,,,|420_459_5_232_,,
460,,,,,,,,
461,,,,,|425_461_4_235_|430_461_4_236_,,,
462,,,,,,,,
463,,,,,|432_463_4_237_,,|440_463_6_243_,
464,,,,,,,|459_464_6_253_,
465,,,,,,,,
466,,,,,,,,
467,,,,,,,,
468,,,,,,,|450_468_6_249_,
469,,,,,,|433_469_5_238_,,
470,,,,,|438_470_4_241_,,|436_470_6_240_,
471,,,,,,,,
472,,,,,,,,
473,,,,,|441_473_4_244_,,,
474,,,,,,,,
475,,,,,|443_475_4_246_,,,
476,,,,,,,,
477,,,,,|449_477_4_248_,,,
478,,,,,,,,
479,,,,,,|439_479_5_242_,,
480,,,,,,,,
481,,,,,|448_481_4_247_,,,
482,,,,,,,,
483,,,,,,,,
484,,,,,,,,
485,,,,,,,,
486,,,,,,,|458_486_6_252_,
487,,,,,|453_487_4_250_|481_487_4_263_,,,
488,,,,,,,,
489,,,,,,,,
490,,,,,,,,
491,,,,,|457_491_4_251_,,,
492,,,,,,,|489_492_6_268_,
493,,,,,,,,
494,,,,,,,|494_494_6_271_,
495,,,,,,,,
496,,,,,|461_496_4_254_,,,
497,,,,,,|462_497_5_255_,,
498,,,,,,,,
499,,,,,|464_499_4_256_,,,
500,,,,,,|467_500_5_258_,,
501,,,,,|466_501_4_257_,,,
502,,,,,,|484_502_5_265_,,
503,,|476_503_1_260_,,,,,|479_503_6_262_,
504,,,,,,,,
505,,,,,,,,
506,,,,,,,,
507,,|469_507_1_259_,,,,,,
508,,,,,,,,
509,,,,,,,,
510,,,,,,,,
511,,,,,,,,
512,,,,,,,|512_512_6_279_,
513,,,,,,,,
514,,,,,,,,
515,,|510_515_1_278_,,,,,,
516,,,,,,,|497_516_6_272_|507_516_6_277_,
517,,,,,,|478_517_5_261_,,
518,,,,,|514_518_4_280_,,,
519,,,,,,,,
520,,,,,|483_520_4_264_,,,
521,,,,,,,,
522,,,,,|488_522_4_267_,,,
523,,,,,,,,
524,,,,,|486_524_4_266_,,,
525,,|521_525_1_282_|522_525_1_283_,,,,,,
526,,|519_526_1_281_,,,,,,
527,,,,,,,,
528,,,,,|490_528_4_269_,,,
529,,,,,|491_529_4_270_,,,
530,,,,,,,,
531,,,,,|498_531_4_273_,,,
532,,,,,,,,
533,,,,,,,,
534,,,,,,,,
535,,,,,,,|528_535_6_286_,
536,,,,,,,,
537,,,,,,,,
538,,,,,,,,
539,,,,,,|505_539_5_276_,,
540,,,,,,,,
541,,|536_541_1_288_|541_541_1_291_,,,,,,
542,,|538_542_1_289_,,,,,,
543,,,,,|503_543_4_274_,,,
544,,,,,,,|504_544_6_275_,
545,,,,,,,,
546,,,,,,,,
547,,,,,,,,
548,,,,,,,,
549,,,,,,,,
550,,,,,,,,
551,,,,,,,,
552,,,,,,,,
553,,,,,,,,
554,,,,,,,,
555,,,,,,,,
556,,,,,,,,
557,,,,,,,,
558,,|556_558_1_299_,,,|553_558_4_297_,,,
559,,,,,,,|559_559_6_301_,
560,,,,,,|523_560_5_284_,|552_560_6_296_,
561,,,,,,,,
562,,,,,,,,
563,,,,,,|525_563_5_285_,,
564,,,,,,,,
565,,,,,,,,
566,,,,,,,,
567,,,,,,,,
568,,,,,,,|563_568_6_303_,
569,,,,,,,,
570,,,,,|566_570_4_305_,,,
571,,,,,,,,
572,,,,,|532_572_4_287_,,,
573,,,,,,,,
574,,,,,,,,
575,,,,,,,,
576,,,,,,|561_576_5_302_,,
577,,,,,,,,
578,,,,,,,,
579,,,,,,,,
580,,,,,|540_580_4_290_,,,
581,,,,,,,,
582,,,,,,,,
583,,,,,|543_583_4_292_,,,
584,,,,,|544_584_4_293_,,,
585,,,,,,,,
586,,,,,,,,
587,,,,,,,,
588,,,,,,,|549_588_6_294_,
589,,,,,|551_589_4_295_,,|580_589_6_313_,
590,,,,,,,,
591,,,,,|554_591_4_298_,,,
592,,,,,,,|570_592_6_308_,
593,,,,,,,,
594,,,,,,,,
595,,,,,,,,
596,,,,,,|574_596_5_310_,|557_596_6_300_,
597,,,,,,,,
598,,,,,,,,
599,,,,,,,,
600,,,,,,,|565_600_6_304_|567_600_6_306_,
601,,,,,,,,
602,,,,,,,,
603,,,,,,,,
604,,,,,,,,
605,,,,,,,|601_605_6_324_,
606,,,,,,,,
607,,,,,,,|607_607_6_327_,
608,,,,,,,,
609,,,,,|575_609_4_311_,|569_609_5_307_,,
610,,,,,,|571_610_5_309_,,
611,,,,,|582_611_4_314_,,,
612,,,,,,,,
613,,,,,,,,
614,,,,,,,,
615,,,,,,|576_615_5_312_,|583_615_6_315_|611_615_6_330_,
616,,,,,,,,
617,,|605_617_1_326_,,,,,,
618,,,,,,,,
619,,,,,,,,
620,,,,,,,,
621,,,,,,,,
622,,,,,,,,
623,,,,,|589_623_4_316_,,,
624,,,,,|590_624_4_317_,|610_624_5_329_,,
625,,,,,,,,
626,,,,,,,|626_626_6_337_,
627,,|615_627_1_331_,,,|594_627_4_319_,,,
628,,,,,,,,
629,,,,,,,,
630,,,,,,,|619_630_6_333_,
631,,,,,|596_631_4_320_,,|599_631_6_322_,
632,,,,,|597_632_4_321_,|592_632_5_318_,,
633,,,,,,,,
634,,,,,,,,
635,,,,,|600_635_4_323_,|602_635_5_325_,,
636,,,,,,,,
637,,,,,,,,
638,,,,,,,,
639,,,,,,,,
640,,,,,,,|632_640_6_340_,
641,,,,,,,,
642,,,,,,,,
643,,,,,,,,
644,,,,,|608_644_4_328_,,,
645,,,,,,,,
646,,,,,,,,
647,,,,,,,,
648,,,,,,,,
649,,|641_649_1_345_,,,,,,
650,,,,,,,,
651,,,,,,,,
652,,,,,,,|624_652_6_335_,
653,,,,,,,,
654,,,,,,,|616_654_6_332_,
655,,,,,,|625_655_5_336_,,
656,,,,,,,,
657,,,,,,,,
658,,,,,,,|640_658_6_344_,
659,,,,,,|620_659_5_334_,,
660,,,,,,,,
661,,,,,,,,
662,,,,,,,,
663,,,,,,|634_663_5_341_,,
664,,,,,,,,
665,,,,,,,|639_665_6_343_,
666,,,,,,,,
667,,,,,|628_667_4_338_,,,
668,,|642_668_1_346_,,,|629_668_4_339_,,,
669,,,,,|657_669_4_353_,,,
670,,,,,,,,
671,,,,,,,,
672,,|658_672_1_354_,,,,,,
673,,,,,,,,
674,,,,,,,|636_674_6_342_,
675,,,,,,,,
676,,,,,,,,
677,,,,,,,,
678,,,,,,,,
679,,|668_679_1_358_,,,,,,
680,,,,,,,,
681,,,,,,,,
682,,,,,,,,
683,,,,,,,,
684,,,,,,,,
685,,,,,,|646_685_5_347_,,
686,,,,,,,,
687,,,,,,,,
688,,,,,|648_688_4_348_,,,
689,,,,,,,,
690,,,,,,,|655_690_6_351_,
691,,,,,,,,
692,,,,,|677_692_4_363_,,|652_692_6_349_,
693,,,,,,,,
694,,,,,|654_694_4_350_,,,
695,,,,,,,,
696,,,,,|656_696_4_352_,,,
697,,,,,|674_697_4_360_,,,
698,,,,,,,,
699,,,,,,,,
700,,,,,,,,
701,,|679_701_1_365_,,,,,,
702,,,,,|662_702_4_355_,,|678_702_6_364_,
703,,,,,,,,
704,,,,,,,|666_704_6_357_,
705,,,,,,,|665_705_6_356_,
706,,,,,,,,
707,,,,,,,,
708,,,,,,,,
709,,,,,,,,
710,,,,,|670_710_4_359_,,,
711,,,,,,,,
712,,,,,,,,
713,,,,,,,,
714,,,,,,,|675_714_6_361_,
715,,,,,,,,
716,,,,,,|676_716_5_362_,|689_716_6_370_,
717,,,,,,,|692_717_6_372_,
718,,,,,|682_718_4_366_,,,
719,,,,,,,|685_719_6_368_,
720,,|695_720_1_373_,,,,,,
721,,,,,,,,
722,,,,,,,,
723,,,,,,,,
724,,,,,,,|684_724_6_367_,
725,,,,,,,|688_725_6_369_,
726,,,,,,,|710_726_6_381_,
727,,,,,,,|700_727_6_376_,
728,,,,,,|690_728_5_371_,,
729,,,,,,,,
730,,,,,,,,
731,,,,,,,,
732,,,,,,,,
733,,,,,,,,
734,,,,,,,,
735,,,,,,|696_735_5_374_,,
736,,,,,|698_736_4_375_,,,
737,,,,,,,,
738,,,,,,,|709_738_6_380_,
739,,,,,,,,
740,,,,,,,,
741,,,,,,,,
742,,,,,|706_742_4_379_,,,
743,,,,,,|703_743_5_377_,|705_743_6_378_,
744,,,,,,,,
745,,,,,,,,
746,,,,,,,,
747,,,,,,,,
748,,,,,,,,
749,,,,,,,,
750,,,,,,,,
751,,,,,,,,
752,,,,,,|712_752_5_382_,,
753,,,,,,|713_753_5_383_,,
754,,,,,|716_754_4_384_,,,
755,,,,,,,,
756,,,,,,,,
757,,,,,,,,
758,,,,,|718_758_4_385_,,,
759,,,,,|719_759_4_386_,,,
760,,,,,,|720_760_5_387_,,
761,,,,,,,,
762,,,,,|722_762_4_388_,,,
763,,,,,,|723_763_5_389_,,
764,,,,,,,|724_764_6_390_,
765,,,,,,,|725_765_6_391_,
766,,,,,,,,
767,,,,,,,,
768,,,,,,,,
769,,,,,,,,
770,,,,,|730_770_4_392_,,,
771,,,,,,,,
772,,,,,,,|733_772_6_393_,
773,,,,,,,,
774,,,,,,|734_774_5_394_,,
775,,,,,,,,
776,,,,,,,,
777,,,,,,,,
778,,,,,,,,
779,,,,,,,,
780,,,,,,,,
781,,,,,,,,
782,,,,,,,,
783,,,,,,,,
784,,,,,|749_784_4_397_,,,
785,,,,,,|745_785_5_395_,,
786,,,,,,|747_786_5_396_,,
787,,,,,,,,
788,,,,,,|750_788_5_398_,,
789,,,,,,,|788_789_6_412_,
790,,,,,,,,
791,,,,,,,,
792,,,,,,,,
793,,,,,|756_793_4_399_,,,
794,,,,,,,|768_794_6_403_,
795,,,,,,,,
796,,,,,,,,
797,,,,,,,,
798,,,,,|776_798_4_407_,,,
799,,,,,,|759_799_5_400_,,
800,,,,,,,,
801,,,,,|765_801_4_402_,,,
802,,,,,,,,
803,,,,,,,|777_803_6_408_,
804,,,,,,|764_804_5_401_,,
805,,,,,,,,
806,,,,,,,,
807,,|799_807_1_417_,,,,,,
808,,,,,,,,
809,,,,,,,|774_809_6_405_,
810,,,,,|775_810_4_406_,,,
811,,,,,,,,
812,,,,,,,,
813,,,,,,,|773_813_6_404_,
814,,,,,,,,
815,,,,,|786_815_4_411_,,,
816,,,,,,,|785_816_6_410_,
817,,,,,,,,
818,,,,,,,,
819,,,,,,,,
820,,,,,,,,
821,,,,,,,,
822,,,,,,,,
823,,,,,|783_823_4_409_,,,
824,,,,,,,,
825,,,,,,,,
826,,,,,,,,
827,,,,,,,|789_827_6_413_,
828,,,,,,,,
829,,,,,,,,
830,,,,,,,|830_830_6_430_,
831,,,,,,,,
832,,,,,,,,
833,,,,,|793_833_4_414_,|794_833_5_415_,|802_833_6_420_,
834,,,,,,,,
835,,|831_835_1_431_,,,,,,
836,,,,,,|798_836_5_416_,,
837,,,,,,,,
838,,,,,,,,
839,,,,,|800_839_4_418_,,,
840,,,,,,,|801_840_6_419_|803_840_6_421_,
841,,,,,,,,
842,,,,,,,|808_842_6_423_|812_842_6_425_,
843,,,,,,,,
844,,,,,|805_844_4_422_,,,
845,,,,,,,,
846,,,,,,,,
847,,,,,,,,
848,,,,,,,,
849,,,,,,,,
850,,,,,,,|850_850_6_439_,
851,,,,,|811_851_4_424_,,,
852,,,,,,,,
853,,,,,|818_853_4_427_,,|815_853_6_426_,
854,,,,,,,,
855,,,,,,,,
856,,,,,,,,
857,,,,,,,,
858,,,,,,,,
859,,,,,,,,
860,,,,,,,|855_860_6_442_,
861,,,,,,,,
862,,,,,,,,
863,,,,,,,|825_863_6_429_,
864,,,,,|824_864_4_428_,,,
865,,,,,,,,
866,,,,,,,|865_866_6_448_,
867,,,,,,,,
868,,,,,,|832_868_5_432_,,
869,,,,,,,,
870,,,,,,,,
871,,|867_871_1_449_,,,,|864_871_5_447_,|842_871_6_435_,
872,,,,,,,,
873,,,,,,,,
874,,,,,,,|874_874_6_452_,
875,,,,,,,|836_875_6_433_|838_875_6_434_,
876,,,,,,,,
877,,,,,,,|857_877_6_444_,
878,,,,,,,,
879,,,,,,,,
880,,,,,,,|880_880_6_454_,
881,,,,,|853_881_4_440_,,,
882,,,,,,,,
883,,,,,,,,
884,,,,,|845_884_4_436_,|849_884_5_438_,,
885,,,,,,,,
886,,,,,,|846_886_5_437_,,
887,,,,,,,,
888,,,,,,,,
889,,,,,,,|889_889_6_457_,
890,,,,,,,,
891,,,,,,,|891_891_6_459_,
892,,,,,,|854_892_5_441_,|872_892_6_451_,
893,,,,,,,,
894,,,,,|856_894_4_443_,,,
895,,,,,|863_895_4_446_,,|890_895_6_458_,
896,,|892_896_1_460_,,,,,,
897,,,,,,,,
898,,,,,|862_898_4_445_,,|898_898_6_462_,
899,,,,,,,,
900,,,,,,,,
901,,,,,,,,
902,,,,,,,,
903,,,,,,,,
904,,,,,,,,
905,,,,,,,,
906,,,,,,,|886_906_6_455_,
907,,,,,,,,
908,,,,,,,,
909,,,,,|907_909_4_466_,,|870_909_6_450_,
910,,,,,,,,
911,,,,,,,,
912,,,,,,,,
913,,,,,,,|902_913_6_464_,
914,,,,,,|876_914_5_453_,,
915,,,,,,,|915_915_6_469_,
916,,,,,,,,
917,,,,,,,|912_917_6_467_|916_917_6_470_,
918,,|914_918_1_468_,,,,,,
919,,,,,,,,
920,,,,,,,,
921,,|917_921_1_471_,,,,,|921_921_6_474_,
922,,,,,|920_922_4_473_,,|922_922_6_475_,
923,,,,,,,,
924,,,,,,,,
925,,,,,,,,
926,,,,,|905_926_4_465_,|887_926_5_456_,|926_926_6_478_,
927,,,,,,,,
928,,,,,,,|923_928_6_476_,
929,,,,,,,|929_929_6_480_,
930,,,,,,,,
931,,|927_931_1_479_,,,,,,
932,,,,,,,|932_932_6_482_,
933,,,,,,,,
934,,,,,,,,
935,,,,,,,,
936,,,,,|896_936_4_461_,,,
937,,,,,,,,
938,,,,,,,,
939,,,,,,,,
940,,,,,,,,
941,,|937_941_1_484_,,,,|901_941_5_463_,,
942,,,,,,,,
943,,,,,,,,
944,,|940_944_1_485_,,,,,,
945,,,,,,,,
946,,,,,,,,
947,,,,,,,,
948,,,,,,,,
949,,,,,,,,
950,,,,,,,,
951,,,,,,,,
952,,,,,,,,
953,,,,,,,,
954,,,,,,,,
955,,,,,,,,
956,,,,,,,,
957,,,,,,,,
