tickNumber,in27,B14,B11,
141,,,|101_141_2_49_|141_141_2_68_,
142,,,,
143,,,,
144,,,,
145,,,,
146,,|144_146_1_69_,,
147,,,,
148,,,|108_148_2_53_,
149,,,,
150,,,|116_150_2_58_,
151,,,,
152,,|151_152_1_72_,,
153,,,,
154,,,,
155,|154_155_0_74_,,,
156,,,|150_156_2_71_,
157,,,|157_157_2_75_,
158,,,,
159,,|158_159_1_76_,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,|127_166_2_64_,
167,,,|153_167_2_73_,
168,,|167_168_1_79_,,
169,,|169_169_1_80_,,
170,,,,
171,,,|131_171_2_66_,
172,,,,
173,,,,
174,,|174_174_1_82_,|145_174_2_70_,
175,,,,
176,,,|165_176_2_78_,
177,,|177_177_1_84_,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,|159_188_1_77_,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,|183_194_2_88_|192_194_2_91_,
195,,,,
196,,,,
197,,|197_197_1_95_,,
198,,|175_198_1_83_,,
199,,,,
200,,,|200_200_2_98_,
201,,,,
202,,|182_202_1_87_,|198_202_2_96_,
203,,,|190_203_2_90_,
204,,|204_204_1_101_,,
205,,,,
206,,,,
207,,,|193_207_2_92_|206_207_2_102_,
208,,,,
209,,,,
210,,|194_210_1_93_,,
211,,,,
212,|212_212_0_105_,,,
213,,,|173_213_2_81_,
214,,,,
215,,,,
216,,,|203_216_2_100_,
217,,,|178_217_2_85_,
218,,,,
219,,,|179_219_2_86_,
220,,,,
221,,,,
222,,,,
223,,,,
224,,,,
225,,,|185_225_2_89_,
226,,,,
227,|220_227_0_109_,,|195_227_2_94_,
228,|216_228_0_106_,|227_228_1_112_,,
229,,|202_229_1_99_,,
230,,,,
231,,,,
232,,,,
233,,,,
234,,,|218_234_2_108_,
235,,|228_235_1_113_|229_235_1_114_,|225_235_2_111_,
236,,,,
237,,,|199_237_2_97_,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,|207_243_2_103_,
244,,|240_244_1_119_,,
245,,,,
246,|245_246_0_121_,|246_246_1_122_,,
247,,,,
248,,,|237_248_2_118_,
249,,,,
250,,,,
251,,,|211_251_2_104_,
252,,,,
253,,,,
254,|217_254_0_107_,,,
255,,|255_255_1_126_,,
256,,|224_256_1_110_,,
257,,,,
258,,,,
259,,,,
260,,|256_260_1_127_,,
261,,,,
262,,,,
263,,,,
264,,,|264_264_2_129_,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,|230_270_2_115_,
271,,,|235_271_2_117_,
272,,|241_272_1_120_,,
273,,,,
274,,,|234_274_2_116_,
275,,,,
276,|252_276_0_124_,,,
277,,,,
278,,,,
279,,,|278_279_2_135_,
280,,,,
281,,,,
282,,,,
283,,,,
284,,,|253_284_2_125_,
285,,,|284_285_2_137_,
286,,,,
287,,,,
288,,|275_288_1_133_,,
289,,,,
290,,,,
291,,,|251_291_2_123_,
292,,,,
293,,,,
294,,|271_294_1_131_,,
295,,,,
296,,,,
297,|296_297_0_145_,|258_297_1_128_,,
298,,,,
299,,,,
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,|293_305_1_142_,,
306,,|292_306_1_141_,|287_306_2_138_,
307,,,,
308,,,|268_308_2_130_|306_308_2_151_,
309,,,,
310,,,,
311,,,,
312,,,,
313,,,|273_313_2_132_,
314,,,,
315,,,,
316,,|277_316_1_134_,,
317,,,,
318,,,,
319,,,,
320,,,,
321,|321_321_0_159_,,,
322,,,,
323,,,|283_323_2_136_,
324,,,,
325,,,,
326,,|325_326_1_162_,|302_326_2_149_,
327,,,|324_327_2_161_,
328,,|294_328_1_143_,|288_328_2_139_,
329,,|295_329_1_144_,,
330,,,,
331,|315_331_0_155_,,|291_331_2_140_|326_331_2_163_,
332,,,,
333,|316_333_0_156_,,,
334,,,,
335,,,,
336,,,,
337,,,|297_337_2_146_|334_337_2_167_,
338,,,|298_338_2_147_|299_338_2_148_|308_338_2_153_,
339,,,,
340,,|331_340_1_165_,,
341,,,,
342,,|340_342_1_170_,,
343,,|307_343_1_152_,,
344,,,|304_344_2_150_,
345,,,,
346,,,|323_346_2_160_,
347,,|313_347_1_154_,,
348,,,,
349,,,,
350,|339_350_0_169_,,,
351,,,,
352,,,,
353,,,,
354,,,,
355,,,,
356,,,,
357,,,|317_357_2_157_,
358,,,,
359,,,|319_359_2_158_,
360,,,,
361,,,,
362,,,,
363,,,|347_363_2_172_,
364,,|358_364_1_181_,,
365,,|350_365_1_174_,,
366,,,,
367,,,,
368,,,,
369,|329_369_0_164_,,,
370,,|352_370_1_176_,|359_370_2_182_,
371,,,|353_371_2_177_,
372,,,|357_372_2_180_,
373,,|333_373_1_166_,,
374,,,,
375,,,,
376,,|336_376_1_168_,,
377,,|360_377_1_183_,,
378,,,|371_378_2_191_,
379,,,,
380,,,,
381,,,,
382,,,,
383,,,,
384,|377_384_0_192_,,|364_384_2_185_,
385,|384_385_0_195_,,,
386,,|385_386_1_196_,|346_386_2_171_,
387,,,|361_387_2_184_,
388,,,,
389,,,|349_389_2_173_,
390,,,,
391,,,|351_391_2_175_,
392,,,,
393,,,,
394,,,,
395,,,|355_395_2_178_,
396,,,|356_396_2_179_,
397,,,,
398,,,,
399,,,|370_399_2_190_,
400,,,,
401,|388_401_0_199_,,,
402,,,,
403,,,,
404,,,,
405,,|367_405_1_188_,|365_405_2_186_,
406,|401_406_0_205_,,|366_406_2_187_,
407,,,,
408,,,|368_408_2_189_,
409,,,,
410,,,,
411,,,,
412,,,,
413,,,,
414,,,,
415,,,,
416,,,,
417,|394_417_0_203_,,,
418,,,|378_418_2_193_,
419,,|414_419_1_211_,,
420,,,|380_420_2_194_|417_420_2_214_,
421,,,,
422,,,,
423,,,,
424,,,|386_424_2_197_,
425,,|422_425_1_215_,,
426,,,,
427,,,|387_427_2_198_,
428,,,,
429,|402_429_0_206_,|423_429_1_216_,,
430,|390_430_0_200_,,,
431,,|408_431_1_209_,|391_431_2_201_,
432,|392_432_0_202_,,,
433,,,,
434,,,,
435,,,,
436,,,,
437,,,,
438,,,,
439,,,|399_439_2_204_,
440,,,,
441,,,,
442,,,,
443,,,,
444,,,,
445,,,|435_445_2_224_,
446,,|407_446_1_208_,|406_446_2_207_,
447,,,,
448,|410_448_0_210_,,|415_448_2_212_,
449,,,,
450,,,,
451,,,|429_451_2_219_,
452,,,,
453,,,,
454,,,,
455,,,,
456,,,|416_456_2_213_,
457,,,,
458,,,,
459,,,,
460,,,,
461,,,,
462,,|426_462_1_218_,,
463,,,,
464,,|424_464_1_217_,,
465,,,,
466,,|432_466_1_222_,,
467,,,,
468,,,,
469,,,,
470,,,|430_470_2_220_,
471,,|451_471_1_227_,|431_471_2_221_,
472,,,,
473,,,,
474,,|434_474_1_223_,,
475,,,,
476,,,,
477,,,,
478,,,|438_478_2_225_,
479,,|459_479_1_231_,|458_479_2_230_,
480,,,,
481,,|474_481_1_239_,,
482,,,,
483,,,,
484,,,,
485,,,,
486,,|447_486_1_226_,,
487,,,,
488,,,,
489,,,,
490,,,,
491,,,,
492,,|461_492_1_232_,,
493,,,,
494,,,,
495,|455_495_0_228_,,,
496,,,|456_496_2_229_,
497,,|470_497_1_237_,,
498,,,,
499,,,,
500,|488_500_0_248_,,,
501,,,,
502,,,|462_502_2_233_|467_502_2_236_|480_502_2_243_,
503,,,,
504,,|466_504_1_235_,,
505,|465_505_0_234_,,,
506,,,,
507,,|471_507_1_238_,|487_507_2_247_,
508,|497_508_0_253_,,|496_508_2_252_,
509,|508_509_0_259_,,,
510,,,,
511,,,,
512,,,,
513,,,,
514,,,,
515,,,,
516,,,,
517,,,|477_517_2_240_,
518,,,|478_518_2_241_,
519,,,|479_519_2_242_|516_519_2_264_,
520,,,,
521,,,,
522,|482_522_0_244_,,,
523,,,|483_523_2_245_,
524,,|486_524_1_246_,,
525,,|523_525_1_268_,,
526,,|490_526_1_250_,,
527,,,,
528,,,,
529,|489_529_0_249_,,|526_529_2_269_,
530,,,,
531,,,,
532,,,,
533,,|493_533_1_251_,|502_533_2_256_,
534,,,,
535,,|504_535_1_257_,,
536,,,|498_536_2_254_,
537,,,|535_537_2_275_,
538,,,,
539,,|515_539_1_263_,|499_539_2_255_|510_539_2_261_,
540,,,,
541,,,,
542,,,,
543,,,,
544,,|542_544_1_281_,,
545,,,|541_545_2_280_,
546,,|507_546_1_258_,,
547,,,|547_547_2_284_,
548,,,,
549,|509_549_0_260_,,,
550,,,,
551,,,,
552,,,,
553,,,,
554,|540_554_0_279_,|514_554_1_262_,,
555,,,,
556,,|520_556_1_266_,,
557,,,,
558,,,,
559,,,|519_559_2_265_,
560,,,,
561,,,,
562,,,|522_562_2_267_,
563,,,,
564,,,,
565,,|531_565_1_272_,,
566,,,|545_566_2_282_|558_566_2_289_,
567,,|530_567_1_271_,,
568,,,|528_568_2_270_,
569,,|562_569_1_292_,|563_569_2_293_,
570,,,|536_570_2_276_,
571,,,,
572,,|532_572_1_273_,|561_572_2_291_,
573,,,,
574,,,|534_574_2_274_,
575,,,|537_575_2_277_,
576,,,|564_576_2_294_,
577,,,,
578,,,|538_578_2_278_,
579,,,,
580,,,|546_580_2_283_,
581,,,,
582,,,,
583,,,,
584,,|571_584_1_298_,,
585,,,,
586,,,,
587,,,,
588,,|548_588_1_285_,,
589,,,,
590,,,|550_590_2_286_,
591,,|554_591_1_287_,,
592,,,,
593,,,|573_593_2_299_,
594,,,,
595,,|557_595_1_288_,,
596,,,,
597,,,,
598,,,,
599,,,,
600,,|560_600_1_290_|593_600_1_311_,,
601,,,,
602,,|602_602_1_317_,,
603,,,,
604,,,,
605,,,,
606,,,|566_606_2_295_,
607,,,|567_607_2_296_,
608,,,,
609,,|569_609_1_297_,,
610,,,,
611,,,,
612,,,,
613,,,,
614,,,|574_614_2_300_,
615,,,|583_615_2_305_,
616,,|585_616_1_307_,|576_616_2_301_,
617,,,,
618,,,|578_618_2_302_,
619,|579_619_0_303_,,,
620,,,,
621,,,,
622,,,|582_622_2_304_,
623,,,,
624,,|584_624_1_306_,,
625,,,,
626,|586_626_0_308_,,|596_626_2_313_,
627,,,,
628,,,,
629,,,,
630,|590_630_0_309_,,,
631,,,|591_631_2_310_,
632,,,,
633,,,,
634,,,,
635,,,|595_635_2_312_|632_635_2_332_,
636,,,,
637,,,,
638,,,|598_638_2_314_,
639,,,,
640,,|600_640_1_315_,,
641,,,|601_641_2_316_,
642,,,|605_642_2_319_,
643,,,,
644,|604_644_0_318_,,,
645,,,,
646,,,,
647,,,|622_647_2_326_,
648,,,,
649,,,|609_649_2_320_,
650,,,,
651,,,,
652,,,,
653,,,,
654,|614_654_0_321_,|615_654_1_322_,,
655,,,,
656,,,|617_656_2_323_,
657,,,,
658,,,,
659,,,|619_659_2_324_,
660,|627_660_0_329_,,,
661,,|621_661_1_325_,,
662,,,,
663,|623_663_0_327_,,,
664,,,,
665,,|625_665_1_328_,,
666,,,,
667,,,,
668,,,,
669,,,,
670,,|630_670_1_330_,,
671,,|631_671_1_331_,,
672,,,,
673,|633_673_0_333_,,,
674,,,,
675,,,|635_675_2_334_,
676,,|636_676_1_335_,,
677,,,|637_677_2_336_,
678,,,|638_678_2_337_,
679,,,|639_679_2_338_,
680,,,,
681,,|651_681_1_343_,,
682,,,|642_682_2_339_,
683,,,,
684,,,,
685,,|645_685_1_340_,,
686,,,|646_686_2_341_,
687,,,|666_687_2_354_,
688,,,,
689,,,,
690,|664_690_0_352_,,|650_690_2_342_,
691,,,,
692,,,,
693,|653_693_0_344_,,,
694,,,|654_694_2_345_,
695,|655_695_0_346_,|658_695_1_347_,,
696,,,,
697,,,,
698,,,,
699,,,|659_699_2_348_,
700,,|660_700_1_349_,,
701,,,|661_701_2_350_,
702,,,,
703,,,|663_703_2_351_,
704,,,,
705,,|665_705_1_353_,,
706,,,,
707,,,,
708,|668_708_0_355_,,,
709,,,,
710,,,,
711,,,,
712,,,,
713,,|679_713_1_358_,,
714,,,|674_714_2_356_,
715,,,,
716,,,,
717,,,|677_717_2_357_|680_717_2_359_,
718,,,,
719,,,,
720,|682_720_0_361_,,,
721,,,|681_721_2_360_,
722,,,,
723,,,|683_723_2_362_,
724,,,,
725,,,,
726,,,,
727,,,,
728,,,,
729,,,|689_729_2_363_,
730,,,|690_730_2_364_,
731,,,|693_731_2_366_,
732,|692_732_0_365_,,,
733,,,,
734,,,,
735,,|695_735_1_367_|696_735_1_368_,,
736,,,,
737,,,,
738,,,,
739,,,|699_739_2_369_,
740,,,,
741,,,,
742,,,,
743,,,,
744,,,,
745,,,,
746,|706_746_0_370_,,,
747,,,,
748,,,|708_748_2_371_,
749,,,,
750,,|710_750_1_372_,,
751,,|711_751_1_373_,,
752,,|712_752_1_374_,,
753,,,,
754,|714_754_0_375_,,,
755,,,|716_755_2_376_,
756,,,,
757,,,|717_757_2_377_,
758,,,,
759,,,|719_759_2_378_,
760,,,,
761,,,,
762,,,,
763,,,,
764,,,,
765,,|725_765_1_379_,,
766,,,,
767,,|727_767_1_380_,,
768,,|728_768_1_381_,,
769,,,,
770,,,,
771,,,,
772,,,,
773,,,|733_773_2_382_|753_773_2_390_,
774,,,,
775,,,,
776,,,|736_776_2_383_,
777,,|743_777_1_385_,,
778,,,,
779,,,,
780,,|740_780_1_384_,,
781,,,,
782,,,,
783,,,,
784,,,,
785,,,,
786,,|746_786_1_386_,,
787,,,|748_787_2_387_,
788,,,,
789,,,,
790,,,,
791,,|751_791_1_388_,,
792,|752_792_0_389_,,,
793,,,|754_793_2_391_,
794,,,,
795,,,|755_795_2_392_,
796,,,,
797,,,,
798,,,,
799,,,,
800,,,,
801,,,,
802,,,,
803,,,|763_803_2_393_,
804,,,|764_804_2_394_,
805,,,|765_805_2_395_,
806,,,,
807,,,|767_807_2_396_,
808,,,,
809,,,,
810,,,,
811,,,,
812,,,,
813,,,,
814,,,,
815,,,,
816,,,,
817,,|777_817_1_397_,,
818,,,,
819,,|779_819_1_398_,,
820,,|780_820_1_399_,,
821,,|781_821_1_400_,,
822,,,,
823,,,|783_823_2_401_,
824,,|784_824_1_402_,,
825,,,,
826,,,,
827,,|787_827_1_403_,,
828,,|788_828_1_404_,,
829,,|789_829_1_405_,,
830,,,|790_830_2_406_,
831,,,,
832,,,,
833,,,,
834,,,,
835,,,|795_835_2_407_,
836,,|796_836_1_408_,,
837,,,,
838,,|798_838_1_409_,,
839,,,,
840,,|800_840_1_410_,|832_840_2_423_,
841,,|801_841_1_411_,,
842,,,,
843,,,|803_843_2_412_,
844,,,|804_844_2_413_,
845,,|805_845_1_414_,,
846,,,,
847,|831_847_0_422_,|807_847_1_415_,,
848,,,,
849,,,,
850,,,,
851,,,|811_851_2_416_,
852,,,,
853,,,,
854,,,,
855,,,|815_855_2_417_,
856,,|816_856_1_418_,,
857,,|817_857_1_419_,,
858,,,,
859,,,,
860,,,|820_860_2_420_,
861,,,,
862,,,,
863,,,,
864,,,,
865,,,,
866,,,,
867,,,,
868,,|828_868_1_421_,,
869,,,,
870,,,,
871,,,,
872,,,,
873,,,,
874,,,,
875,,,,
876,,,,
877,|837_877_0_424_,,,
878,,,|839_878_2_425_,
879,,,,
880,,,,
881,,,|841_881_2_426_,
882,,,,
883,,,,
884,,,,
885,,,,
886,,,|846_886_2_427_,
887,,,,
888,,,,
889,,,|849_889_2_428_,
890,,,,
891,,,,
892,,,,
893,,,,
894,,,,
895,,,,
896,,,|882_896_2_442_,
897,,,,
898,,|858_898_1_429_,,
899,,|859_899_1_430_,,
900,,|860_900_1_431_,,
901,,|861_901_1_432_,,
902,,,,
903,,,,
904,,,,
905,,,|865_905_2_433_,
906,,,,
907,,,,
908,,,|868_908_2_434_,
909,,|869_909_1_435_,|896_909_2_447_,
910,,,,
911,,,,
912,,|872_912_1_436_,,
913,,|873_913_1_437_,,
914,,,,
915,,,,
916,,,|876_916_2_438_,
917,,,,
918,,|878_918_1_439_,,
919,,,,
920,,|880_920_1_440_,,
921,,,|881_921_2_441_,
922,,,,
923,,,,
924,,,,
925,,,,
926,,,,
927,|887_927_0_443_,,,
928,,,,
929,,,,
930,,,|890_930_2_444_,
931,,,,
932,,,,
933,,,|893_933_2_445_,
934,,,,
935,,,|895_935_2_446_,
936,,,,
937,,,,
938,,,|898_938_2_448_,
939,,|903_939_1_450_,,
940,,,,
941,,,|901_941_2_449_,
942,,,,
943,,|904_943_1_451_,,
944,,,,
945,,|905_945_1_452_,,
946,,,,
947,,|907_947_1_453_,,
948,,,|908_948_2_454_,
949,,|909_949_1_455_,,
950,,|910_950_1_456_,,
951,,,,
952,,,|912_952_2_457_,
953,,,,
954,,,,
955,,,,
956,,,,
957,,,|917_957_2_458_,
958,,,|918_958_2_459_,
959,,|919_959_1_460_,,
960,,,|920_960_2_461_,
961,,,|960_961_2_473_,
962,,,,
963,,|923_963_1_462_,,
964,,,,
965,,,,
966,,,,
967,,,,
968,,,,
969,,,,
970,,,,
971,,,,
972,,,,
973,,,,
974,,|934_974_1_463_,,
975,,|935_975_1_464_,,
976,|936_976_0_465_,,,
977,,,,
978,,,|938_978_2_466_,
979,,,,
980,,|940_980_1_467_,,
981,,,,
982,,,,
983,,,|943_983_2_468_,
984,,,,
985,,,,
986,,,,
987,,,|947_987_2_469_,
988,,,|948_988_2_470_,
989,,,,
990,,,,
991,,,,
992,,,,
993,,,,
994,,,,
995,,|955_995_1_471_,,
996,,,,
997,,,,
998,,,,
999,,|959_999_1_472_,,
1000,,,,
1001,,|961_1001_1_474_,,
1002,,,,
1003,,,,
1004,,,,
1005,,,,
1006,,|966_1006_1_475_,,
1007,|967_1007_0_476_,,,
1008,,,|968_1008_2_477_,
1009,,,,
1010,,,,
1011,|995_1011_0_486_,|971_1011_1_478_,,
1012,,,,
1013,,,,
1014,,|974_1014_1_479_,,
1015,,,|975_1015_2_480_,
1016,,,,
1017,,|977_1017_1_481_,,
1018,,,,
1019,,,,
1020,,,,
1021,,,,
1022,,,|1005_1022_2_491_,
1023,,,,
1024,,,,
1025,,,,
1026,,,,
1027,,,|987_1027_2_482_,
1028,,,,
1029,|989_1029_0_483_,,,
1030,,,,
1031,,,,
1032,,,,
1033,,,|993_1033_2_484_,
1034,,|994_1034_1_485_,,
1035,,,,
1036,,,|996_1036_2_487_,
1037,,,,
1038,,,,
1039,,,,
1040,,,|1000_1040_2_488_,
1041,,,|1001_1041_2_489_,
1042,,,,
1043,,,|1003_1043_2_490_,
1044,,,,
1045,,,,
1046,,|1006_1046_1_492_,,
1047,,,|1007_1047_2_493_,
1048,,|1008_1048_1_494_,,
1049,,,,
1050,,,,
1051,,,|1011_1051_2_495_,
1052,,,,
1053,,|1013_1053_1_496_,,
1054,,|1014_1054_1_497_,,
1055,,,,
1056,,,|1016_1056_2_498_,
1057,,|1017_1057_1_499_,,
1058,,,,
1059,|1019_1059_0_500_,,,
1060,,,|1020_1060_2_501_,
1061,,,,
1062,,|1022_1062_1_502_,,
1063,,,,
1064,,|1024_1064_1_503_,,
1065,,,|1025_1065_2_504_,
1066,,,,
1067,,,,
1068,,,,
1069,,|1029_1069_1_505_,,
1070,,,,
1071,,,|1031_1071_2_506_,
1072,,,|1032_1072_2_507_,
1073,,,,
1074,,,,
1075,,,|1035_1075_2_508_,
1076,,,,
1077,,,,
1078,,,,
1079,,,|1039_1079_2_509_,
1080,|1040_1080_0_510_,,,
1081,,,|1041_1081_2_511_,
1082,,,,
1083,,,|1043_1083_2_512_,
1084,,,,
1085,|1045_1085_0_513_,,,
1086,,,,
1087,,|1047_1087_1_514_,,
1088,,,,
1089,,,|1049_1089_2_515_,
1090,,,,
1091,,,,
1092,,,,
1093,,,,
1094,,,|1054_1094_2_516_,
1095,,,,
1096,,,,
1097,,,,
1098,,,,
1099,,,|1059_1099_2_517_,
1100,,,,
1101,,,|1061_1101_2_518_,
1102,,,|1062_1102_2_519_,
1103,,,,
1104,,,,
1105,,,,
1106,,,|1066_1106_2_520_,
1107,,|1067_1107_1_521_,,
1108,,,,
1109,,,,
1110,,,,
1111,,,,
1112,,|1072_1112_1_522_,,
1113,,,|1073_1113_2_523_,
1114,,,|1074_1114_2_524_,
1115,,,,
1116,,,|1076_1116_2_525_,
1117,,,,
1118,,,|1078_1118_2_526_,
1119,,,|1079_1119_2_527_,
1120,,,,
1121,,,,
1122,,|1082_1122_1_528_,,
1123,,,,
1124,,,,
1125,,,,
1126,,,,
1127,,,|1087_1127_2_529_,
1128,,,,
1129,,,|1089_1129_2_530_,
1130,,,,
1131,,,,
1132,,,|1092_1132_2_531_,
1133,,|1093_1133_1_532_,,
1134,,,|1094_1134_2_533_,
1135,,,,
1136,,|1096_1136_1_534_,,
1137,,,,
1138,,,|1098_1138_2_535_,
1139,,,,
1140,,,,
1141,|1101_1141_0_536_,,,
1142,,,,
1143,,,,
1144,,,|1104_1144_2_537_,
1145,,,|1105_1145_2_538_,
1146,,,,
1147,,,|1107_1147_2_539_,
1148,,,,
1149,,,|1109_1149_2_540_,
1150,,,|1110_1150_2_541_,
1151,,,,
1152,,|1112_1152_1_542_,,
1153,,|1113_1153_1_543_,,
1154,,|1114_1154_1_544_,,
1155,,,,
1156,,,,
1157,,|1117_1157_1_545_,,
1158,,,,
1159,,|1119_1159_1_546_,,
1160,|1120_1160_0_547_,,,
1161,,|1121_1161_1_548_,,
1162,,,,
1163,,,,
1164,,,,
1165,,,,
1166,,,,
1167,,,,
1168,,,,
1169,,|1129_1169_1_549_,,
1170,,,,
1171,,|1131_1171_1_550_,,
1172,,,,
1173,,,,
1174,,|1134_1174_1_551_,,
1175,,,,
1176,,|1136_1176_1_552_,,
1177,,,|1137_1177_2_553_,
1178,,|1138_1178_1_554_,,
1179,,|1139_1179_1_555_,,
1180,,,,
1181,,,,
1182,,,,
1183,,,,
1184,,,,
1185,,,,
1186,,,,
1187,,,,
1188,,,,
1189,,,,
1190,,,|1150_1190_2_556_,
1191,,,|1151_1191_2_557_,
1192,,,|1152_1192_2_558_,
1193,,,,
1194,,,,
1195,,,,
1196,,,,
1197,,,,
1198,,,|1158_1198_2_559_,
1199,,,,
1200,,,,
1201,,,,
1202,,,,
1203,,,|1163_1203_2_560_,
1204,,,,
1205,,,,
1206,,,,
1207,,,,
1208,,,,
1209,,,,
1210,,,|1170_1210_2_561_,
1211,,,|1171_1211_2_562_,
1212,,|1172_1212_1_563_,,
1213,,,|1173_1213_2_564_,
1214,,|1174_1214_1_565_,,
1215,,,,
1216,,,|1176_1216_2_566_,
1217,,,,
1218,,,,
1219,,|1179_1219_1_567_,,
1220,,,,
1221,,,,
1222,,,,
1223,,,,
1224,,,,
1225,,,,
1226,,,,
1227,,,|1187_1227_2_568_,
1228,,|1188_1228_1_569_,,
1229,,,|1189_1229_2_570_,
1230,,,|1190_1230_2_571_,
1231,,,,
1232,,,|1192_1232_2_572_,
1233,,,,
1234,,,,
1235,,,,
1236,|1196_1236_0_573_,,,
1237,,,,
1238,,|1198_1238_1_574_,,
1239,,,|1199_1239_2_575_,
1240,,|1200_1240_1_576_,,
1241,,|1201_1241_1_577_,,
1242,,,,
1243,,,,
1244,,,|1204_1244_2_578_,
1245,,,,
1246,|1206_1246_0_579_,,,
1247,,|1207_1247_1_580_,,
1248,,,,
1249,,,,
1250,,|1210_1250_1_581_,,
1251,,,,
1252,,|1212_1252_1_582_,,
1253,,,|1213_1253_2_583_,
1254,,|1214_1254_1_584_,,
1255,,,,
1256,,,,
1257,,,,
1258,,|1218_1258_1_585_,,
1259,,,,
1260,|1220_1260_0_586_,,,
1261,,,,
1262,,,,
1263,,,|1223_1263_2_587_,
1264,,|1224_1264_1_588_,,
1265,|1225_1265_0_589_,,,
1266,,,,
1267,,,,
1268,,,,
1269,,,,
1270,,,|1230_1270_2_590_,
1271,,,|1231_1271_2_591_,
1272,,,,
1273,,,|1233_1273_2_592_,
1274,,,|1234_1274_2_593_,
1275,,|1235_1275_1_594_,,
1276,,,,
1277,,,,
1278,,,|1238_1278_2_595_,
1279,,,,
1280,,,,
1281,,,|1241_1281_2_596_,
1282,,,,
1283,,,|1243_1283_2_597_,
1284,,,,
1285,,,,
1286,,,,
1287,,,|1247_1287_2_598_,
1288,,|1248_1288_1_599_,,
1289,,,|1249_1289_2_600_,
1290,,,|1250_1290_2_601_,
1291,,,|1251_1291_2_602_,
1292,,,,
1293,,|1253_1293_1_603_,,
1294,,,,
1295,,|1255_1295_1_604_,,
1296,,|1256_1296_1_605_,,
1297,,|1257_1297_1_606_,,
1298,,,|1258_1298_2_607_,
1299,,,|1259_1299_2_608_,
1300,,,|1260_1300_2_609_,
1301,,,,
1302,,,|1262_1302_2_610_,
1303,,,,
1304,,,,
1305,,|1265_1305_1_611_,,
1306,,,,
1307,,,,
1308,,|1268_1308_1_612_,,
1309,,,,
1310,,,,
