tickNumber,in27,B14,B11,cn12,B54,
100,,,|96_100_2_49_,,,
101,,,,,,
102,,,,,,
103,,|101_103_1_51_,,,,
104,,,,,,
105,,,,,|99_105_4_50_,
106,,,,,|103_106_4_53_,
107,,|104_107_1_54_,,,,
108,,,,,,
109,,,,,,
110,,|110_110_1_57_,,,|108_110_4_56_,
111,,,|105_111_2_55_,,,
112,,,,,,
113,,,,,,
114,|113_114_0_59_,|102_114_1_52_,,,,
115,,,,,,
116,,,|111_116_2_58_,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,|118_124_2_60_,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,|128_129_2_65_,,|124_129_4_63_,
130,,,,,,
131,|123_131_0_62_,,,,,
132,,,,,,
133,,,,,,
134,,|95_134_1_48_,,,,
135,,,,,,
136,,|127_136_1_64_,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,|139_142_2_69_,|119_142_3_61_,|142_142_4_71_,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,|138_146_2_68_,,|146_146_4_73_,
147,,,,,,
148,,,|148_148_2_75_,,|147_148_4_74_,
149,,,,,,
150,,,,,|150_150_4_76_,
151,,,,,,
152,,,,,,
153,,,,,|133_153_4_66_,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,|141_159_4_70_,
160,,,,,,
161,,|157_161_1_81_,,,,
162,,,,,,
163,,,,,|163_163_4_87_,
164,|152_164_0_78_,,|135_164_2_67_,,,
165,,,,,,
166,,|160_166_1_84_,,,|154_166_4_79_,
167,,,,,|158_167_4_82_,
168,,,|144_168_2_72_,,,
169,|167_169_0_90_,,,,|162_169_4_86_,
170,,,,,|161_170_4_85_,
171,,,|171_171_2_92_,,,
172,,,,,,
173,,,,,,
174,,,|174_174_2_94_,,|165_174_4_88_,
175,,,,,,
176,,,|166_176_2_89_,,|156_176_4_80_,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,|159_180_2_83_,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,|151_184_1_77_,,,,
185,,,,,,
186,,,,,|172_186_4_93_,
187,,,,,|180_187_4_96_,
188,,,,,,
189,|185_189_0_98_,|182_189_1_97_,,,,
190,,,,,,
191,,,,,,
192,|168_192_0_91_,,,,,
193,,,,,,
194,,,,,,
195,,|194_195_1_100_,|195_195_2_101_,,,
196,,,,,,
197,,|190_197_1_99_,,,,
198,,,,,,
199,,,,,,
200,|199_200_0_103_,,,,,
201,,,,,,
202,,,,,,
203,,,,,,
204,,,,,,
205,,|202_205_1_105_,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,|204_209_2_107_,,,
210,,,|175_210_2_95_,,|205_210_4_108_,
211,,|198_211_1_102_,,,,
212,,|211_212_1_112_,,,|203_212_4_106_,
213,,,,,,
214,,|213_214_1_114_,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,|200_224_4_104_,
225,,,,,,
226,|212_226_0_113_,,,,,
227,,,,,,
228,,,,,,
229,,,,,,
230,,,,,,
231,,|207_231_1_110_,,,,
232,,,,,|220_232_4_118_,
233,,|208_233_1_111_,,,|219_233_4_117_,
234,,,,,,
235,,|206_235_1_109_,,,|226_235_4_120_,
236,,,,,,
237,,|231_237_1_122_,,,,
238,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,|218_242_4_116_,
243,,,,,,
244,,,,,,
245,,,,,|239_245_4_125_,
246,,,,,|217_246_4_115_,
247,,,,,,
248,,|247_248_1_129_,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,,,|227_252_2_121_,,,
253,,,,,,
254,,,,,,
255,,,|249_255_2_131_,,|225_255_4_119_,
256,,,|240_256_2_126_,,,
257,,,,,,
258,,|233_258_1_123_,,,,
259,,,,,,
260,,,,,|238_260_4_124_,
261,,,,,,
262,,,,,,
263,,|242_263_1_127_,,,,
264,,,,,,
265,,,,,|256_265_4_134_,
266,,|248_266_1_130_,,,,
267,,,,,,
268,,,,,,
269,,,,,,
270,,,|262_270_2_136_,,,
271,,,,,,
272,,,|269_272_2_140_,,,
273,|251_273_0_132_,,,,,
274,,|259_274_1_135_,,,,
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,,|267_279_1_138_,,,,
280,,,,,,
281,,,,,,
282,,,,,,
283,,,,,,
284,,|254_284_1_133_,,,,
285,,,|284_285_2_147_,,,
286,,|246_286_1_128_|278_286_1_144_,,,|264_286_4_137_,
287,,,,,,
288,,,,,,
289,,,,,,
290,,|290_290_1_149_,,,|274_290_4_143_,
291,,,,,,
292,,,|280_292_2_146_,,,
293,,,,,|268_293_4_139_,
294,,,|291_294_2_150_,,,
295,,,,,,
296,,,,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,,,,,,
301,,,|298_301_2_153_,,|301_301_4_155_,
302,,,,,|279_302_4_145_,
303,,,,,,
304,,,|288_304_2_148_,,,
305,,,,,|305_305_4_158_,
306,,|293_306_1_151_,,,,
307,,,,|273_307_3_142_,,
308,,,,,,
309,,,|306_309_2_159_|308_309_2_161_,,,
310,,,|310_310_2_163_,,|271_310_4_141_,
311,,|304_311_1_157_,,,,
312,,,,,,
313,,,,,,
314,,,|303_314_2_156_|314_314_2_166_,,,
315,,,,,,
316,,,,,,
317,,,,,,
318,,,,,,
319,,,|313_319_2_165_,,,
320,,,,,,
321,,,,,,
322,,,,,|299_322_4_154_,
323,,,,,,
324,,,,,,
325,,|324_325_1_172_,,,,
326,,,,,,
327,,,,,,
328,,,,,,
329,,|296_329_1_152_,,,,
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,|325_334_2_173_,,,
335,,,,,|330_335_4_176_,
336,,,,,,
337,,|332_337_1_177_,,,,
338,,,,,,
339,,,|312_339_2_164_,,,
340,,,,,,
341,,,|309_341_2_162_,,,
342,,|321_342_1_170_,,,|317_342_4_168_,
343,,,,,|333_343_4_178_,
344,,|316_344_1_167_,,,,
345,,,,|329_345_3_175_,|340_345_4_183_,
346,,|307_346_1_160_,,,,
347,,,,|320_347_3_169_,,
348,,,,,,
349,,,,,|322_349_4_171_,
350,,,,,,
351,,,,,,
352,,,,,,
353,,,,,,
354,,,,,,
355,,,,,,
356,,,,,,
357,,,,,,
358,,,,,,
359,,|335_359_1_180_,|347_359_2_188_,,,
360,,,,,,
361,,,|346_361_2_187_,,,
362,,,,,,
363,,|327_363_1_174_,,,,
364,,,,,|349_364_4_190_,
365,,,,,|334_365_4_179_,
366,,,,,,
367,,,,,,
368,,,,,,
369,,,,,|365_369_4_198_,
370,,,,,,
371,,,,,,
372,,,,,,
373,|348_373_0_189_,,,,|357_373_4_193_,
374,,,|337_374_2_181_,,,
375,,,,,|367_375_4_199_,
376,,,,,,
377,,|339_377_1_182_,,,,
378,,,,,,
379,,,,,|377_379_4_205_,
380,,|343_380_1_185_,,,,
381,,,,,,
382,,|342_382_1_184_,,,,
383,,,,,,
384,,,,,,
385,,,|372_385_2_202_,,|345_385_4_186_,
386,,,,,,
387,,,|373_387_2_203_,,,
388,,,|381_388_2_207_,,|359_388_4_194_,
389,,,|360_389_2_195_,,,
390,,|361_390_1_196_,,,,
391,,,,,,
392,,,,,|386_392_4_209_,
393,,,,,,
394,,,,,|356_394_4_192_,
395,,,,,|355_395_4_191_,
396,,,,,,
397,,,,,,
398,,,,,|368_398_4_200_,
399,,,|383_399_2_208_,,,
400,,,,,,
401,|362_401_0_197_,,,,,
402,,|392_402_1_212_,,,|374_402_4_204_,
403,,,,,,
404,,,,,|379_404_4_206_,
405,|391_405_0_211_,,,,,
406,,,,,,
407,,,,,,
408,,,,,,
409,,,,,,
410,,,,,|371_410_4_201_,
411,,,,,,
412,,,|387_412_2_210_,,,
413,,,|402_413_2_217_,,,
414,,|396_414_1_214_,,,,
415,,,,,,
416,,,,,|413_416_4_224_,
417,,,,,,
418,,,,,,
419,,,,,,
420,,,,,,
421,,,,,,
422,,,,,|409_422_4_222_,
423,,,,,,
424,,,,,,
425,|393_425_0_213_,,|404_425_2_219_,,,
426,,,,,|411_426_4_223_,
427,,,,,,
428,,|423_428_1_228_,|398_428_2_215_,,|403_428_4_218_,
429,,,,,,
430,,,,,,
431,,|424_431_1_229_,|428_431_2_232_,,,
432,,|415_432_1_225_,,,,
433,,,,,,
434,,,|419_434_2_226_,,,
435,,,,,,
436,,,,,,
437,,,,,|400_437_4_216_,
438,,,,,,
439,,,|432_439_2_234_,|426_439_3_230_,,
440,,|427_440_1_231_,,,,
441,,,,,|407_441_4_221_,
442,,,,,,
443,,,,,,
444,,|406_444_1_220_,,,,
445,,,,,,
446,,,,,,
447,,,,,,
448,,,,,,
449,,,,,,
450,,,,,,
451,,,,,,
452,,,|421_452_2_227_,,,
453,,,,,,
454,,|435_454_1_235_,,,,
455,,|449_455_1_240_,|430_455_2_233_,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,,,
460,,,,,,
461,,|439_461_1_238_,,,,
462,,,,,,
463,,,,,,
464,,,,,,
465,,,,,,
466,,|436_466_1_236_,|464_466_2_248_,,,
467,,,,,,
468,,,|445_468_2_239_,,,
469,,,,,,
470,,,,,,
471,,|459_471_1_246_,,,,
472,,,|470_472_2_252_,,,
473,,|457_473_1_245_,|453_473_2_242_,,,
474,,|473_474_1_254_,,,,
475,,,,,,
476,,,,|451_476_3_241_,,
477,,,,,,
478,,,|438_478_2_237_,,,
479,,,,,,
480,,,,,,
481,,,,,|477_481_4_258_,
482,,,,,,
483,,,,,|463_483_4_247_,
484,,,,,,
485,,,,,,
486,,,,,,
487,,,,,,
488,,,,,,
489,,|488_489_1_264_,,,,
490,,,|481_490_2_260_,,,
491,,|467_491_1_250_,,,,
492,,|469_492_1_251_,,,|474_492_4_255_,
493,,,|454_493_2_243_,,|456_493_4_244_,
494,,|486_494_1_263_,,,,
495,,,,,,
496,,,,,,
497,,,|490_497_2_266_,,,
498,,,,,,
499,,,,,,
500,,,|472_500_2_253_,,,
501,,,,,,
502,,|466_502_1_249_,,,,
503,,,,,,
504,,,|491_504_2_267_,,,
505,,,,,,
506,,,,,,
507,,|476_507_1_257_,|494_507_2_269_,,,
508,,,,,,
509,,,,,,
510,,,,,,
511,,|492_511_1_268_,,,,
512,,,,,,
513,,|501_513_1_271_,,,,
514,,,,,|480_514_4_259_,
515,,,|475_515_2_256_,,,
516,,,,,,
517,,,,,,
518,,,,,,
519,|484_519_0_261_,,,,,
520,,,,,,
521,,,,,,
522,,,,,,
523,,,,,|485_523_4_262_,
524,,,,,,
525,,,,,,
526,,,,,,
527,,,,,,
528,,,,,,
529,|489_529_0_265_,,,,,
530,,,,,,
531,,,,,,
532,,,,,|506_532_4_273_,
533,,,,,|499_533_4_270_,
534,,,,,,
535,,,,,,
536,,,,,,
537,,,,,,
538,,,,,|535_538_4_288_,
539,,,|502_539_2_272_,,,
540,,,,,,
541,,|524_541_1_284_,,,,
542,,,,,,
543,,,,,,
544,,|519_544_1_281_,,,,
545,,,,,,
546,,,,,|509_546_4_275_,
547,,,,,,
548,,|508_548_1_274_,,,,
549,,,,,,
550,,,,,|514_550_4_279_,
551,,|512_551_1_277_,,|511_551_3_276_,,
552,,,,,,
553,,,,,|513_553_4_278_,
554,,,,,|516_554_4_280_,
555,,,,,|526_555_4_285_,
556,,,,,,
557,,,,,,
558,,|543_558_1_289_,,,,
559,,,,,|522_559_4_283_,
560,,,|544_560_2_290_,,,
561,,|521_561_1_282_,|527_561_2_286_,,,
562,,|534_562_1_287_,,,,
563,,,,,,
564,,,,,,
565,,,,,,
566,,,,,,
567,,|563_567_1_301_,,,,
568,,,,,,
569,,,,,,
570,,,|570_570_2_304_,,|555_570_4_297_,
571,,,,,,
572,,,,,,
573,,,,,,
574,,,,,,
575,,,,,,
576,,,,,,
577,,,,,,
578,,,,,,
579,,,,,|551_579_4_294_,
580,,,,,,
581,,,,,,
582,,,,,,
583,,,,,,
584,|550_584_0_293_,,,,,
585,,,,,|545_585_4_291_,
586,,,,,|578_586_4_308_,
587,|547_587_0_292_,,|560_587_2_299_,,,
588,,,,,,
589,,,,,,
590,|554_590_0_296_,|579_590_1_309_,,,,
591,,,,,,
592,,,|553_592_2_295_,,,
593,,,|561_593_2_300_,,,
594,,,,,,
595,,,,,,
596,,,,,,
597,,,,,,
598,|558_598_0_298_,,,,,
599,,,,,,
600,,,,,,
601,,,,,,
602,,,,,,
603,,,,,,
604,,,,,,
605,,,,,|566_605_4_302_,
606,,,,,,
607,,,|567_607_2_303_,,,
608,,,|576_608_2_306_,,,
609,,,|575_609_2_305_,,,
610,,,,,,
611,|577_611_0_307_,,,,,
612,,,,,,
613,,,,,,
614,,,,,,
615,,,,,,
616,,,,,,
617,,,,,,
618,,,,,|580_618_4_310_,
619,,,,,,
620,,,,,|586_620_4_313_,
621,,|594_621_1_317_,,,|581_621_4_311_,
622,,,,,,
623,,,,,,
624,,,,,|584_624_4_312_,
625,,,,,,
626,,|591_626_1_315_,,,,
627,,,,,,
628,,,,,,
629,|592_629_0_316_,,|589_629_2_314_,,,
630,,|600_630_1_321_,,,|595_630_4_318_,
631,,,,,,
632,,,|606_632_2_324_,,,
633,,,,,,
634,,|607_634_1_325_,,,,
635,,,,,,
636,,,,,,
637,,|597_637_1_319_,,,,
638,,,,,,
639,,|599_639_1_320_,,,|604_639_4_323_,
640,,,,,,
641,|603_641_0_322_,,,,,
642,,,,,,
643,,,,,|622_643_4_332_,
644,,,,,|615_644_4_328_,
645,,,,,|610_645_4_327_,
646,,,,,,
647,,,|621_647_2_331_,,,
648,,,,,,
649,|609_649_0_326_,,,,,
650,,,|620_650_2_330_,,,
651,,,,,,
652,,,,,,
653,,,,,,
654,,,,,,
655,,,,,,
656,,,,,,
657,,,,,,
658,,,,,,
659,,,,,|619_659_4_329_,
660,,,,,,
661,,,,,,
662,,|660_662_1_350_,|630_662_2_335_,,,
663,,,,|623_663_3_333_,,
664,,,,,,
665,,,,,|626_665_4_334_,
666,,,,,,
667,,,,,,
668,|632_668_0_336_,,,,,
669,,,,,,
670,,,,,,
671,,,,,,
672,,|633_672_1_337_,,|640_672_3_339_,,
673,,,,,,
674,,,,,,
675,,,,,,
676,|637_676_0_338_,,,,,
677,,,,,,
678,,,|648_678_2_344_,,,
679,,,,,,
680,,|647_680_1_343_,,,,
681,,,|642_681_2_340_,,,
682,,,,,,
683,|643_683_0_341_,,|645_683_2_342_,,,
684,,,,,,
685,,,,,,
686,,,,,,
687,,,,,,
688,,,,,,
689,,|650_689_1_345_,,,,
690,,,|652_690_2_346_,,,
691,,,,,,
692,,,,,,
693,|653_693_0_347_,,,,,
694,,,,,,
695,,,,,,
696,,,,,,
697,,,|658_697_2_348_,,,
698,,,,,,
699,,,,,|659_699_4_349_,
700,,,,,,
701,,|663_701_1_352_,,,|661_701_4_351_,
702,,,,,,
703,,,,,,
704,,,,,|664_704_4_353_,
705,,,|669_705_2_357_,,|665_705_4_354_,
706,|666_706_0_355_,,,,,
707,,,|675_707_2_360_,,,
708,,|668_708_1_356_|670_708_1_358_,|673_708_2_359_,,,
709,,,,,,
710,,,,,,
711,,,,,,
712,,,,,,
713,,,,,,
714,,,,,,
715,,,,,,
716,,|677_716_1_361_,,,,
717,,,,,,
718,,,,,|678_718_4_362_,
719,,,,,,
720,,,,,,
721,|681_721_0_363_,,,,,
722,,,,,,
723,,,,,,
724,,,,,,
725,,,,,,
726,,,,,,
727,,,,,,
728,,|688_728_1_364_,,,,
729,,,,,,
730,,,,,,
731,,,,,,
732,,|692_732_1_365_,,,,
733,,,,,|693_733_4_366_,
734,,,,,,
735,,|695_735_1_367_,,,,
736,,,,,,
737,,,,,,
738,,,,,,
739,,,,,,
740,,,,,,
741,,,|701_741_2_368_,,,
742,,,,,|702_742_4_369_,
743,,,,,,
744,,,,,,
745,,,,,,
746,,,,,,
747,,|707_747_1_370_,,,,
748,,,,,|708_748_4_371_,
749,,,,,,
750,,,,,|710_750_4_372_,
751,,,,,|711_751_4_373_,
752,,,,,,
753,,,,,,
754,,,,,,
755,,,,,,
756,,,,,,
757,,|717_757_1_374_,,,,
758,,,,,,
759,,,|719_759_2_375_,,,
760,,,,,|720_760_4_376_,
761,,,,,,
762,,,,,,
763,,,|725_763_2_377_,,,
764,,,,,,
765,,,,,,
766,,,,,,
767,,,,,,
768,,,,,,
769,,|729_769_1_378_,,,,
770,,,,,,
771,,,,,,
772,,,,,,
773,,,,,,
774,,|734_774_1_379_,,,,
775,,,|735_775_2_380_,,,
776,,,,,,
777,,|737_777_1_381_,,,,
778,,,,,,
779,,,,,|739_779_4_382_,
780,,,,,|740_780_4_383_,
781,,,,,,
782,|742_782_0_384_,,,,,
783,,,,,,
784,,,,,,
785,,,,,,
786,,,,,,
787,,,,,,
788,,,,,,
789,,,,,,
790,,,,,,
791,|754_791_0_386_,|752_791_1_385_,,,,
792,,,,,,
793,,,,,,
794,,|755_794_1_387_,,,,
795,,,,,,
796,,,,,,
797,,,,,,
798,,,,,,
799,,|761_799_1_388_,,,,
800,,,,,,
801,,,,,|764_801_4_390_,
802,,|762_802_1_389_,,,,
803,,,,,,
804,,,,,,
805,,|765_805_1_391_,,,,
806,,,,,,
807,,,,,,
808,,|770_808_1_392_,,,,
809,,,,,|773_809_4_394_,
810,,|775_810_1_395_,,,|809_810_4_411_,
811,,|771_811_1_393_,,,,
812,,,,,,
813,,|776_813_1_396_,,,,
814,,,,,,
815,,,,,,
816,,,,,|780_816_4_398_,
817,,,,,,
818,,|803_818_1_408_,|778_818_2_397_,,,
819,,,|817_819_2_418_,,,
820,,,,,|781_820_4_399_,
821,,,,,,
822,,|784_822_1_400_,,,,
823,,,,,,
824,,,,,,
825,,,|787_825_2_401_,,,
826,,,,,,
827,,,,,,
828,,,,,,
829,,,,,|799_829_4_405_,
830,,,,,,
831,,|800_831_1_406_,|793_831_2_402_,,,
832,,,,,,
833,,|794_833_1_403_,,,,
834,,|804_834_1_409_,,,,
835,,|796_835_1_404_,,,,
836,,,,,,
837,,,,,,
838,,,,,,
839,,,,,,
840,,|812_840_1_414_,,,,
841,,|814_841_1_415_,,,,
842,,|802_842_1_407_,,,,
843,,|805_843_1_410_,,,,
844,,,,,|811_844_4_413_,
845,,|816_845_1_417_,,,,
846,,,,,,
847,,|810_847_1_412_,,,,
848,,,,,,
849,,,,,,
850,,,,,,
851,,,,,,
852,,,,,,
853,,,,,,
854,,|815_854_1_416_,,,,
855,,,,,,
856,,|819_856_1_419_|820_856_1_420_,,,,
857,,|828_857_1_423_,,,,
858,,,,,,
859,,,,,,
860,,,,,,
861,,,,,|851_861_4_436_,
862,,,,,,
863,,|823_863_1_421_,,,,
864,,|833_864_1_425_|838_864_1_429_,|830_864_2_424_,,|824_864_4_422_,
865,,,,,,
866,,,,,,
867,,|842_867_1_431_,,,,
868,,|834_868_1_426_,,,,
869,,,,,,
870,,,,,,
871,,,,,,
872,,,,,,
873,,,,,,
874,,,,,|844_874_4_433_,
875,,|835_875_1_427_,,,,
876,|836_876_0_428_,,,,,
877,,|854_877_1_438_,,,,
878,,,,,,
879,,,,,,
880,,,,,|840_880_4_430_|843_880_4_432_,
881,,,,,,
882,,,,,,
883,,,,,,
884,,,,,,
885,,,,,,
886,,|853_886_1_437_,|846_886_2_434_,,,
887,,|850_887_1_435_,,,,
888,,,,,,
889,,,,,,
890,,,,,,
891,,,,,,
892,,,,,,
893,,,,,|862_893_4_440_,
894,,,,,,
895,,|872_895_1_444_,,,,
896,,,,|871_896_3_443_,,
897,,,|861_897_2_439_,,,
898,,,,,,
899,,,,,,
900,,,,,,
901,,,,,,
902,,,,,,
903,,,,,,
904,,,,,,
905,,|874_905_1_446_,,,,
906,,|868_906_1_441_,,,,
907,,,,,,
908,,|895_908_1_454_,,,,
909,,|882_909_1_447_,,,|909_909_4_461_,
910,,,,,|870_910_4_442_,
911,,,|873_911_2_445_,,,
912,,,,,,
913,,,,,,
914,,,,,,
915,,,,,,
916,,,,,,
917,|883_917_0_448_,,,,,
918,,,,,,
919,,,,,,
920,,,,,,
921,,|890_921_1_450_|898_921_1_456_,,,,
922,,|893_922_1_452_,,,,
923,,,,,,
924,,,|891_924_2_451_,,|896_924_4_455_,
925,,,,,,
926,,,|912_926_2_463_,,,
927,,,,,,
928,,,,,,
929,,,,,|889_929_4_449_,
930,,,,,,
931,,,,,,
932,,,,,,
933,,|894_933_1_453_,,,,
934,,,,,,
935,,,,,|908_935_4_460_,
936,,|911_936_1_462_,,,,
937,,,,,,
938,,,,,|901_938_4_457_,
939,,,,,|907_939_4_459_,
940,,,,,,
941,,,,,,
942,,,,,,
943,,,,,,
944,,|906_944_1_458_,,,,
945,,,,,,
946,,,,,,
947,,,,,,
948,,,,,,
949,,,,,,
950,,,|914_950_2_465_,,,
951,,,,,,
952,,,,,,
953,,,,|932_953_3_473_,|913_953_4_464_,
954,|916_954_0_466_,,,,,
955,,|918_955_1_467_,|919_955_2_468_,,,
956,,,,,,
957,|933_957_0_474_,|939_957_1_477_,,,,
958,,,,,,
959,,|928_959_1_471_,,,,
960,,,,,,
961,,,,,,
962,,|923_962_1_469_,,,,
963,,|927_963_1_470_,,,,
964,,|954_964_1_486_,,,,
965,,,,,,
966,,|929_966_1_472_,,,,
967,,,,,,
968,,,,,,
969,,,,,,
970,,|938_970_1_476_,,,,
971,,,,,,
972,|941_972_0_478_,|968_972_1_491_,|934_972_2_475_,,,
973,,,,,|947_973_4_481_,
974,,,,,,
975,,,,,,
976,,|952_976_1_484_,,,,
977,,|944_977_1_479_,,,,
978,,,,,|945_978_4_480_,
979,,,,,,
980,,|955_980_1_487_,,,,
981,,|981_981_1_497_,|960_981_2_489_,,,
982,|949_982_0_482_,,,,,
983,,,,,|970_983_4_493_,
984,,,,,,
985,,,,,,
986,|951_986_0_483_,,,,,
987,,,,,,
988,,,,,,
989,,,,,,
990,,,,,,
991,,,,,,
992,,|969_992_1_492_,,,,
993,,|953_993_1_485_|990_993_1_500_,,,,
994,,,,,,
995,,,,,,
996,,,,,,
997,,,,,,
998,,|958_998_1_488_,,,|977_998_4_494_,
999,,,,,,
1000,,,,,,
1001,,,,,,
1002,,,,,|967_1002_4_490_,
1003,,,,,,
1004,,,,,,
1005,,,,,,
1006,,,,,,
1007,,,,,|982_1007_4_498_,
1008,,,,,,
1009,,,,,,
1010,,,,,|992_1010_4_501_,
1011,,,,,,
1012,,|1012_1012_1_507_,,,,
1013,,,,,,
1014,,,,,,
1015,,,,,,
1016,,,,,,
1017,,,,,,
1018,,|1007_1018_1_505_,,,,
1019,,,,,|979_1019_4_495_,
1020,,|980_1020_1_496_,,,,
1021,,,,,,
1022,,|985_1022_1_499_,,,,
1023,,,,,,
1024,,,,,,
1025,,,,,,
1026,,|1003_1026_1_504_,,,,
1027,,,,,,
1028,,,,,,
1029,,,,,,
1030,,,,,,
1031,,,,,,
1032,,,,,|1017_1032_4_510_,
1033,,,,,,
1034,,|1001_1034_1_502_,,,,
1035,,,,,,
1036,,,,,,
1037,,,,,,
1038,,,,,,
1039,,,,,,
1040,,,,,,
1041,,|1002_1041_1_503_,,,,
1042,,,,,,
1043,,,,,,
1044,,,,,,
1045,,,,,,
1046,,|1025_1046_1_512_,,,|1027_1046_4_514_,
1047,,,,,,
1048,,,,,,
1049,,,,,|1009_1049_4_506_,
1050,,,|1016_1050_2_509_,,,
1051,,,,,,
1052,,,|1035_1052_2_519_,,,
1053,,,,,|1014_1053_4_508_,
1054,,,,,,
1055,,,,,,
1056,,,,,,
1057,|1023_1057_0_511_,,,,,
1058,,,,,,
1059,,,,,,
1060,,,,,,
1061,,|1026_1061_1_513_,,,,
1062,,,|1033_1062_2_517_,,|1043_1062_4_521_,
1063,,,,,,
1064,,,,,|1052_1064_4_523_,
1065,,,,,,
1066,,,,,,
1067,,,,,,
1068,,|1063_1068_1_531_,,,|1034_1068_4_518_,
1069,,|1030_1069_1_515_,,,,
1070,,,|1032_1070_2_516_,,,
1071,,,,,,
1072,,,,,,
1073,,,,,,
1074,,,,,,
1075,,,,,,
1076,,,|1045_1076_2_522_,,|1042_1076_4_520_,
1077,,,,,,
1078,,,,,,
1079,,,,,,
1080,|1061_1080_0_529_,,|1062_1080_2_530_,,,
1081,,,,,,
1082,,|1055_1082_1_525_,,,,
1083,,,,,,
1084,,,,,,
1085,,,|1059_1085_2_528_,,,
1086,,|1079_1086_1_534_,,,,
1087,,,,,,
1088,,,,,,
1089,,,,,,
1090,,,,,,
1091,,|1057_1091_1_527_,,,,
1092,,,,,,
1093,,|1075_1093_1_533_,,,|1053_1093_4_524_,
1094,|1056_1094_0_526_,,|1074_1094_2_532_,,,
1095,,,,,,
1096,,,,,,
1097,,,,,,
1098,,,,,,
1099,,,,,,
1100,,,,,,
1101,,|1087_1101_1_539_,,,,
1102,,,,,,
1103,,,,,,
1104,,,,,,
1105,,,,,,
1106,|1104_1106_0_548_,,,,,
1107,,,,,,
1108,,,,,,
1109,,,,,,
1110,,,,,,
1111,,,,,,
1112,,,,,,
1113,,,,,,
1114,,,,,,
1115,,,,,,
