tickNumber,in27,B14,B11,cn12,B54,
103,|101_103_0_51_,,,,,
104,,,|59_104_2_26_,,,
105,,,,,,
106,,,,,,
107,,|102_107_1_52_,,,,
108,,,,,|108_108_4_56_,
109,,,,,,
110,,|110_110_1_57_,,,,
111,,,,,,
112,|104_112_0_54_,|89_112_1_44_,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,|103_117_4_53_,
118,|118_118_0_60_,,,,,
119,,|119_119_1_61_,,,,
120,,,,,,
121,,,|88_121_2_43_,,,
122,|113_122_0_59_,,|96_122_2_49_,,,
123,,,,,,
124,,,,|123_124_3_62_,,
125,,,,,,
126,,,,,,
127,,|127_127_1_64_,,,,
128,,,,|128_128_3_65_,,
129,,,,,,
130,,,,,,
131,,,,|94_131_3_47_,,
132,,,,,,
133,,,,,,
134,,,,,,
135,|111_135_0_58_,,,,,
136,,,,,,
137,,,,,,
138,|87_138_0_42_,,,,,
139,|139_139_0_69_,,|105_139_2_55_,,,
140,,,,,,
141,,,,,,
142,,,|135_142_2_67_,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,|142_152_4_71_,
153,,,,,,
154,,,,,|146_154_4_73_,
155,,,,,|154_155_4_79_,
156,,,,,,
157,,,,,,
158,,,|144_158_2_72_,,,
159,,,,,,
160,|160_160_0_84_,,,,,
161,,,|152_161_2_78_,,,
162,,,,,|162_162_4_86_,
163,,,,,,
164,,,,,|150_164_4_76_,
165,,,,,,
166,,,,,,
167,,,,,,
168,,|157_168_1_81_,,,|163_168_4_87_,
169,|168_169_0_91_,,,,,
170,,,|148_170_2_75_,,,
171,|171_171_0_92_,,,,|147_171_4_74_,
172,,,,,,
173,,,,,|158_173_4_82_,
174,,,,,,
175,,,,|167_175_3_90_,|141_175_4_70_,
176,,,,,,
177,,,,,,
178,,,,,|165_178_4_88_,
179,,|124_179_1_63_,,,,
180,,,,,|133_180_4_66_,
181,,,,,,
182,,,,,|180_182_4_96_,
183,,,,,,
184,,,,,,
185,,|151_185_1_77_,,,|172_185_4_93_,
186,,,|185_186_2_98_,,,
187,,,,,,
188,|138_188_0_68_,,,,,
189,,,,,,
190,,,,|182_190_3_97_,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,|159_195_0_83_,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,|175_202_0_95_,,|198_202_2_102_,,,
203,|202_203_0_105_,,,,|161_203_4_85_,
204,,,,,|203_204_4_106_,
205,|194_205_0_100_,,,,,
206,,,,,|200_206_4_104_,
207,|166_207_0_89_,|207_207_1_110_,,,|156_207_4_80_,
208,,,,,,
209,|174_209_0_94_,,,,,
210,,,,,,
211,,,,,,
212,,|211_212_1_112_,,,,
213,|199_213_0_103_,,,,,
214,,,,,,
215,|195_215_0_101_,,,,,
216,,,,,,
217,,,,,,
218,,,,,|218_218_4_116_,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,|217_225_4_115_,
226,,,,,|220_226_4_118_|225_226_4_119_,
227,,,,,,
228,,,,,,
229,,,,,,
230,,|206_230_1_109_,,,,
231,,,,,,
232,,|212_232_1_113_,,,,
233,,,|204_233_2_107_,,|226_233_4_120_,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,,|231_238_1_122_,,,|238_238_4_124_,
239,,|190_239_1_99_,,,,
240,|240_240_0_126_,,,,,
241,,|208_241_1_111_,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,|233_245_1_123_,,,,
246,,,,,,
247,|213_247_0_114_,,,,,
248,,|242_248_1_127_,,,,
249,,,,,,
250,,,,,,
251,,|246_251_1_128_,,,,
252,,,,,|205_252_4_108_,
253,,,,,,
254,,|254_254_1_133_,,,,
255,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,,,,,|239_259_4_125_,
260,,,,,,
261,,,,,,
262,,,|251_262_2_132_,,,
263,,,,,,
264,,|248_264_1_130_,,,,
265,,,,,,
266,|262_266_0_136_,,,,,
267,,,,,,
268,,|267_268_1_138_,,,|268_268_4_139_,
269,,,|249_269_2_131_,,,
270,,,,,,
271,,,,,,
272,,|247_272_1_129_,,,,
273,,,,,,
274,,,,,,
275,,,,,,
276,,,|227_276_2_121_,,,
277,,,,,,
278,,,,,|219_278_4_117_,
279,,,,,,
280,,,,,,
281,,,,|273_281_3_142_,,
282,,,,,,
283,,,,,,
284,,|259_284_1_135_,,,,
285,,,,,|264_285_4_137_,
286,,,,,,
287,,,,,,
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,,,,,|290_296_4_149_,
297,,,|291_297_2_150_,,,
298,|269_298_0_140_,,,,,
299,,,,,,
300,,,,,,
301,,,,,,
302,,,,,,
303,,,,,,
304,,,,,,
305,,,,,|299_305_4_154_,
306,|288_306_0_148_,,,,,
307,,,,,,
308,,|293_308_1_151_,,,,
309,|309_309_0_162_,,,,,
310,,,,,,
311,|284_311_0_147_,,,,,
312,,,,,,
313,,,|303_313_2_156_,,,
314,,,,,,
315,,,,,|256_315_4_134_,
316,|298_316_0_153_,,,,,
317,,,,,,
318,,,,,|271_318_4_141_,
319,,,,,,
320,,,,,,
321,,,,,,
322,,,,,,
323,,,,,,
324,,,,,|317_324_4_168_,
325,,,,,,
326,,|278_326_1_144_,,,,
327,,|307_327_1_160_,,,,
328,|312_328_0_164_,,|308_328_2_161_,,,
329,,,|280_329_2_146_,,,
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,|274_334_4_143_,
335,,|316_335_1_167_,,,,
336,,,,,|332_336_4_177_,
337,,,,,,
338,,,,,,
339,,,,,|279_339_4_145_,
340,,,,,|340_340_4_183_,
341,,,,,,
342,,,,,,
343,,,,,,
344,,|343_344_1_185_,|320_344_2_169_,,,
345,,,|345_345_2_186_,|310_345_3_163_,|305_345_4_158_,
346,,,,,,
347,|306_347_0_159_,,,,,
348,,,,,,
349,,|321_349_1_170_,,,,
350,,,,,,
351,,,,,,
352,,,,,,
353,,,,,|333_353_4_178_,
354,,,,,,
355,,|296_355_1_152_,,,,
356,,,,,|334_356_4_179_,
357,,,,,,
358,,,,,|301_358_4_155_,
359,,,,,,
360,,|348_360_1_189_,,,,
361,,,,,|349_361_4_190_,
362,,,,,,
363,,,|325_363_2_173_,,,
364,,|304_364_1_157_,,,,
365,,,|342_365_2_184_,,,
366,,,,,|357_366_4_193_,
367,,,,,,
368,,,,,|367_368_4_199_,
369,,,,,,
370,,,|314_370_2_166_,,,
371,|360_371_0_195_,,,,,
372,,|329_372_1_175_|335_372_1_180_,,,,
373,,,|313_373_2_165_,,|322_373_4_171_,
374,,,,,,
375,,,,,,
376,,,,,|330_376_4_176_,
377,,,,,,
378,|347_378_0_188_,|324_378_1_172_,,,,
379,,,,,|355_379_4_191_,
380,,,,,,
381,|337_381_0_181_,|327_381_1_174_,,,,
382,,,,,,
383,,,,,,
384,,,|381_384_2_207_,,,
385,,|361_385_1_196_,,,,
386,,,,,,
387,,,,,,
388,,,,,,
389,,,,,,
390,,,,,,
391,,,,,,
392,|346_392_0_187_,,,,,
393,,,,,,
394,,,,,,
395,,,,,,
396,,,,|362_396_3_197_,,
397,,|339_397_1_182_,,,,
398,,,,,,
399,,,,,,
400,|398_400_0_215_,,|373_400_2_203_,,,
401,,,,,|365_401_4_198_,
402,,,,,,
403,,,|387_403_2_210_,,,
404,,,,,|356_404_4_192_,
405,,,,,,
406,,,,,,
407,,,,,|368_407_4_200_,
408,,,,,,
409,,|393_409_1_213_,|404_409_2_219_,,,
410,,,,,|403_410_4_218_,
411,,|406_411_1_220_,,,,
412,,,,,|359_412_4_194_,
413,,,,,,
414,,,,,,
415,,,,,|386_415_4_209_,
416,,,,,|377_416_4_205_,
417,,,,,|409_417_4_222_,
418,,,,,|374_418_4_204_,
419,,,,,,
420,,,,,,
421,,,,,,
422,,,,,,
423,,|415_423_1_225_,,,,
424,,,,,,
425,,,,,,
426,,|426_426_1_230_,,,,
427,,|396_427_1_214_,,,,
428,,,,,,
429,|402_429_0_217_,,,,,
430,,,|383_430_2_208_|428_430_2_232_,,,
431,,,,,|371_431_4_201_,
432,|432_432_0_234_,,|372_432_2_202_,,|413_432_4_224_,
433,,,|423_433_2_228_,,,
434,,,,,|379_434_4_206_,
435,,,,,|392_435_4_212_,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,,,,
440,,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,,,|411_446_4_223_,
447,,,,,,
448,,,,|391_448_3_211_,,
449,,,,,,
450,,,,,,
451,,,,,,
452,|445_452_0_239_,,,,,
453,,,,,,
454,|421_454_0_227_,,,,,
455,,,,,,
456,,,,,,
457,,,,,,
458,|419_458_0_226_,,,,,
459,,|424_459_1_229_,,,|400_459_4_216_,
460,,,,,,
461,,|436_461_1_236_,,,,
462,|430_462_0_233_,,,,|407_462_4_221_,
463,,,,,,
464,,,,,,
465,,,,,,
466,,,,,,
467,,,,,,
468,,,,,,
469,,,,,,
470,,,,,|463_470_4_247_,
471,,,,,,
472,,,,,,
473,,|459_473_1_246_,,,,
474,,|451_474_1_241_,|438_474_2_237_,,,
475,|472_475_0_253_,|439_475_1_238_,,,,
476,,,,,,
477,,|427_477_1_231_,,,,
478,,,,,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,,,,
484,,,,,,
485,,,,,,
486,,,,,,
487,,,,,,
488,,|435_488_1_235_,,,|474_488_4_255_,
489,,,,,,
490,,,,,,
491,,,,,,
492,,,,,,
493,,,,,,
494,,,,,,
495,,|457_495_1_245_,,,,
496,,,,,,
497,,,,,,
498,,,|490_498_2_266_,,,
499,,,,,,
500,,,,,|456_500_4_244_,
501,|464_501_0_248_,,,,,
502,,|469_502_1_251_,,,,
503,|453_503_0_242_,,,,,
504,,,,,,
505,,,|502_505_2_272_,,,
506,,,,,,
507,,|449_507_1_240_,,|467_507_3_250_,,
508,,,,,,
509,,,,|470_509_3_252_,,
510,,,,,,
511,,|476_511_1_257_,,,,
512,,,|454_512_2_243_,,,
513,,,,,,
514,,,,,,
515,,|508_515_1_274_,|466_515_2_249_,,,
516,,,,,,
517,,,,,,
518,,,,,,
519,,,,,,
520,,,,,,
521,,,,,,
522,,|492_522_1_268_,,,,
523,,,,,,
524,,,,,|477_524_4_258_,
525,,,,,,
526,,,,,,
527,,,,,,
528,,|488_528_1_264_,,,,
529,,|473_529_1_254_,,,,
530,,,,,,
531,,,,,,
532,,,,,,
533,,,,,,
534,,,|475_534_2_256_,,,
535,,,,,,
536,|494_536_0_269_,,,,|480_536_4_259_|535_536_4_288_,
537,,|484_537_1_261_,,,,
538,,,,,,
539,|481_539_0_260_,,,,,
540,,,,,,
541,,,,,,
542,,,,,,
543,,,,,,
544,,,,,|485_544_4_262_,
545,|491_545_0_267_,,,,|514_545_4_279_,
546,,|486_546_1_263_,,,,
547,,|512_547_1_277_,,,,
548,,,,,,
549,,,,|489_549_3_265_,,
550,,|519_550_1_281_,,,,
551,,,,,,
552,,,,,,
553,,,,,,
554,,,,,,
555,,,,,,
556,|511_556_0_276_,,,,,
557,,,,,|513_557_4_278_,
558,,,,,,
559,,,,,|499_559_4_270_,
560,,,,,,
561,,,|554_561_2_296_,,|501_561_4_271_,
562,,,,,,
563,,|516_563_1_280_,,,,
564,,,,,,
565,,,,,,
566,,,,,|506_566_4_273_,
567,,,,,,
568,,|524_568_1_284_,,,|509_568_4_275_,
569,,,,,,
570,,,,,,
571,,,,,,
572,,,|527_572_2_286_,,,
573,,,,,,
574,,,,,,
575,,,,,,
576,,,|550_576_2_293_,,,
577,,,,,,
578,,,,,,
579,,,,,,
580,,|521_580_1_282_,,,,
581,,,,,,
582,,,,,|522_582_4_283_,
583,,|563_583_1_301_,,,,
584,,,,,,
585,|544_585_0_290_,,|570_585_2_304_,,,
586,,,,,|526_586_4_285_,
587,,,,,,
588,,,,,,
589,,,,,,
590,,,,,,
591,,,,,,
592,,,|547_592_2_292_,,,
593,,,,,,
594,,|534_594_1_287_,|561_594_2_300_,,,
595,,,|575_595_2_305_,,,
596,,,,,,
597,,,,,|551_597_4_294_,
598,,,,,,
599,,,,,,
600,,,,,,
601,,,,,,
602,,,|553_602_2_295_,,,
603,,|543_603_1_289_,,,,
604,,,|560_604_2_299_,,|545_604_4_291_,
605,,,,,,
606,,,,,,
607,,,,,,
608,,,,,,
609,,,,,,
610,,,,,,
611,,,,|567_611_3_303_,,
612,,,,,,
613,,,,,,
614,,,,,|555_614_4_297_,
615,,,,,,
616,,,,,,
617,,,,,,
618,,|558_618_1_298_,,,|615_618_4_328_,
619,,,,,,
620,,,,,,
621,,,,,,
622,,,,,,
623,,,,,,
624,,,|620_624_2_330_,,,
625,,,,,|566_625_4_302_,
626,,,,,,
627,,,,,,
628,,,,,,
629,,,,,,
630,|576_630_0_306_,,,,,
631,,,,,,
632,,,,,,
633,,,,,,
634,,,,,,
635,,,,,,
636,|577_636_0_307_,,,,,
637,,|597_637_1_319_,,,|578_637_4_308_,
638,,,,,|584_638_4_312_,
639,,|579_639_1_309_,|589_639_2_314_,,,
640,,,,,|580_640_4_310_,
641,,,,,|581_641_4_311_,
642,,,,,,
643,,,,,,
644,,,,,,
645,,|591_645_1_315_,,,|586_645_4_313_,
646,,,,,,
647,,,,,,
648,,,,,,
649,,,,,,
650,,,,,,
651,,,,,|595_651_4_318_,
652,,|592_652_1_316_,,,,
653,,,,,,
654,,|594_654_1_317_,,,,
655,,,,,,
656,,,,,,
657,,,,,,
658,,,,,,
659,,|599_659_1_320_,,,,
660,,|600_660_1_321_,,,,
661,,,,,,
662,|603_662_0_322_,,,,,
663,|609_663_0_326_,,,,|604_663_4_323_,
664,,,,,,
665,,|633_665_1_337_,,,,
666,|606_666_0_324_,,,,,
667,,|607_667_1_325_,,,,
668,,,,,,
669,,,,,,
670,,,,,|610_670_4_327_,
671,,,,,,
672,,,,,,
673,,,|658_673_2_348_,,,
674,,,,,,
675,,,,,,
676,,,|642_676_2_340_,,,
677,|648_677_0_344_,,,,,
678,,,|621_678_2_331_,,|619_678_4_329_,
679,,,,,,
680,,,,,,
681,,,,,|622_681_4_332_,
682,,,,,,
683,,,|623_683_2_333_,,,
684,,,,,,
685,,|640_685_1_339_,,,|626_685_4_334_,
686,,,,,,
687,,,,,,
688,,,|630_688_2_335_,,,
689,,,,,,
690,|632_690_0_336_,,,,,
691,,,,,,
692,,,,,,
693,,|647_693_1_343_,,,,
694,,,|669_694_2_357_,,,
695,,,|637_695_2_338_,,,
696,,,,,,
697,,,,,,
698,,,|652_698_2_346_,,,
699,,,,,,
700,,,,,,
701,,,,,,
702,,,,,,
703,,,|643_703_2_341_,,,
704,,,,,,
705,|645_705_0_342_,,,,,
706,,|660_706_1_350_,,,,
707,,,,,,
708,,,,,,
709,,,,,,
710,,|650_710_1_345_,,,,
711,,,|653_711_2_347_,,,
712,,,,,,
713,,,,,,
714,,,,,,
715,,|688_715_1_364_,,,,
716,,,,,,
717,,,,,,
718,,,,,,
719,,,,,|659_719_4_349_,
720,,,,,,
721,,,,,|661_721_4_351_,
722,,,,,,
723,,|663_723_1_352_|665_723_1_354_,,,,
724,,,|666_724_2_355_,,|664_724_4_353_,
725,,,,,,
726,,,,,,
727,,,,,,
728,,|668_728_1_356_,,,,
729,,,,,,
730,,|670_730_1_358_,,|673_730_3_359_,,
731,,,,,,
732,,,,,,
733,,,|675_733_2_360_,,,
734,,,,,,
735,,,,,,
736,,,,,,
737,,|677_737_1_361_,,,,
738,,,,,|678_738_4_362_,
739,,,,,,
740,,,,,,
741,|681_741_0_363_,,,,,
742,,,,|701_742_3_368_,,
743,,,,,,
744,,,,,,
745,,,,,,
746,,,,,,
747,,,,,,
748,,,,,,
749,,|692_749_1_365_,,,,
750,,,,,,
751,,,,,,
752,,,,,,
753,,,,,|693_753_4_366_,
754,,,,,,
755,,|695_755_1_367_,,,,
756,,,,,,
757,,,,,,
758,,,,,,
759,,,,,,
760,,,,,,
761,,,,,,
762,,,,,|702_762_4_369_,
763,,,,,,
764,,,,,,
765,,,,,,
766,,,,,,
767,,|707_767_1_370_,,,,
768,,,,,|708_768_4_371_,
769,,,,,,
770,,,,,|710_770_4_372_,
771,,,,,|711_771_4_373_,
772,,,,,,
773,,,,,,
774,,,,,,
775,,,,,,
776,,,,,,
777,,|717_777_1_374_,,,,
778,,,,,,
779,|719_779_0_375_,,,,,
780,,,|720_780_2_376_,,,
781,,,,,,
782,,,,,,
783,,,,,,
784,,,,,,
785,,,,,|725_785_4_377_,
786,,,,,,
787,,,,,,
788,,,,,,
789,,|729_789_1_378_,,,,
790,,,,,,
791,,,,,,
792,,,,,,
793,,,,,,
794,,|734_794_1_379_,,,,
795,,,|735_795_2_380_,,,
796,,,,,,
797,|737_797_0_381_,,,,,
798,,,,,,
799,,,,,|739_799_4_382_,
800,,,,,|740_800_4_383_,
801,,,,,,
802,,,|742_802_2_384_,,,
803,,,,,,
804,,,,,,
805,,,,,,
806,,,,,,
807,,,,,,
808,,,,,,
809,,,,,,
810,,,,,,
811,,,,,,
812,,|752_812_1_385_,,,,
813,,|754_813_1_386_,,,,
814,,,,,,
815,,|755_815_1_387_,,,,
816,,,,,,
817,,,,,|787_817_4_401_,
818,,,,,,
819,,,,,,
820,,,,,,
821,|762_821_0_389_,|761_821_1_388_,,,,
822,|819_822_0_419_,,,,,
823,,,,,,
824,,,,,|764_824_4_390_,
825,|776_825_0_396_,|765_825_1_391_,,,,
826,|770_826_0_392_,,,,,
827,,,,,,
828,,,,,,
829,,,,,,
830,,,,,,
831,|771_831_0_393_,,,,,
832,,,,,|773_832_4_394_,
833,,,,,,
834,,,,,,
835,,|775_835_1_395_,,,,
836,,,,,,
837,,,,,,
838,,|778_838_1_397_,,,,
839,,,,,,
840,,,,,|780_840_4_398_,
841,,,,,|781_841_4_399_,
842,,,,,,
843,,,,,,
844,,|784_844_1_400_,,,,
845,,,,,,
846,,,,,,
847,,,,,,
848,,,,,,
849,,,,,,
850,,,,,,
851,,,,,,
852,,,,,,
853,,,,,|793_853_4_402_,
854,,|794_854_1_403_,,,,
855,,,,,,
856,,|796_856_1_404_,,,,
857,,,,,,
858,,,,,,
859,,,,,|799_859_4_405_,
860,,|800_860_1_406_,,,,
861,,,,,,
862,|802_862_0_407_,|804_862_1_409_,,,|811_862_4_413_,
863,|833_863_0_425_,|803_863_1_408_,,,,
864,,,,,,
865,,|805_865_1_410_,,,,
866,|816_866_0_417_,,,,,
867,,,|843_867_2_432_,,,
868,,,,,,
869,,,,,|809_869_4_411_,
870,,|810_870_1_412_,,,,
871,,|814_871_1_415_,,,,
872,,|812_872_1_414_,,,,
873,,,,,,
874,,|815_874_1_416_,|817_874_2_418_,,,
875,,|835_875_1_427_,,,,
876,,,,,,
877,,,,,,
878,,,,,,
879,,,,,,
880,,|820_880_1_420_,,,,
881,,,,,,
882,,,,,,
883,|823_883_0_421_,,|836_883_2_428_,,,
884,,,,,|824_884_4_422_,
885,,,,,,
886,,,,,,
887,,,,,,
888,|828_888_0_423_,,,,,
889,,,,,,
890,,,,,|830_890_4_424_,
891,,,,,,
892,,,,,,
893,,,,,,
894,,|834_894_1_426_,,,,
895,,,,,,
896,,,,,,
897,,|850_897_1_435_,,,,
898,,|838_898_1_429_,,,,
899,,,,,,
900,,|842_900_1_431_,,,|840_900_4_430_,
901,,,,,,
902,,|898_902_1_456_,,,,
903,,,,,|844_903_4_433_|853_903_4_437_,
904,,,,,,
905,,,,,,
906,,,,,|846_906_4_434_,
907,,,,,,
908,,,,,,
909,,,,,,
910,,,,,,
911,,,,,|851_911_4_436_,
912,,,,,,
913,|854_913_0_438_,,,,,
914,,,,,,
915,,,,,,
916,|882_916_0_447_,,,,,
917,|901_917_0_457_,,|871_917_2_443_,,,
918,,,,,,
919,,|883_919_1_448_,,,,
920,,,,,,
921,,|861_921_1_439_,,,|862_921_4_440_,
922,,,,,,
923,,,,,,
924,,,,,|891_924_4_451_,
925,,,,,,
926,,,,,,
927,,,,,,
928,|868_928_0_441_,,,,|918_928_4_467_,
929,,|872_929_1_444_,,,,
930,,,,,|870_930_4_442_,
931,,,|873_931_2_445_,,,
932,,,,,,
933,,,,,,
934,,|874_934_1_446_,,,,
935,,,,,,
936,,,,,,
937,,,,,,
938,,,|907_938_2_459_,,,
939,,,,,,
940,,,,,,
941,,|911_941_1_462_,,,,
942,,,,,,
943,,,,,,
944,,,,,,
945,,,,,,
946,,,,,,
947,,,,,,
948,|893_948_0_452_,,,,|889_948_4_449_,
949,,,,,,
950,|890_950_0_450_,|894_950_1_453_,,,,
951,,,,,,
952,|895_952_0_454_,,,,,
953,,,,,,
954,,,,,|945_954_4_480_,
955,,,,,,
956,,,,,|896_956_4_455_,
957,,,,,,
958,,,,,,
959,,,,,,
960,,,,,,
961,,,,,,
962,,,,,,
963,,,,,,
964,,,,,,
965,,,,,,
966,,|906_966_1_458_,,,,
967,|928_967_0_471_,,,,|908_967_4_460_,
968,,|938_968_1_476_,,,|909_968_4_461_,
969,|932_969_0_473_,,|934_969_2_475_,,,
970,,,,,,
971,,,,,,
972,,,|912_972_2_463_,,|913_972_4_464_,
973,,,,,,
974,|916_974_0_466_,,|914_974_2_465_,,,
975,,,,,,
976,,,,,,
977,,,,,,
978,,,,,,
979,|919_979_0_468_|929_979_0_472_,,,,,
980,,,,,,
981,,,,,,
982,,,,,,
983,,|923_983_1_469_,,,,
984,,|927_984_1_470_,,,,
985,,,,,,
986,,,,,,
987,,,,,,
988,,,|947_988_2_481_,,,
989,,,,,,
990,,|968_990_1_491_,,,,
991,,,,,,
992,,,|933_992_2_474_,,,
993,,,,,,
994,,,,,,
995,,,,,,
996,,,,,,
997,,|939_997_1_477_,,,,
998,,,,,,
999,,,|941_999_2_478_,,,
1000,,|949_1000_1_482_,,,,
1001,,,,,,
1002,,,,,,
1003,,,,,,
1004,|944_1004_0_479_,,,,,
1005,,,,,,
1006,|954_1006_0_486_|955_1006_0_487_,,,,,
1007,,,,,,
1008,,,,,,
1009,,,,,,
1010,|951_1010_0_483_,,,,,
1011,,,|967_1011_2_490_,,,
1012,|960_1012_0_489_,|952_1012_1_484_,,,,
1013,,|953_1013_1_485_,,,,
1014,,,,,,
1015,,,,,,
1016,,,,,,
1017,,,,,,
1018,,|958_1018_1_488_,,,,
1019,,,,,,
1020,,,,,,
1021,,|1002_1021_1_503_,,,,
1022,,,,,,
1023,,,,,,
1024,,,,,,
1025,|990_1025_0_500_,,,,,
1026,,,,,,
1027,,,,,,
1028,,,,,,
1029,|969_1029_0_492_,,,,,
1030,,,,,|970_1030_4_493_,
1031,,,,,,
1032,,,,,,
1033,,,,,,
1034,,,,,,
1035,,,,,,
1036,,,,,,
1037,,|1026_1037_1_513_,,,|977_1037_4_494_,
1038,,,,,,
1039,,,,,|979_1039_4_495_,
1040,,,,,|980_1040_4_496_|982_1040_4_498_,
1041,|981_1041_0_497_,,,,,
1042,,,,,,
1043,,,,,,
1044,|985_1044_0_499_,,,,,
1045,,,,,,
1046,,,,,,
1047,|1032_1047_0_516_,,,,,
1048,,,,,,
1049,,,,,,
1050,,,,,,
1051,,,,,|992_1051_4_501_,
1052,,,,,,
1053,,,,,,
1054,,,,,,
1055,,,,,,
1056,,,,,,
1057,,,,,,
1058,,,,,,
1059,,,,,,
1060,,,,,,
1061,,,,,|1001_1061_4_502_,
1062,,,|1016_1062_2_509_,,,
1063,,|1003_1063_1_504_,,,,
1064,,,,,,
1065,|1007_1065_0_505_,,,,,
1066,,,,,,
1067,,,|1059_1067_2_528_,,,
1068,,,,,,
1069,,,|1009_1069_2_506_,,,
1070,,,,,,
1071,,,,,,
1072,,|1012_1072_1_507_,,,,
1073,,,|1014_1073_2_508_,,,
1074,,,,,,
1075,,,,,,
1076,,,,,|1017_1076_4_510_,
1077,,,,,,
1078,,,,,,
1079,,,,,|1035_1079_4_519_,
1080,,,,,,
1081,,,,,,
1082,,,|1023_1082_2_511_,,,
1083,,|1055_1083_1_525_,,,,
1084,,,,,,
1085,,,,,|1025_1085_4_512_,
1086,,|1075_1086_1_533_,,,|1027_1086_4_514_,
1087,,,,,,
1088,,,,,,
1089,,,,,|1030_1089_4_515_,
1090,,,,,,
1091,,,,,,
1092,,|1033_1092_1_517_,,,,
1093,,,,,,
1094,,,|1034_1094_2_518_,,,
1095,,,,,,
1096,,,,,,
1097,,,,,,
1098,,,,,,
1099,,,,,,
1100,,,,,,
1101,,,,,,
1102,,,,,|1042_1102_4_520_|1043_1102_4_521_,
1103,,,,,,
1104,,|1045_1104_1_522_,,,,
1105,,,,,,
1106,,,,,,
1107,,,,,,
1108,,,,,,
1109,,,,,,
1110,,,,,,
1111,,,,,,
1112,,,|1053_1112_2_524_,,|1052_1112_4_523_,
1113,,,,,,
1114,,|1061_1114_1_529_,,,|1062_1114_4_530_,
1115,,,,,,
1116,|1056_1116_0_526_|1057_1116_0_527_,,,,,
1117,,,,,,
1118,,,,,,
1119,,,,,,
