tickNumber,in27,B14,B11,cn12,B54,
100,,,,,,
101,,|101_101_1_51_,,,,
102,,,,,,
103,,|102_103_1_52_,,,|99_103_4_50_,
104,,,,,|103_104_4_53_,
105,,,|96_105_2_49_,,,
106,,,,,,
107,,,,,,
108,,,,,|108_108_4_56_,
109,,,,,,
110,,|93_110_1_46_,,,,
111,|104_111_0_54_,,,,,
112,,,,,,
113,,,,,,
114,,,|105_114_2_55_,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,|118_118_2_60_,,,
119,,,,,,
120,,|110_120_1_57_,,,,
121,,,,,,
122,,,,,,
123,,,,|123_123_3_62_,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,|127_127_1_64_,|111_127_2_58_,,,
128,,,,,,
129,,,,|128_129_3_65_,,
130,,,,,,
131,,,,,,
132,,,,,,
133,|113_133_0_59_,,,,,
134,,,,,|133_134_4_66_,
135,,,,,,
136,,,,,,
137,,,,,,
138,,|119_138_1_61_,|138_138_2_68_,,,
139,,,,,,
140,,,,,,
141,,,,,|141_141_4_70_,
142,,,,,|142_142_4_71_,
143,,,,,,
144,,,,,|124_144_4_63_,
145,,,,,,
146,,,|144_146_2_72_,,,
147,,,,,,
148,,,,,|147_148_4_74_,
149,,,,,,
150,,,|139_150_2_69_,,|146_150_4_73_,
151,,|151_151_1_77_,,,,
152,,|152_152_1_78_,,,,
153,,,|135_153_2_67_,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,|158_158_4_82_,
159,,|157_159_1_81_,,,|154_159_4_79_,
160,,,,,,
161,,,|160_161_2_84_,,|161_161_4_85_,
162,,,,,|162_162_4_86_,
163,,,|159_163_2_83_,,,
164,,,,,,
165,,,,,|150_165_4_76_,
166,,,|148_166_2_75_,,,
167,,,|166_167_2_89_,,,
168,|168_168_0_91_,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,|156_172_4_80_|165_172_4_88_,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,|172_176_4_93_,
177,,,|171_177_2_92_,,,
178,,,|167_178_2_90_,,,
179,,,,,,
180,,,,,|163_180_4_87_,
181,,,|175_181_2_95_,,,
182,,,,,,
183,,,,,,
184,,|182_184_1_97_,,,,
185,,,,,,
186,,,,,|180_186_4_96_,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,|174_190_2_94_,,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,|195_195_2_101_,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,|198_199_0_102_,,,,,
200,,,,,,
201,,,,,,
202,,|185_202_1_98_,,,,
203,,,,,,
204,,,,,,
205,,,,,,
206,,,,,,
207,|190_207_0_99_,|206_207_1_109_,|204_207_2_107_,,,
208,,,,,,
209,,,,,,
210,|194_210_0_100_,,,,,
211,,,,,,
212,,|211_212_1_112_,,,,
213,,,,,,
214,,,,,|203_214_4_106_,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,|199_219_0_103_,,,,,
220,,,,,|200_220_4_104_,
221,,|212_221_1_113_,,,,
222,,,,|202_222_3_105_,,
223,,,,,|217_223_4_115_,
224,,,,,,
225,,,,,|205_225_4_108_,
226,|213_226_0_114_,,,,|226_226_4_120_,
227,,|207_227_1_110_,,,,
228,,|208_228_1_111_,,,|220_228_4_118_,
229,,,,,,
230,,,,,,
231,,,,,,
232,,,,,,
233,,,,,,
234,,,,,,
235,,|233_235_1_123_,,,,
236,,,,,,
237,,,,,|218_237_4_116_,
238,,,,,|238_238_4_124_,
239,,,,,|219_239_4_117_,
240,,,,,,
241,,,,,,
242,,,|231_242_2_122_,,|239_242_4_125_,
243,,|242_243_1_127_,,,,
244,,,,,,
245,,,,,|225_245_4_119_,
246,,,,,,
247,,,|227_247_2_121_,,,
248,,,,,,
249,,|248_249_1_130_,,,,
250,,,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
255,|249_255_0_131_,,,,,
256,,,,,,
257,,,|240_257_2_126_,,,
258,,,,,,
259,,,,,,
260,,,,,,
261,,,,,,
262,,,,,,
263,,|254_263_1_133_,,,,
264,,,,,,
265,,|246_265_1_128_,,,,
266,,,,,,
267,|247_267_0_129_,,,,,
268,,,,,,
269,,,|269_269_2_140_,,,
270,,,,,,
271,,,,,|251_271_4_132_,
272,,,,,,
273,|273_273_0_142_,|259_273_1_135_,,,,
274,,,,,|268_274_4_139_,
275,,,,,,
276,,,,,|256_276_4_134_,
277,,,,,,
278,,,,,,
279,,,,,,
280,,,,,,
281,,,,,,
282,,|262_282_1_136_,,,,
283,,,,,,
284,,,,,|264_284_4_137_,
285,,,,,,
286,,,,,,
287,,|267_287_1_138_,,,,
288,,,,,|271_288_4_141_,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,|274_293_4_143_,
294,,,,,,
295,,,,,,
296,,,|291_296_2_150_,,,
297,,,,,|279_297_4_145_,
298,,|278_298_1_144_|296_298_1_152_,|298_298_2_153_,,,
299,,,,,,
300,,,|280_300_2_146_|288_300_2_148_,,,
301,,,,,,
302,,,,,,
303,,,,,,
304,|284_304_0_147_,,,,,
305,,,,,,
306,,,,,,
307,,,,,,
308,,,,,,
309,,,,,|290_309_4_149_,
310,,,,,,
311,,,,,,
312,,,,,,
313,,|293_313_1_151_,|303_313_2_156_,,,
314,,,|312_314_2_164_,,,
315,,,,,,
316,,,,,,
317,,,,,,
318,|308_318_0_161_,,,,|299_318_4_154_,
319,,|304_319_1_157_,,,,
320,,,,,|301_320_4_155_,
321,,,,,,
322,,,|306_322_2_159_|314_322_2_166_,,,
323,|310_323_0_163_,,,,,
324,,,,,,
325,,,,,|305_325_4_158_,
326,,|320_326_1_169_,,,,
327,,|307_327_1_160_,,,,
328,,,,,,
329,,|321_329_1_170_,|309_329_2_162_,,,
330,,,,,,
331,,,,,,
332,,|324_332_1_172_,,,,
333,,,|313_333_2_165_,,,
334,,,,,,
335,,,,,,
336,,|316_336_1_167_,,|329_336_3_175_,,
337,,,,,|317_337_4_168_,
338,,,,,|322_338_4_171_,
339,,,,,,
340,,,|325_340_2_173_,,,
341,,,,,,
342,,|327_342_1_174_,,,,
343,,|335_343_1_180_,,,|332_343_4_177_,
344,,,,,,
345,,,,,,
346,,,|337_346_2_181_,,,
347,,,,,,
348,,,,,,
349,,|339_349_1_182_,,,,
350,,,,,|330_350_4_176_,
351,,,,,|349_351_4_190_,
352,,,,,,
353,,|343_353_1_185_,,,|333_353_4_178_,
354,,,,,|334_354_4_179_,
355,,,,,,
356,|345_356_0_186_,,,,,
357,,,,,,
358,,,,,,
359,,,,,|340_359_4_183_|357_359_4_193_,
360,,,,,,
361,,,,,,
362,|342_362_0_184_,,,,,
363,,,|347_363_2_188_,,|359_363_4_194_,
364,,,,,,
365,,|348_365_1_189_,,,,
366,,,|346_366_2_187_,,,
367,,,,,,
368,,,,,,
369,,,,,,
370,,,,,,
371,,,,,,
372,,,|372_372_2_202_,,,
373,,,,,,
374,,,,,|355_374_4_191_,
375,,,,,|356_375_4_192_,
376,,,,,,
377,,,,,,
378,,,|360_378_2_195_,,|374_378_4_204_,
379,,,,,,
380,,,,,,
381,,|361_381_1_196_,,,|379_381_4_206_,
382,|362_382_0_197_,,,,,
383,,,|383_383_2_208_,,,
384,,,,,|365_384_4_198_|368_384_4_200_,
385,,,,,,
386,,,,,|367_386_4_199_,
387,,,|373_387_2_203_,,,
388,,,,,,
389,,,,,,
390,,,,,|371_390_4_201_,
391,,,,,,
392,,,|387_392_2_210_,,,
393,,,,,,
394,,,|381_394_2_207_,,,
395,,,,,|392_395_4_212_,
396,,,,,,
397,,|391_397_1_211_,,,|377_397_4_205_,
398,,,,,,
399,,,,,,
400,,,,,,
401,,,,,,
402,|393_402_0_213_,,|402_402_2_217_,,,
403,,,,,,
404,,,,,,
405,,,,,|386_405_4_209_,
406,,,,,,
407,,,,,,
408,,,,,,
409,,,|398_409_2_215_,,,
410,,,,,,
411,,,,,,
412,,|396_412_1_214_,,,,
413,,,,,,
414,,,,,,
415,,|415_415_1_225_,,,,
416,,,,,|411_416_4_223_,
417,,,,,,
418,,,|404_418_2_219_,,,
419,,,,,|400_419_4_216_,
420,,,,,,
421,,,,,,
422,,,,,|403_422_4_218_,
423,,,,,,
424,,,,,,
425,,,,,,
426,|423_426_0_228_,,,,|406_426_4_220_,
427,,,,|407_427_3_221_,,
428,,|424_428_1_229_,,,|409_428_4_222_,
429,,,,,,
430,,,,,,
431,,,,,,
432,|426_432_0_230_,,|430_432_2_233_,,,
433,,,|432_433_2_234_,|413_433_3_224_,,
434,,,|421_434_2_227_,,,
435,,|435_435_1_235_,,,,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,|419_439_2_226_|438_439_2_237_,,,
440,,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,,,,
447,,|427_447_1_231_,,,,
448,,|439_448_1_238_,|428_448_2_232_,,,
449,,,,,,
450,,|449_450_1_240_,,,,
451,,,,,,
452,|451_452_0_241_,|436_452_1_236_,,,,
453,,,|453_453_2_242_,,,
454,,,,,,
455,,,,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,,,
460,,,,,,
461,,,,,,
462,,,|445_462_2_239_,,,
463,,,,|463_463_3_247_,,
464,,,,,,
465,,,,,,
466,,,,,,
467,,|459_467_1_246_,,,,
468,,,,,,
469,,,,,,
470,,,,,,
471,,|457_471_1_245_|467_471_1_250_,,,,
472,,,,,|456_472_4_244_,
473,,,|454_473_2_243_,,,
474,,|470_474_1_252_,|472_474_2_253_,,,
475,,,,,,
476,,,,,,
477,,,,,,
478,,,,,,
479,,|469_479_1_251_,,,,
480,,,,,,
481,,,,,,
482,,,|464_482_2_248_,,,
483,,,,,|477_483_4_258_,
484,,,,,,
485,,,,,,
486,,,,,|466_486_4_249_,
487,,,,,,
488,,,,,,
489,,,,,,
490,,|473_490_1_254_,|490_490_2_266_,,|474_490_4_255_,
491,,,|475_491_2_256_,,|485_491_4_262_,
492,|481_492_0_260_,,,,,
493,,,,,,
494,,|492_494_1_268_,,,,
495,,,,,,
496,,|476_496_1_257_,|494_496_2_269_,,,
497,,,,,,
498,,,,|489_498_3_265_,,
499,,,,,|480_499_4_259_,
500,,,,,,
501,,,,,,
502,,,,,,
503,,|486_503_1_263_,,,,
504,,,,|484_504_3_261_,,
505,,,|502_505_2_272_,,,
506,,|488_506_1_264_,|491_506_2_267_,,|499_506_4_270_,
507,,,,,,
508,,,,,,
509,,,,,,
510,,,,,,
511,,,,,,
512,,,,,,
513,,,,,,
514,|511_514_0_276_,|512_514_1_277_,,,,
515,,,,,|506_515_4_273_,
516,,,,,,
517,,,,,,
518,,,,,,
519,,,|519_519_2_281_,,,
520,,,,,,
521,,,,,|501_521_4_271_,
522,,,,,,
523,,,,,,
524,,,,|522_524_3_283_,,
525,,,,,,
526,,|521_526_1_282_,,,,
527,,,,,,
528,,|508_528_1_274_,,,,
529,,,,,|509_529_4_275_,
530,,,,,,
531,,,,,,
532,,,,,,
533,,,,,|513_533_4_278_,
534,,|534_534_1_287_,,,|514_534_4_279_,
535,,,,,,
536,,,,,|516_536_4_280_|526_536_4_285_,
537,,,,,,
538,,,|527_538_2_286_,,,
539,,,,,,
540,,,,,,
541,,,,,,
542,,,,,,
543,,|524_543_1_284_,,,,
544,,,,,,
545,,,,,,
546,,,,,,
547,,,,,,
548,,,,|547_548_3_292_,,
549,,,,,,
550,,,,,,
551,,,,,,
552,,,,,,
553,,,,,,
554,,,,,,
555,,,,|535_555_3_288_,,
556,,|543_556_1_289_,|544_556_2_290_,,,
557,,,,,,
558,,,,,,
559,,,,,,
560,|550_560_0_293_,,,,,
561,,,,,,
562,,,,,,
563,,,,,,
564,,|563_564_1_301_,|558_564_2_298_,,,
565,,,,,|545_565_4_291_,
566,,,|561_566_2_300_,,,
567,,,,,,
568,,,,,,
569,,|554_569_1_296_,,,,
570,,,|553_570_2_295_,,,
571,,,,,|551_571_4_294_,
572,,,,,,
573,,,,,,
574,,,,,,
575,,,,|555_575_3_297_,,
576,,,|576_576_2_306_,,,
577,,,,,,
578,,,|575_578_2_305_,,,
579,,,|560_579_2_299_,,,
580,,,,,,
581,,,,,,
582,,|567_582_1_303_|579_582_1_309_,,,,
583,,,,,,
584,,,,,,
585,,,,,,
586,,,,,|566_586_4_302_,
587,,,,,,
588,,,,,,
589,,,,,,
590,,,|570_590_2_304_,,,
591,,,,,,
592,,,,,,
593,|577_593_0_307_,,,,|580_593_4_310_,
594,,,,,,
595,,,,,,
596,,,,,,
597,,,,,,
598,,|591_598_1_315_,,,|578_598_4_308_,
599,,,,,,
600,,,,,,
601,,,,,|581_601_4_311_,
602,,|589_602_1_314_,,,,
603,,,,,,
604,,,,,|584_604_4_312_,
605,,,,,,
606,,,,,|586_606_4_313_,
607,,,,,,
608,,|594_608_1_317_,,,,
609,,,,,,
610,,,,,,
611,,,,,,
612,,,,|592_612_3_316_,,
613,,,,|603_613_3_322_,,
614,,|597_614_1_319_,,,,
615,,,,,|595_615_4_318_,
616,,|599_616_1_320_,,,,
617,,,,,,
618,,,,,,
619,,,,,,
620,,|600_620_1_321_,,,,
621,,,,,,
622,,,,,,
623,,,,,,
624,,,|606_624_2_324_,,|604_624_4_323_,
625,,,,,,
626,,,,,,
627,,|607_627_1_325_,,,,
628,,,,,,
629,|609_629_0_326_,,,,,
630,,,,,|610_630_4_327_,
631,,,,,,
632,,,,,,
633,,,|620_633_2_330_,,|615_633_4_328_,
634,|623_634_0_333_,,,,,
635,,,,,,
636,,,,,,
637,,,,,,
638,,,,,,
639,,,,|619_639_3_329_,,
640,,,,,,
641,,,|621_641_2_331_,,,
642,,,,,|622_642_4_332_,
643,,,,,,
644,,,,,,
645,,,|645_645_2_342_,,|626_645_4_334_,
646,,,,,,
647,,,|630_647_2_335_,,,
648,,,,,,
649,,,,,,
650,,|637_650_1_338_,,,,
651,,,,,,
652,,,,|632_652_3_336_,,
653,,|633_653_1_337_,,,,
654,,,,,,
655,,|650_655_1_345_,,,,
656,,,,,,
657,,,|642_657_2_340_,,,
658,,,|658_658_2_348_,,,
659,,,,,,
660,,,|640_660_2_339_,,,
661,,|647_661_1_343_,|648_661_2_344_,,,
662,,,,,,
663,,|643_663_1_341_,,,,
664,,,,,,
665,,,,,,
666,,,,,,
667,,|663_667_1_352_,,,,
668,,|668_668_1_356_,,,,
669,,,,,,
670,,,,,,
671,,,,,,
672,,,|652_672_2_346_,,,
673,,,|653_673_2_347_|673_673_2_359_,,,
674,,,,,,
675,,,,,,
676,,,,,,
677,,,,,,
678,,,,,,
679,,,,,|659_679_4_349_,
680,,|660_680_1_350_,,,,
681,,|670_681_1_358_,,,|661_681_4_351_,
682,,,,,,
683,,,,,,
684,,,|669_684_2_357_,,|664_684_4_353_,
685,,,|666_685_2_355_,,|665_685_4_354_,
686,,,,,,
687,,,,,,
688,,,,,,
689,,,,,,
690,,,,,,
691,,,,,,
692,,,|675_692_2_360_,,,
693,,,,,,
694,,,,,,
695,,,,,,
696,,|677_696_1_361_,,,,
697,,,,,,
698,,,,|678_698_3_362_,,
699,,,,,,
700,,,,,,
701,,,|681_701_2_363_,,,
702,,,,,,
703,,,,,,
704,,,,,,
705,,,,,,
706,,,,,,
707,,,,,,
708,,|688_708_1_364_,,,,
709,,,,,,
710,,,,,,
711,,,,,,
712,,|692_712_1_365_,,,,
713,,,,,|693_713_4_366_,
714,,,,,,
715,,|695_715_1_367_,,,,
716,,,,,,
717,,,,,,
718,,,,,,
719,,,,,,
720,,,,,,
721,,,|701_721_2_368_,,,
722,,,,,|702_722_4_369_,
723,,,,,,
724,,,,,,
725,,,,,,
726,,,,,,
727,,|707_727_1_370_,,,,
728,,,,,|708_728_4_371_,
729,,,,,,
730,,,,,|710_730_4_372_,
731,,,,,|711_731_4_373_,
732,,,,,,
733,,,,,,
734,,,,,,
735,,,,,,
736,,,,,,
737,,|717_737_1_374_,,,,
738,,,,,,
739,,,|719_739_2_375_,,,
740,|720_740_0_376_,,,,,
741,,,,,,
742,,,,,,
743,,,,,,
744,,,,,,
745,,,,,|725_745_4_377_,
746,,,,,,
747,,,,,,
748,,,,,,
749,,|729_749_1_378_,,,,
750,,,,,,
751,,,,,,
752,,,,,,
753,,,,,,
754,,|734_754_1_379_,,,,
755,,|735_755_1_380_,,,,
756,,,,,,
757,,,|737_757_2_381_,,,
758,,,,,,
759,,,,,|739_759_4_382_,
760,,,,,|740_760_4_383_,
761,,,,,,
762,|742_762_0_384_,,,,,
763,,,,,,
764,,,,,,
765,,,,,,
766,,,,,,
767,,,,,,
768,,,,,,
769,,,,,,
770,,,,,,
771,,,,,,
772,,|752_772_1_385_,,,,
773,,,,,,
774,,,|754_774_2_386_,,,
775,,|755_775_1_387_,,,,
776,,,,,,
777,,,,,,
778,,,,,,
779,,,,,,
780,,,,,,
781,,|761_781_1_388_,,,,
782,,,|762_782_2_389_,,,
783,,,,,,
784,,,,,|764_784_4_390_,
785,,|765_785_1_391_,,,,
786,,,,,,
787,,,,,,
788,,,,,,
789,,,,,,
790,,,|770_790_2_392_,,,
791,,,|771_791_2_393_,,,
792,,,,,,
793,,,,,|773_793_4_394_,
794,,,,,,
795,,|775_795_1_395_,,,,
796,,,|776_796_2_396_,,,
797,,,,,,
798,,,|778_798_2_397_,,,
799,,,,,,
800,,,,,|780_800_4_398_,
801,,,,,|781_801_4_399_,
802,,,,,,
803,,,,,,
804,,|784_804_1_400_,,,,
805,,,,,,
806,,,,,,
807,,,,,|787_807_4_401_,
808,,,,,,
809,,,,,,
810,,,,,,
811,,,,,,
812,,,,,,
813,,,,,|793_813_4_402_,
814,,|794_814_1_403_,,,,
815,,,,,,
816,,|796_816_1_404_,,,,
817,,,,,,
818,,,,,,
819,,,,,|799_819_4_405_,
820,,|800_820_1_406_,,,,
821,,,,,,
822,,,|802_822_2_407_,,,
823,,|803_823_1_408_,,,,
824,,|804_824_1_409_,,,,
825,,|805_825_1_410_,,,,
826,,,,,,
827,,,,,,
828,,,,,,
829,,,,,|809_829_4_411_,
830,,|810_830_1_412_,,,,
831,,,,,|811_831_4_413_,
832,,|812_832_1_414_,,,,
833,,,,,,
834,,|814_834_1_415_,,,,
835,,|815_835_1_416_,,,,
836,,,|816_836_2_417_,,,
837,|817_837_0_418_,,,,,
838,,,,,,
839,,,|819_839_2_419_,,,
840,,|820_840_1_420_,,,,
841,,,,,,
842,,,,,,
843,,,|823_843_2_421_,,,
844,,,,,|824_844_4_422_,
845,,,,,,
846,,,,,,
847,,,,,,
848,,,|828_848_2_423_,,,
849,,,,,,
850,,,,,|830_850_4_424_,
851,,,,,,
852,,,,,,
853,,,|833_853_2_425_,,,
854,,|834_854_1_426_,,,,
855,,|835_855_1_427_,,,,
856,,,|836_856_2_428_,,,
857,,,,,,
858,,|838_858_1_429_,,,,
859,,,,,,
860,,,,,|840_860_4_430_,
861,,,,,,
862,,|842_862_1_431_|843_862_1_432_,,,,
863,,,,,,
864,,,,,|844_864_4_433_|846_864_4_434_,
865,,,,,,
866,,,,,,
867,,,,,,
868,,,,,,
869,,,,,,
870,,|850_870_1_435_,,,,
871,,,,,|851_871_4_436_,
872,,,,,,
873,,,,,|853_873_4_437_,
874,,,|854_874_2_438_,,,
875,,,,,,
876,,,,,,
877,,,,,,
878,,,,,,
879,,,,,,
880,,,,,,
881,|861_881_0_439_,,,,,
882,,,,,|862_882_4_440_,
883,,|872_883_1_444_,,,,
884,,,,,,
885,,,,,,
886,,,,,,
887,,,,,,
888,,,|868_888_2_441_,,,
889,,,,,,
890,,,,,|870_890_4_442_,
891,,|871_891_1_443_,,,,
892,,,,,,
893,|873_893_0_445_,,,,,
894,,|874_894_1_446_,,,,
895,,,,,,
896,,,,,,
897,,,,,,
898,,,,,,
899,,,,,,
900,,,,,,
901,,,,,,
902,,,|882_902_2_447_,,,
903,,,|883_903_2_448_,,,
904,,,,,,
905,,,,,,
906,,,,,,
907,,,,,,
908,,,|890_908_2_450_,,,
909,,,,,|889_909_4_449_,
910,,,,,,
911,,|911_911_1_462_,,,|891_911_4_451_,
912,,,|893_912_2_452_,,,
913,,,,,,
914,,|894_914_1_453_,,,,
915,,,|895_915_2_454_,,,
916,,,,,|896_916_4_455_,
917,,|898_917_1_456_,,,,
918,,,,,,
919,,,,,,
920,,,,,,
921,,,,,|901_921_4_457_,
922,,,,,,
923,|907_923_0_459_,,,,,
924,,,,,,
925,,|906_925_1_458_,,,,
926,,,,,,
927,,,,,,
928,,,,,|908_928_4_460_,
929,,,,,|909_929_4_461_,
930,,,,,,
931,,,,,,
932,,|912_932_1_463_,,,,
933,,,,,|913_933_4_464_,
934,,,|914_934_2_465_,,,
935,,|916_935_1_466_,,,,
936,,,,,,
937,,,,,,
938,,,,,|918_938_4_467_,
939,|919_939_0_468_,,,,,
940,,,,,,
941,,,,,,
942,,|923_942_1_469_,,,,
943,,,,,,
944,,,,,,
945,,,,,,
946,,,,,,
947,|932_947_0_473_,|927_947_1_470_,|928_947_2_471_,,,
948,,,|929_948_2_472_,,,
949,,,,,,
950,,,,,,
951,,,,,,
952,,,,,,
953,,|933_953_1_474_,,,,
954,|934_954_0_475_,,,,,
955,,,,,,
956,|941_956_0_478_,,,,,
957,,|938_957_1_476_,,,,
958,,|939_958_1_477_,,,,
959,,,,,,
960,,,,,,
961,,,,,,
962,,,,,,
963,,,,,,
964,,,|944_964_2_479_,,,
965,,,,,|945_965_4_480_,
966,,,,,,
967,,,|955_967_2_487_,,|947_967_4_481_,
968,,,,,,
969,,,|949_969_2_482_,,|951_969_4_483_,
970,,,,,,
971,,|952_971_1_484_,,,,
972,,|953_972_1_485_,,,,
973,,,,,,
974,,,|954_974_2_486_,,,
975,,,,,,
976,,,,,,
977,,|958_977_1_488_,,,,
978,,,,,,
979,,,,,,
980,,,|960_980_2_489_,,,
981,,,,,,
982,,,,,,
983,,,,,|980_983_4_496_,
984,,,,,,
985,,,,,,
986,,,,,,
987,|967_987_0_490_,|968_987_1_491_,,,,
988,,,,,,
989,,,|969_989_2_492_,,|970_989_4_493_,
990,,,,,,
991,,,,,,
992,,,,,,
993,,,,,,
994,,,,,,
995,,,,,,
996,,,,,|977_996_4_494_,
997,,,,,,
998,,,,,,
999,,,|981_999_2_497_,,|979_999_4_495_,
1000,,,,,,
1001,,,,,|982_1001_4_498_,
1002,,,|990_1002_2_500_,,,
1003,,|1003_1003_1_504_,|985_1003_2_499_,,,
1004,,,,,,
1005,,,,,,
1006,,,,,,
1007,,,|1007_1007_2_505_,,,
1008,,,,,,
1009,,,,,,
1010,,,,,,
1011,,,,,|992_1011_4_501_,
1012,,,,,,
1013,,,,,,
1014,|1009_1014_0_506_,,,,,
1015,,,,,,
1016,,,,,,
1017,,,,,,
1018,,,,,,
1019,,,,,,
1020,,,,,,
1021,,,,,|1001_1021_4_502_,
1022,,|1002_1022_1_503_,,,,
1023,,,,,,
1024,,,,,,
1025,,,,,,
1026,,,,,,
1027,,,,,,
1028,,,,,,
1029,,,,,,
1030,,,,,,
1031,,,,,,
1032,,|1012_1032_1_507_|1016_1032_1_509_,,,,
1033,,,,,,
1034,,,|1014_1034_2_508_,,,
1035,,,,,,
1036,,|1026_1036_1_513_,,,|1017_1036_4_510_,
1037,,,,,,
1038,,|1023_1038_1_511_,,,,
1039,,,,,,
1040,,,,,,
1041,,,,,,
1042,,,,,,
1043,,,,,,
1044,,,,,,
1045,,,,,|1025_1045_4_512_,
1046,,,,,|1027_1046_4_514_,
1047,,,,,,
1048,,,,,,
1049,,,,,,
1050,,,,,|1030_1050_4_515_,
1051,,,|1035_1051_2_519_,,|1032_1051_4_516_,
1052,,,,,,
1053,,,|1033_1053_2_517_,,,
1054,|1034_1054_0_518_,,,,,
1055,,,,,,
1056,,,,,,
1057,,,,,,
1058,,,,,,
1059,,,,,,
1060,,,,,,
1061,,,,,|1042_1061_4_520_,
1062,,,,,|1043_1062_4_521_,
1063,,,,,,
1064,,,,,,
1065,|1045_1065_0_522_,,,,,
1066,,,,,,
1067,,,,,,
1068,,,,,,
1069,,,,,,
1070,,,|1059_1070_2_528_,,,
1071,,,,,|1052_1071_4_523_,
1072,,,,,,
1073,|1053_1073_0_524_,,,,,
1074,,|1055_1074_1_525_,,,,
1075,,,,,|1056_1075_4_526_,
1076,,,,,,
1077,,,|1057_1077_2_527_,,,
1078,,,,,,
1079,,,,,,
1080,,,,,,
1081,|1061_1081_0_529_,,,,,
1082,,,,,|1062_1082_4_530_,
1083,,|1063_1083_1_531_,,,,
1084,,,,,,
1085,,,,,,
1086,,,,,,
1087,,,,,,
1088,,,,,,
1089,,,,,,
1090,,,,,,
1091,,,,,,
1092,,|1079_1092_1_534_,,,,
1093,,,,,,
1094,,|1075_1094_1_533_,|1074_1094_2_532_,,|1090_1094_4_540_,
1095,,,,,,
1096,,,,,,
1097,,,,,,
1098,,,,,|1098_1098_4_544_,
1099,,,,,,
1100,,,,,,
1101,|1100_1101_0_546_,,|1082_1101_2_536_,,|1081_1101_4_535_,
1102,,,,,,
1103,,,,,,
1104,,,,,|1084_1104_4_537_|1085_1104_4_538_,
1105,,,,,,
1106,,|1087_1106_1_539_|1104_1106_1_548_,,,,
