tickNumber,in27,B14,B11,cn12,B54,B51,os4,in4,B33,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,|72_78_5_35_,,,,
79,,,,,|73_79_4_36_,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,|82_84_2_40_,,,,,,,
85,,,,,,,,,,
86,,,,,|74_86_4_37_,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,|67_89_5_31_,,,,
90,,,,,,,,,,
91,,|91_91_1_45_,,,|78_91_4_38_,,|88_91_6_43_,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,|56_96_4_25_,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,|96_99_6_49_,,,
100,,,,,|86_100_4_41_,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,|80_104_5_39_,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,|105_108_6_55_,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,|110_112_8_57_,
113,,,|111_113_2_58_,,,,,,,
114,,,,,|99_114_4_50_,,,,,
115,,,,,,|113_115_5_59_,,,,
116,,,,,,,,,,
117,,,,,|104_117_4_54_,,,,,
118,,,|118_118_2_60_,,,,,,,
119,,,,,|103_119_4_53_,,,,,
120,,,,,|89_120_4_44_,,,,,
121,,,,,,,,,,
122,,,,,,,,,|102_122_8_52_,
123,,,,,,,,,,
124,,,,,,,,,,
125,,,,,,|119_125_5_61_,,,,
126,,,,,,,,,,
127,,,,,,|87_127_5_42_,,,|127_127_8_64_,
128,,,,,,,,,,
129,,,,,,|123_129_5_62_,,,,
130,,,,,,,,,,
131,,,,,,|128_131_5_65_,,,,
132,,,,,,|101_132_5_51_,,,,
133,,,,,,,,,|93_133_8_46_,
134,,,,,|94_134_4_47_,,,,,
135,,,,,,,,,|95_135_8_48_,
136,,,,,,,,,,
137,,,,,,,,,,
138,,,,,,,,,,
139,,,,,,,,,,
140,,,,,,,|135_140_6_67_,,,
141,,|141_141_1_70_,,,,,,,,
142,,|142_142_1_71_,,,|124_142_4_63_,,,,,
143,,,|138_143_2_68_,,,,,,,
144,,,|139_144_2_69_,,,,,,,
145,,|108_145_1_56_,,,,,,,,
146,,,,,,,,,,
147,,,,,,,,,,
148,,,,,,,,,,
149,,,|144_149_2_72_,,,,,,,
150,,,,,,,,,,
151,,,,,,,,,|151_151_8_77_,
152,,,,,,,,,,
153,,,,,,,|148_153_6_75_,,,
154,,|133_154_1_66_,,,,,,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,,,,,,,,,|157_157_8_81_,
158,,,,,,,,,,
159,,,,,,,,,,
160,,|150_160_1_76_,,,,,,,,
161,,,,,,,,,,
162,,,,,,,,,,
163,,,,,,,,,,
164,,|163_164_1_87_,|159_164_2_83_,,,,,,,
165,,,,,|165_165_4_88_,,,,,
166,,,,,,,,,,
167,,,,,|146_167_4_73_,,,,,
168,,,,,|147_168_4_74_,,,,,
169,,,,,,,,,,
170,,|158_170_1_82_,,,,,,,,
171,,,|166_171_2_89_,,,,,,,
172,,,,,,,,,,
173,,,,,,,,,,
174,,,,,,,,,,
175,,|161_175_1_85_,,,,,,,,
176,,,|171_176_2_92_,,|154_176_4_79_,,,,,
177,,,,,,,,,,
178,,,,,,,,,,
179,,,,,,,,,,
180,,|180_180_1_96_,|175_180_2_95_,,,,,,,
181,,,,,,,,,,
182,,,,,,,,,,
183,,,,,,,,,,
184,,,,,,,,,,
185,,,,,,,,,,
186,,,,,,,,,,
187,,,,,,|182_187_5_97_,,,,
188,,,,,,|185_188_5_98_,,,,
189,,,,,,,,,,
190,,,,,|156_190_4_80_,,,,,
191,,,,,,|152_191_5_78_,,,,
192,,,,,,,,,,
193,,,,,,,,,,
194,,,,,,,,,,
195,,,,,,,,,,
196,,,,,|172_196_4_93_,,,,,
197,,,,,,,,,,
198,,,,,,,,,,
199,,,,,|162_199_4_86_,|160_199_5_84_,,,,
200,,|200_200_1_104_,|195_200_2_101_,,,,,,,
201,,,,,,|167_201_5_90_,,,,
202,,,,,,,,,,
203,,,,,,|168_203_5_91_,,,,
204,,,,,,,,,,
205,,,,,,,,,,
206,,,,,,,,,|206_206_8_109_,
207,,,,,,,,,|207_207_8_110_,
208,,,,,|174_208_4_94_,,,,|208_208_8_111_,
209,,,,,,,,,,
210,,,,,,,,,,
211,,,,,,,,,|211_211_8_112_,
212,,,,,,|198_212_5_102_,,,,
213,,,,,,,,,,
214,,,,,|213_214_4_114_,,,,,
215,,,,,,,,,,
216,,,,,,,,,,
217,,,,,,,,,,
218,,|218_218_1_116_,,,,,,,,
219,,|219_219_1_117_,,,|217_219_4_115_,,,,,
220,,,,,,,,,,
221,,,,,,,,,,
222,,,,,,,,,,
223,,,,,,|212_223_5_113_,,,,
224,,,,,,,,,,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,|203_228_4_106_,,,,,
229,,,,,,,,,,
230,,,,,,|190_230_5_99_,,,,
231,,,,,,,,,,
232,,,,,,,|227_232_6_121_,,,
233,,,,,|205_233_4_108_,,,,|233_233_8_123_,
234,,,,,,|194_234_5_100_,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,,,,|199_237_5_103_,,,,
238,,,,,,|202_238_5_105_,,,,
239,,,,,,|204_239_5_107_,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,,,,,,,,|242_242_8_127_,
243,,,,,,,,,,
244,,,,,,,,,,
245,,,,,|225_245_4_119_,,,,,
246,,,|240_246_2_126_,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,|220_249_4_118_,,,,,
250,,,,,,,,,|246_250_8_128_,
251,,,,,,,,,,
252,,,,,,,,,|248_252_8_130_,
253,,,,,,,,,,
254,,,,,,,,,,
255,,,,,,,,,,
256,,,,,,,,,,
257,,,,,|226_257_4_120_,,,,,
258,,,,,,,,,,
259,,,,,,,,,,
260,,,,,,,,,,
261,,,,,,,,,,
262,,,,,,,,,,
263,,,,,,|251_263_5_132_,,,|259_263_8_135_,
264,,,,,,,,,,
265,,,,,,,,,,
266,,,,,,,,,,
267,,,,,,,,,,
268,,,,,,,,,,
269,,,,,,|231_269_5_122_,,,,
270,,,,,,,,,,
271,,,,,,,,,|267_271_8_138_,
272,,,,,|238_272_4_124_,,,,,
273,,,,,,,,,,
274,,,,,,,,,,
275,,,|269_275_2_140_,,,,,,,
276,,,,,,,,,,
277,,,,,|239_277_4_125_,,,,,
278,,,,,,,,,,
279,,,,,,,,,,
280,,|256_280_1_134_,,,,,,,,
281,,,,,|268_281_4_139_,,,,,
282,,|274_282_1_143_,,,,,,,,
283,,,,,,|262_283_5_136_,,,,
284,,,,,,,,,,
285,,,,,,,|280_285_6_146_,,,
286,,,,,,|247_286_5_129_,,,,
287,,,,,|249_287_4_131_,,,,|254_287_8_133_,
288,,,,,,,,,,
289,,,,,,,,,,
290,,,,,,,,,,
291,,,,,,,,,,
292,,,,,,|284_292_5_147_,,,,
293,,,,,,,,,,
294,,,|288_294_2_148_,,,,,,,
295,,,,,,,,,,
296,,,,,,,|291_296_6_150_,,|296_296_8_152_,
297,,,,,|264_297_4_137_,,,,,
298,,,,,,,,,,
299,,,,,,,,,,
300,,,,,,,,,,
301,,,,,|299_301_4_154_,,,,,
302,,,,,,,,,,
303,,,|298_303_2_153_,,,,,,,
304,,,,,,,,,,
305,,|305_305_1_158_,,,,,,,,
306,,|271_306_1_141_,,,,,,,,
307,,,,,,,,,,
308,,,,,,,,,,
309,,,,,,,,,,
310,,,,,,,,,,
311,,,,,,|273_311_5_142_,,,,
312,,,,,,,,,,
313,,,,,,,,,,
314,,,,,,,,,,
315,,|279_315_1_145_,,,,,,,,
316,,|290_316_1_149_,,,,,,,|316_316_8_167_,
317,,|317_317_1_168_,,,,,,,,
318,,,,,,,,,|278_318_8_144_,
319,,,,,,,,,,
320,,|301_320_1_155_,,,,,,,,
321,,,,,,,|303_321_6_156_,,|321_321_8_170_,
322,,,,,,,,,,
323,,,,,,,,,,
324,,,,,,,,,,
325,,,,,,,,,,
326,,,,,,,,,,
327,,,,,,,,,,
328,,,,,,,,,,
329,,,,,,,,,,
330,,,|306_330_2_159_,,,,,,,
331,,,,,,,,,|327_331_8_174_,
332,,,,,,,,,|304_332_8_157_,
333,,,,,,,,,|293_333_8_151_,
334,,,,,,,,,,
335,,|330_335_1_176_,,,,,,,|335_335_8_180_,
336,,,|312_336_2_164_,,,,,,,
337,,,|309_337_2_162_,,,,,,,
338,,|322_338_1_171_,,,,,|314_338_6_166_,,,
339,,,,,,,|313_339_6_165_,,|339_339_8_182_,
340,,,,,,,,,,
341,,,,,,,,,,
342,,,,,,,,,,
343,,,,,,,,,,
344,,,,,,,,,,
345,,,,,,,,,,
346,,,,,,|308_346_5_161_,,,,
347,,,,,|333_347_4_178_,,,,|307_347_8_160_,
348,,,,,|348_348_4_189_,,,,,
349,,,,,,,,,,
350,,,,,,|310_350_5_163_,,,,
351,,,,,,,,,,
352,,,|325_352_2_173_,,,,,,,
353,,,,,,|320_353_5_169_,,,,
354,,,,,,,,,,
355,,,|337_355_2_181_,,,,,,,
356,,|356_356_1_192_,,,,,,,,
357,,,,,,,,,|343_357_8_185_,
358,,,,,,,,,|324_358_8_172_,
359,,|359_359_1_194_,,,,,,,,
360,,,,,,,,,,
361,,,,,|340_361_4_183_,,,,|361_361_8_196_,
362,,,,,,,,,,
363,,,,,|332_363_4_177_,,,,,
364,,,|346_364_2_187_,,,,,,,
365,,,|347_365_2_188_,,,,,,,
366,,,,,|355_366_4_191_,,,,,
367,,,,,,,,,,
368,,,,,,,,,,
369,,,,,,|329_369_5_175_,,,,
370,,,,,|334_370_4_179_,,,,,
371,,,,,,,,,,
372,,,,,,|342_372_5_184_,,,,
373,,,,,,,,,,
374,,,,,,,,,,
375,,,,,,,,,,
376,,,,,,,,,,
377,,,,,,,,,,
378,,,,,,,,,,
379,,,,,,,,,,
380,,,,,,,,,,
381,,,,,,,,,,
382,,,,,,,,,,
383,,,|360_383_2_195_,,,,,,,
384,,,,,,,,,,
385,,,,,,|345_385_5_186_,,,,
386,,|386_386_1_209_,,,,,,,,
387,,,,,,,,,,
388,,|349_388_1_190_|357_388_1_193_,,,,,,,,
389,,,,,,,,,,
390,,,,,,,,,,
391,,,,,|365_391_4_198_,,,,,
392,,,,,,,,,,
393,,,,,,,,,,
394,,,,,,,,,,
395,,|377_395_1_205_,,,,,,,,
396,,,,,,,,,,
397,,,,,,,,,,
398,,,,,,,,,|396_398_8_214_,
399,,,,,,,|373_399_6_203_,,,
400,,,,,,,|372_400_6_202_,,,
401,,,|383_401_2_208_,,|367_401_4_199_,|362_401_5_197_,,,,
402,,,,,,,|381_402_6_207_,,,
403,,,,,,,,,,
404,,,,,,,,,,
405,,,,,|374_405_4_204_,,,,,
406,,|368_406_1_200_,,,,,,,,
407,,,,,|371_407_4_201_,|393_407_5_213_,,,,
408,,,,,,,,,,
409,,,,,|406_409_4_220_,,,,,
410,,,,,,,,,,
411,,,,,,,,,,
412,,,,,,,,,,
413,,,,,,,,,,
414,,,,,,,,,,
415,,,,,|400_415_4_216_,,|387_415_6_210_,,,
416,,,|398_416_2_215_,,|409_416_4_222_,,,,,
417,,,,,,,,,,
418,,,,,|392_418_4_212_,,,,,
419,,,,,|379_419_4_206_,,,,,
420,,,,,,,,,,
421,,,,,,,,,,
422,,,,,,,,,,
423,,,,,,,,,,
424,,,,,,,,,|424_424_8_229_,
425,,,,,,,,,,
426,,,,,,,,,,
427,,,,,|391_427_4_211_,,,,,
428,,,,,,,,,,
429,,,,,,,,,,
430,,,|402_430_2_217_,,,,,,,
431,,,,,,,,,|415_431_8_225_,
432,,,,,,,,,,
433,,,,,,,,,,
434,,,,,,,,,,
435,,,,,,,,,|435_435_8_235_,
436,,,,,|403_436_4_218_,,|404_436_6_219_,,|436_436_8_236_,
437,,,,,,,,,,
438,,,,,|407_438_4_221_,,,,,
439,,,,,,,,,,
440,,,,,,,,,,
441,,,|419_441_2_226_,,,,|438_441_6_237_,,,
442,,,,,,,,,,
443,,,,,,,,,,
444,,,,,,,,,,
445,,,,,,,,,,
446,,,,,,,,,,
447,,,,,,,|428_447_6_232_,,,
448,,,|430_448_2_233_,,,,,,,
449,,,|445_449_2_239_,,|411_449_4_223_,,,,,
450,,,|432_450_2_234_,,,,,,,
451,,,,,,,,,,
452,,,,,,|451_452_5_241_,,,,
453,,|413_453_1_224_,,,,,,,,
454,,,,,,,,,,
455,,,,,,,,,,
456,,,|421_456_2_227_,,,,,,,
457,,,|453_457_2_242_,,,,|454_457_6_243_,,,
458,,,,,,,,,,
459,,,,,,,,,|459_459_8_246_,
460,,,,,,|423_460_5_228_,,,,
461,,,,,,,,,,
462,,,,,,,,,,
463,,|463_463_1_247_,,,,,,,,
464,,,,,,,,,,
465,,,,,,|426_465_5_230_,,,,
466,,,,,,,,,|427_466_8_231_,
467,,,,,,,,,,
468,,,|464_468_2_248_,,,,,,,
469,,,,,,,,,,
470,,,,,,,,,,
471,,,,,,,,,|457_471_8_245_,
472,,,,,,,,,,
473,,,,,,,,,,
474,,,,,,,,,,
475,,,,,,,,,,
476,,,|472_476_2_253_,,,,,,|476_476_8_257_,
477,,|477_477_1_258_,,,,,,,,
478,,,,,,,|475_478_6_256_,,,
479,,,,,,,,,|439_479_8_238_|473_479_8_254_,
480,,,,,,,,,,
481,,,,,|474_481_4_255_,,,,,
482,,,,,,,,,,
483,,,,,,,,,,
484,,,,,,,,,,
485,,|485_485_1_262_,,,,,,,,
486,,,,,,,,,|486_486_8_263_,
487,,,,,,,,,|449_487_8_240_,
488,,,,,,,,,,
489,,,,,,,,,,
490,,,,,,,,,,
491,,,,,|456_491_4_244_,,,,,
492,,,,,,,,,,
493,,,,,,,|490_493_6_266_,,,
494,,,,,,,,,,
495,,,|491_495_2_267_,,,,,,,
496,,|480_496_1_259_,,,,|466_496_5_249_,,,,
497,,,|494_497_2_269_,,,,,,,
498,,,,,,,,,,
499,,|499_499_1_270_,,,,,,,,
500,,,,,,,,,,
501,,,,,,|470_501_5_252_,,,,
502,,,,,,,,,,
503,,,,,,,,,,
504,,,,,,,,,,
505,,,,,,,,,|469_505_8_251_,
506,,,,,,,|502_506_6_272_,,,
507,,,,,,|467_507_5_250_,,,,
508,,,,,,,,,|508_508_8_274_,
509,,,,,,,,,,
510,,,,,,,,,,
511,,,,,,,,,,
512,,,,,,,,,,
513,,|509_513_1_275_,,,,,,,,
514,,,,,,,,,,
515,,,,,,,,,,
516,,,,,,,,,,
517,,,,,,|481_517_5_260_,,,,
518,,,,,,,,,,
519,,,,,,,,,,
520,,,,,,,,,,
521,,,,,,,,,,
522,,,,,,|489_522_5_265_,,,,
523,,,,,,,,,,
524,,,,,,|484_524_5_261_,,,,
525,,,,,,,,,,
526,,,,,,,,,,
527,,,,,,,,,,
528,,,,,,,,,|488_528_8_264_,
529,,,,,,,,,,
530,,,,,,,,,,
531,,,,,,,,,|492_531_8_268_,
532,,,,,,,|527_532_6_286_,,,
533,,,,,,,,,,
534,,,,,,,,,,
535,,,,,|526_535_4_285_,,,,,
536,,,,,,,,,,
537,,|501_537_1_271_,,,,|511_537_5_276_,,,,
538,,,,,,,,,|534_538_8_287_,
539,,|535_539_1_288_,,,,,,,,
540,,|513_540_1_278_,,,,,,,,
541,,,,,,,,,,
542,,,,,,,,,,
543,,,,,,,,,,
544,,,,,,,,,,
545,,,,,,,,,,
546,,|516_546_1_280_,,,|506_546_4_273_,,,,,
547,,,,,|522_547_4_283_,,,,,
548,,,,,,,,,|521_548_8_282_|524_548_8_284_,
549,,,,,,,,,,
550,,,|544_550_2_290_,,|550_550_4_293_,,,,,
551,,,,,,,,,,
552,,,,,,,,,|512_552_8_277_,
553,,,,,|551_553_4_294_,,,,,
554,,,,,|514_554_4_279_,,,,,
555,,,,,|519_555_4_281_,,,,,
556,,,,,,,,,,
557,,,,,,,,,,
558,,,,,|558_558_4_298_,,,,,
559,,,,,,,|553_559_6_295_,,,
560,,,,,,,,,,
561,,,,,,,,,,
562,,,,,,,,,,
563,,,,,,,,,,
564,,,,,,,,,,
565,,,,,,,|560_565_6_299_,,,
566,,,,,,,,,,
567,,,,,|567_567_4_303_,,|561_567_6_300_,,,
568,,,,,,,,,,
569,,,,,,,,,,
570,,,,,,,,,,
571,,,,,,,,,,
572,,,,,,,,,,
573,,,,,,,,,,
574,,,,,,,,,,
575,,,,,,,,,,
576,,,,,,,|570_576_6_304_,,|563_576_8_301_,
577,,,,,,,,,,
578,,,,,,,,,,
579,,,,,,,,,|579_579_8_309_,
580,,|580_580_1_310_,|576_580_2_306_,,,|547_580_5_292_,|575_580_6_305_,,,
581,,,,,|545_581_4_291_,,,,,
582,,,,,,,,,|543_582_8_289_,
583,,,,,,,,,,
584,,,,,,,,,,
585,,,,,,,,,,
586,,|578_586_1_308_,,,,,,,,
587,,,,,,,,,,
588,,,,,,,,,,
589,,,,,,,,,,
590,,,,,,,,,,
591,,,,,|566_591_4_302_,,,,,
592,,,,,,,,,,
593,,,,,,,,,,
594,,,,,,|554_594_5_296_,,,|594_594_8_317_,
595,,,,,|555_595_4_297_,,,,|591_595_8_315_,
596,,,,,,,,,,
597,,,,,,|592_597_5_316_,,,,
598,,|581_598_1_311_,,,,,,,,
599,,,,,,,,,,
600,,,,,,,,,,
601,,,,,,,,,,
602,,,,,,,,,,
603,,,,,,,,,,
604,,,,,,,,,,
605,,,,,,,,,,
606,,,,,,,,,,
607,,,,,,,,,|607_607_8_325_,
608,,,,,,,,,,
609,,,,,|609_609_4_326_,|577_609_5_307_,,,,
610,,,|606_610_2_324_,,|586_610_4_313_,,,,,
611,,,,,,,,,,
612,,,,,,,,,,
613,,|595_613_1_318_,,,,,,,,
614,,,,,,,,,,
615,,|615_615_1_328_,,,,|589_615_5_314_,,,,
616,,,,,,,,,,
617,,,,,,,,,,
618,,,,,,,,,,
619,,,,,,,,,,
620,,,,,,,,,,
621,,,,,,,,,,
622,,|584_622_1_312_|622_622_1_332_,,,,,,,,
623,,,,,,,,,,
624,,,,,,,,,,
625,,,|621_625_2_331_,,,,,,,
626,,,,,,,|620_626_6_330_,,,
627,,,,,,,,,,
628,,,,,,,,,,
629,,,,,,,,,,
630,,,,,,,,,,
631,,,,,,,,,,
632,,,,,,,,,,
633,,,,,,,,,,
634,,,,,,,,,,
635,,,,,,,|630_635_6_335_,,,
636,,,,,|610_636_4_327_,,,,,
637,,,,,,,,,|597_637_8_319_|599_637_8_320_|600_637_8_321_,
638,,,,,,|637_638_5_338_,,,,
639,,,,,,,,,,
640,,,,,,,,,,
641,,,,,,,,,,
642,,,,,|604_642_4_323_,,,,,
643,,,,,,|603_643_5_322_,,,,
644,,,,,,,,,,
645,,,,,,,,,,
646,,,|642_646_2_340_,,,,,,,
647,,,,,|619_647_4_329_,|632_647_5_336_,,,,
648,,,,,,,,,,
649,,,|645_649_2_342_,,,,,,,
650,,,,,,,,,,
651,,,,,,,,,,
652,,,|648_652_2_344_,,,,,,,
653,,,,,,,,,,
654,,,,,,,,,,
655,,,,,,,,,,
656,,,|652_656_2_346_,,,,,,,
657,,,,,,,,,,
658,,,,,|626_658_4_334_,,,,,
659,,,,,,,,,|633_659_8_337_,
660,,,,,,,,,,
661,,,,,,,,,,
662,,,,,,,,,,
663,,,,,,|623_663_5_333_,|658_663_6_348_,,,
664,,,,,,,,,,
665,,,,,,,,,,
666,,,,,,,,,,
667,,,,,,,,,,
668,,,,,,,,,,
669,,,,,,,,,,
670,,,,,,,,,,
671,,,,,,,,,,
672,,,,,,,,,,
673,,,,,,|643_673_5_341_,,,,
674,,,,,,,|669_674_6_357_,,,
675,,,,,,,,,,
676,,,,,,,,,,
677,,,|673_677_2_359_,,,,,,|677_677_8_361_,
678,,,,,,|640_678_5_339_,,,|670_678_8_358_,
679,,,,,,,,,,
680,,,,,,,,,|647_680_8_343_,
681,,,,,,,|675_681_6_360_,,,
682,,,,,,,,,,
683,,,,,,,,,,
684,,,,,,,,,,
685,,|659_685_1_349_,,,,,,,,
686,,,,,,,,,,
687,,,,,,,,,,
688,,,,,|664_688_4_353_,,,,|650_688_8_345_|663_688_8_352_,
689,,,,,,,,,,
690,,,,,,,,,,
691,,,,,,|653_691_5_347_,,,,
692,,,,,,,,,,
693,,,,,,,,,,
694,,,,,,,,,|692_694_8_365_,
695,,,,,,,,,,
696,,,,,|661_696_4_351_,|666_696_5_355_,,,|668_696_8_356_|688_696_8_364_|695_696_8_367_,
697,,,,,,,,,,
698,,,,,,,,,,
699,,,,,,,,,,
700,,,,,,,,,|660_700_8_350_,
701,,,,,,,,,,
702,,,,,,,,,,
703,,,,,|665_703_4_354_,,,,,
704,,,,,,,,,,
705,,,|701_705_2_368_,,,,,,,
706,,|678_706_1_362_,,,,,,,,
707,,,,,,,,,|707_707_8_370_,
708,,,,,,,,,,
709,,,,,,,,,,
710,,,,,,,,,,
711,,,,,|702_711_4_369_,,,,,
712,,,,,,,,,,
713,,,,,,,,,,
714,,,,,,,,,,
715,,,,,,,,,,
716,,,,,,,,,,
717,,,,,,,,,,
718,,,,,,,,,,
719,,,,,,,,,|717_719_8_374_,
720,,,,,,|681_720_5_363_,,,,
721,,,,,,,,,,
722,,,,,,,,,,
723,,,|719_723_2_375_,,,,,,,
724,,,,,,,,,,
725,,,,,,,,,,
726,,,,,,,,,,
727,,,,,,,,,,
728,,,,,,,,,,
729,,,,,,,,,|729_729_8_378_,
730,,,,,,,|725_730_6_377_,,,
731,,,,,,,,,,
732,,,,,,,,,,
733,,,,,|693_733_4_366_,,,,,
734,,,,,,,,,,
735,,,,,,,,,,
736,,,,,,,,,,
737,,,,,|710_737_4_372_,,,,,
738,,,,,,,,,,
739,,,,,,,,,,
740,,,,,,,,,,
741,,,,,,,,,,
742,,,|737_742_2_381_,,,,,,,
743,,,,,,,,,,
744,,,,,,,,,,
745,,,,,,,,,,
746,,,,,,,,,,
747,,,,,|708_747_4_371_,,,,,
748,,,,,|711_748_4_373_,,,,,
749,,,,,,,,,,
750,,,,,,,,,,
751,,,,,,,,,,
752,,,,,,,,,,
753,,,,,,,,,,
754,,,,,,,,,,
755,,,,,,,,,,
756,,,,,,,,,,
757,,,,,,,,,,
758,,,,,,,,,,
759,,,,,,,,,,
760,,,,,,|720_760_5_376_,,,,
761,,,,,,,,,,
762,,,,,,,,,,
763,,,,,,,,,,
764,,,,,,,,,,
765,,,,,,,,,|765_765_8_391_,
766,,,,,,,,,,
767,,,|762_767_2_389_,,,,,,,
768,,,,,,|735_768_5_380_,,,,
769,,,,,,,,,,
770,,,,,,,,,,
771,,,,,,,,,,
772,,,,,,,,,,
773,,,,,|740_773_4_383_,,,,,
774,,,,,,,,,|734_774_8_379_,
775,,,|770_775_2_392_,,,,,,|755_775_8_387_|761_775_8_388_,
776,,,|771_776_2_393_,,,,,,,
777,,,,,|764_777_4_390_,,,,,
778,,,,,|739_778_4_382_,,,,,
779,,,,,,,,,,
780,,,,,,,,,,
781,,,|776_781_2_396_,,,|742_781_5_384_,,,,
782,,,,,,,,,,
783,,,,,,,,,,
784,,,,,,,,,|784_784_8_400_,
785,,,,,,,,,,
786,,,,,,,,,,
787,,,,,,,,,,
788,,,,,,,,,,
789,,,,,,,,,|775_789_8_395_,
790,,,,,,,,,|752_790_8_385_,
791,,,,,,,,,,
792,,,,,,,|787_792_6_401_,,,
793,,,,,,|754_793_5_386_,,,,
794,,,,,,,,,,
795,,,,,,,,,,
796,,,,,,,,,,
797,,,,,,,,,|794_797_8_403_|796_797_8_404_,
798,,,,,,,|793_798_6_402_,,,
799,,,,,,,,,,
800,,,,,,,,,|800_800_8_406_,
801,,,,,,,,,,
802,,,,,,,,,,
803,,,,,,,,,|803_803_8_408_,
804,,,,,,,,,|804_804_8_409_,
805,,,,,,,,,|805_805_8_410_,
806,,,,,,,,,,
807,,,|802_807_2_407_,,,,,,,
808,,,,,,,,,,
809,,,,,,,,,,
810,,,,,,,,,|810_810_8_412_,
811,,,,,,,,,,
812,,,,,|799_812_4_405_,,,,|812_812_8_414_,
813,,,,,|773_813_4_394_,,,,,
814,,,,,,,,,|814_814_8_415_,
815,,,,,,,,,|815_815_8_416_,
816,,,,,,,,,,
817,,,,,|809_817_4_411_,,,,,
818,,,,,,|778_818_5_397_,,,,
819,,,,,|781_819_4_399_,,,,,
820,,,,,|780_820_4_398_,,,,|820_820_8_420_,
821,,,|816_821_2_417_,,,,,,,
822,,,,,,,,,,
823,,,,,,,,,,
824,,,|819_824_2_419_,,,,,,,
825,,,,,,,,,,
826,,,,,,,,,,
827,,,,,,,,,,
828,,,|823_828_2_421_,,,,,,,
829,,,,,,,,,,
830,,,,,,,,,,
831,,,,,,,,,,
832,,,,,,,|830_832_6_424_,,,
833,,,|828_833_2_423_,,,,,,,
834,,,,,,,,,|834_834_8_426_,
835,,,|833_835_2_425_,,,,,,|835_835_8_427_,
836,,,,,,,,,,
837,,,,,,,,,,
838,,,,,,,,,|838_838_8_429_,
839,,,,,,,,,,
840,,,,,,,,,,
