tickNumber,in27,B14,B11,
499,,,,
500,,,,
501,,,,
502,,|463_502_1_247_,,
503,|474_503_0_255_,,,
504,,,,
505,,,,
506,,|469_506_1_251_,|466_506_2_249_,
507,,,|467_507_2_250_,
508,,,,
509,,,,
510,,,|470_510_2_252_,
511,,,,
512,,|508_512_1_274_,,
513,,|476_513_1_257_,,
514,,|480_514_1_259_,|501_514_2_271_,
515,,,,
516,,,,
517,,|485_517_1_262_,,
518,,,,
519,,,,
520,,,,
521,,,|481_521_2_260_,
522,,,,
523,,,,
524,,|486_524_1_263_,|484_524_2_261_,
525,,,,
526,,,,
527,,|488_527_1_264_,|494_527_2_269_,
528,,|492_528_1_268_,,
529,,,|489_529_2_265_,
530,,,,
531,,,|491_531_2_267_,
532,,|522_532_1_283_,,
533,,,,
534,,,,
535,,,|502_535_2_272_,
536,,,,
537,,,,
538,,|499_538_1_270_,,
539,,,,
540,,,|527_540_2_286_,
541,,,,
542,,,,
543,,,|509_543_2_275_,
544,,,,
545,,,,
546,|506_546_0_273_,,,
547,,|514_547_1_279_,,
548,,,,
549,,|513_549_1_278_,,
550,,|512_550_1_277_|516_550_1_280_,,
551,,,|511_551_2_276_,
552,,,,
553,,,,
554,,,,
555,,,,
556,,,,
557,,,,
558,,,,
559,,,|519_559_2_281_,
560,,|526_560_1_285_,,
561,,|521_561_1_282_,,
562,,,,
563,,|524_563_1_284_,,
564,,,,
565,,,,
566,,,,
567,,,,
568,,|563_568_1_301_,,
569,,,,
570,,,,
571,,,,
572,,,,
573,,,,
574,,|534_574_1_287_,,
575,,|535_575_1_288_,,
576,,,|576_576_2_306_,
577,,,,
578,,,,
579,,,|575_579_2_305_,
580,,,,
581,,,,
582,,,,
583,,|543_583_1_289_,,
584,,,|544_584_2_290_,
585,,|545_585_1_291_,,
586,,,,
587,,,|547_587_2_292_,
588,,,,
589,,,,
590,,|579_590_1_309_,|550_590_2_293_,
591,|551_591_0_294_,,,
592,,,|553_592_2_295_,
593,,,|561_593_2_300_,
594,,,|554_594_2_296_,
595,|555_595_0_297_,,,
596,,,,
597,,,,
598,,,|558_598_2_298_,
599,,,|560_599_2_299_,
600,,,,
601,,,|566_601_2_302_|570_601_2_304_,
602,,,,
603,,,,
604,,,,
605,,,,
606,,,,
607,,,|567_607_2_303_,
608,,,,
609,,,,
610,,,,
611,,,,
612,,,,
613,,,,
614,,,,
615,,,,
616,,,,
617,,,|577_617_2_307_|578_617_2_308_,
618,,,,
619,|580_619_0_310_,,,
620,,,|620_620_2_330_,
621,|581_621_0_311_,,,
622,,,,
623,,,,
624,|584_624_0_312_,,,
625,,,,
626,|586_626_0_313_,,,
627,,,,
628,,,,
629,,|597_629_1_319_,|589_629_2_314_|610_629_2_327_,
630,,|591_630_1_315_,,
631,,|626_631_1_334_,,
632,,|594_632_1_317_,|592_632_2_316_,
633,,,,
634,,,,
635,|595_635_0_318_,,,
636,,,,
637,,,,
638,,,,
639,,|599_639_1_320_,|606_639_2_324_,
640,,|600_640_1_321_,,
641,,,,
642,,,,
643,,|604_643_1_323_,|603_643_2_322_,
644,,,,
645,,,,
646,,,,
647,,|607_647_1_325_,,
648,,,,
649,,,|609_649_2_326_,
650,,,,
651,,,,
652,,,,
653,,,|621_653_2_331_,
654,,|615_654_1_328_,,
655,,,,
656,,,,
657,,,,
658,,,,
659,|619_659_0_329_,,,
660,,,,
661,,,,
662,|622_662_0_332_,,,
663,,,|623_663_2_333_,
664,,,,
665,,,,
666,,,,
667,,,,
668,,,,
669,,,,
670,,,|630_670_2_335_,
671,,,,
672,,,|632_672_2_336_,
673,,|633_673_1_337_,,
674,,,,
675,,,,
676,,,,
677,,,|637_677_2_338_,
678,,|670_678_1_358_,,
679,,,|642_679_2_340_,
680,,,|640_680_2_339_,
681,,,,
682,,,,
683,,,|643_683_2_341_,
684,,,,
685,,,|645_685_2_342_,
686,,,,
687,,|647_687_1_343_,|648_687_2_344_,
688,,,,
689,,,,
690,,|650_690_1_345_,,
691,,,,
692,,,|652_692_2_346_,
693,,,|653_693_2_347_,
694,,,,
695,,,,
696,,,,
697,,,,
698,,,|658_698_2_348_,
699,|659_699_0_349_,,,
700,,|660_700_1_350_,,
701,|661_701_0_351_,,,
702,,,,
703,,|663_703_1_352_,,
704,,,|664_704_2_353_,
705,|665_705_0_354_,,,
706,,,|666_706_2_355_,
707,,,,
708,,|668_708_1_356_,,
709,,,|669_709_2_357_,
710,,,,
711,,,,
712,,,,
713,,,|673_713_2_359_,
714,,,,
715,,|677_715_1_361_,|675_715_2_360_,
716,,,,
717,|678_717_0_362_,,,
718,,,,
719,,,,
720,,,,
721,,,|681_721_2_363_,
722,,,,
723,,,,
724,,,,
725,,,,
726,,,,
727,,|688_727_1_364_|692_727_1_365_,,
728,,,,
729,,,,
730,,,,
731,,,,
732,,,,
733,,|693_733_1_366_,,
734,,,,
735,,|695_735_1_367_,,
736,,,,
737,,,,
738,,,,
739,,,,
740,,,|702_740_2_369_,
741,,,|701_741_2_368_,
742,,,,
743,,,,
744,,,,
745,,,,
746,,|707_746_1_370_,,
747,,,,
748,|708_748_0_371_,,,
749,,,,
750,,|710_750_1_372_,,
751,,|711_751_1_373_,,
752,,,,
753,,,,
754,,,,
755,,,,
756,,,,
757,,|717_757_1_374_,|719_757_2_375_,
758,,,,
759,,,,
760,,,|720_760_2_376_,
761,,,,
762,,,,
763,,,,
764,,,,
765,,,|725_765_2_377_,
766,,,,
767,,,,
768,,,,
769,,|729_769_1_378_,,
770,,,,
771,,,,
772,,,,
773,,,,
774,,|734_774_1_379_,,
775,,,|735_775_2_380_,
776,,,|737_776_2_381_,
777,,,,
778,,,,
779,,,|739_779_2_382_,
780,,|740_780_1_383_,,
781,,,,
782,,,|742_782_2_384_,
783,,,,
784,,,,
785,,,,
786,,,,
787,,,,
788,,,,
789,,,,
790,,,,
791,,,,
792,,|752_792_1_385_,,
793,,,,
794,,,|754_794_2_386_,
795,,|755_795_1_387_|761_795_1_388_,,
796,,,,
797,,,,
798,,,,
799,,,,
800,,,,
801,,,,
802,,,|762_802_2_389_,
803,,,,
804,,|764_804_1_390_,,
805,,|765_805_1_391_,,
806,,,,
807,,,,
808,,,,
809,,,,
810,,,|770_810_2_392_,
811,,,|771_811_2_393_,
812,,,,
813,,|773_813_1_394_,,
814,,,,
815,,|775_815_1_395_,,
816,,,|776_816_2_396_,
817,,,,
818,|778_818_0_397_,,,
819,,,,
820,,|780_820_1_398_,|816_820_2_417_,
821,,|781_821_1_399_,,
822,,,,
823,,,,
824,,|784_824_1_400_,,
825,,,,
826,,,,
827,,,|787_827_2_401_,
828,,,,
829,,,,
830,,,,
831,,,|830_831_2_424_,
832,,,,
833,,,|793_833_2_402_,
834,,|794_834_1_403_,,
835,,,,
836,,|796_836_1_404_,,
837,,,,
838,,,,
839,,|799_839_1_405_,,
840,,|800_840_1_406_,,
841,,,,
842,,,|802_842_2_407_,
843,,|803_843_1_408_,,
844,,|804_844_1_409_,,
845,,|805_845_1_410_,,
846,,,,
847,,,,
848,,,,
849,,|809_849_1_411_,,
850,,|810_850_1_412_,,
851,,,|811_851_2_413_,
852,,|812_852_1_414_,,
853,,,,
854,,|814_854_1_415_,,
855,,|815_855_1_416_,,
856,,,,
857,,,|817_857_2_418_,
858,,,,
859,,,|819_859_2_419_,
860,,|820_860_1_420_,,
861,,,,
862,,,,
863,,,|823_863_2_421_,
864,,|824_864_1_422_,,
865,,,,
866,,,,
867,,,,
868,,|834_868_1_426_,|828_868_2_423_,
869,,,,
870,,,,
871,,,,
872,,,,
873,,,|833_873_2_425_,
874,,,,
875,,|835_875_1_427_,,
876,,,|836_876_2_428_,
877,,,,
878,,|838_878_1_429_,,
879,,,,
880,,,|840_880_2_430_,
881,,,,
882,,|842_882_1_431_,,
883,,,|843_883_2_432_,
884,,|844_884_1_433_,,
885,,,,
886,,,|846_886_2_434_,
887,,,|854_887_2_438_,
888,,,,
889,,,,
890,,|850_890_1_435_,,
891,,,|851_891_2_436_,
892,,,,
893,,,|853_893_2_437_,
894,,,,
895,,,,
896,,,|882_896_2_447_,
897,,,,
898,,,,
899,,,,
900,,,,
901,|861_901_0_439_,,,
902,,|862_902_1_440_,,
903,,,,
904,,,,
905,,,,
906,,,,
907,,,,
908,,,|868_908_2_441_,
909,,,,
910,,|870_910_1_442_,,
911,,,|871_911_2_443_,
912,,|872_912_1_444_,,
913,,|874_913_1_446_,|873_913_2_445_,
914,,,,
915,,,,
916,,,,
917,,,,
918,,,,
919,,,,
920,,,,
921,,,,
922,,,,
923,,,|883_923_2_448_,
924,,,,
925,,,|890_925_2_450_,
926,,,,
927,,,,
928,,,,
929,,,|889_929_2_449_,
930,,,,
931,,|898_931_1_456_,|891_931_2_451_,
932,,,,
933,,,|893_933_2_452_,
934,,|894_934_1_453_,,
935,,,|895_935_2_454_,
936,,,|896_936_2_455_,
937,,,,
938,,,,
939,,,,
940,,,,
941,|916_941_0_466_,,|901_941_2_457_,
942,,,,
943,,,,
944,,,,
945,,,,
946,,|906_946_1_458_,,
947,,,|907_947_2_459_,
948,,,|908_948_2_460_,
949,,,|909_949_2_461_,
950,,,,
951,,|911_951_1_462_,,
952,|912_952_0_463_,,,
953,,|913_953_1_464_,,
954,|914_954_0_465_,,,
955,,,,
956,,,,
957,,,,
958,,,|918_958_2_467_,
959,,,|919_959_2_468_,
960,,,,
961,,,,
962,,,,
963,,|923_963_1_469_,,
964,,,,
965,,,,
966,,,,
967,,|927_967_1_470_,,
968,,,|928_968_2_471_,
969,,,|929_969_2_472_,
970,,,,
971,,,,
972,|932_972_0_473_,,,
973,,,|933_973_2_474_,
974,,,|934_974_2_475_,
975,,,,
976,,,,
977,,,,
978,,|938_978_1_476_,,
979,,|939_979_1_477_,,
980,,,,
981,|941_981_0_478_,,,
982,,,,
983,,,,
984,,,|944_984_2_479_,
985,,|945_985_1_480_,,
986,,,,
987,,,|947_987_2_481_,
988,,,,
989,,,|949_989_2_482_,
990,,,,
991,,,|951_991_2_483_,
992,,|952_992_1_484_,,
993,,|953_993_1_485_,,
994,,,|954_994_2_486_,
995,,,|955_995_2_487_,
996,,,,
997,,,,
998,,|958_998_1_488_,,
999,,,,
1000,|960_1000_0_489_,,,
1001,,,,
1002,,,,
1003,,,,
1004,,,,
1005,,,,
1006,,,,
1007,|967_1007_0_490_,,,
1008,,|968_1008_1_491_,,
1009,,,|969_1009_2_492_,
1010,,,|970_1010_2_493_,
1011,,,,
1012,,,,
1013,,,,
1014,,,,
1015,,,,
1016,,,|990_1016_2_500_,
1017,,,|977_1017_2_494_,
1018,,,,
1019,,|979_1019_1_495_,,
1020,,,|980_1020_2_496_,
1021,,,|981_1021_2_497_,
1022,,,|982_1022_2_498_,
1023,,,,
1024,,,,
1025,,,|985_1025_2_499_,
1026,,,,
1027,,,,
1028,,,,
1029,,,,
1030,,,,
1031,,,,
1032,,|992_1032_1_501_,,
1033,,,,
1034,,,,
1035,,,,
1036,,,,
1037,,,,
1038,,,,
1039,,,,
1040,,,,
1041,,,|1001_1041_2_502_,
1042,,|1002_1042_1_503_,,
1043,,|1003_1043_1_504_,,
1044,,,,
1045,,,,
1046,,,,
1047,,,|1007_1047_2_505_,
1048,,,,
1049,|1009_1049_0_506_,,,
1050,,,,
1051,,,,
1052,,|1012_1052_1_507_,,
1053,,,,
1054,|1014_1054_0_508_,,,
1055,,,,
1056,|1016_1056_0_509_,,,
1057,,|1017_1057_1_510_,,
1058,,,,
1059,,,,
1060,,,,
1061,,,,
1062,,,,
1063,,,|1023_1063_2_511_,
1064,,,,
1065,,,|1025_1065_2_512_,
1066,,|1026_1066_1_513_,,
1067,,,|1027_1067_2_514_,
1068,,,,
1069,,,,
1070,,,|1030_1070_2_515_,
1071,,,,
1072,,,|1032_1072_2_516_,
1073,,,|1033_1073_2_517_,
1074,,,|1034_1074_2_518_,
1075,,,|1035_1075_2_519_,
1076,,,,
1077,,,,
1078,,,,
1079,,,,
1080,,,,
1081,|1074_1081_0_532_,,,
1082,,,|1042_1082_2_520_,
1083,,|1043_1083_1_521_,,
1084,,,,
1085,|1045_1085_0_522_,,,
1086,,,,
1087,,,,
1088,,,,
1089,,,,
1090,,,,
1091,,,,
1092,,,|1052_1092_2_523_,
1093,,,|1053_1093_2_524_,
1094,,,,
1095,,|1055_1095_1_525_,,
1096,,,|1056_1096_2_526_,
1097,,,|1057_1097_2_527_,
1098,,,,
1099,,,|1059_1099_2_528_,
1100,,,,
1101,|1061_1101_0_529_,,,
1102,,,|1062_1102_2_530_,
1103,,|1063_1103_1_531_,,
1104,,,,
1105,|1096_1105_0_542_,,,
1106,,,,
1107,,,,
1108,,,,
1109,,,,
1110,,,,
1111,,,,
1112,,,,
1113,,,,
1114,,,,
1115,,|1075_1115_1_533_,,
1116,,,,
1117,,,,
1118,,,,
1119,,|1079_1119_1_534_,,
1120,,,,
1121,,,|1081_1121_2_535_,
1122,,,|1082_1122_2_536_,
1123,,,,
1124,,,|1084_1124_2_537_,
1125,,,|1085_1125_2_538_,
1126,,,,
1127,,|1087_1127_1_539_,,
1128,,,,
1129,,,,
1130,,|1090_1130_1_540_,,
1131,,,,
1132,,,,
1133,,,,
1134,,,,
1135,,|1095_1135_1_541_,,
1136,,,,
1137,,,|1097_1137_2_543_,
1138,,,|1098_1138_2_544_,
1139,,,|1099_1139_2_545_,
1140,|1100_1140_0_546_,,,
1141,,,|1101_1141_2_547_,
1142,,,,
1143,,,,
1144,,,|1104_1144_2_548_,
1145,,|1105_1145_1_549_,,
1146,,,,
1147,,,,
1148,,,,
1149,,,,
1150,,,|1110_1150_2_550_,
1151,,,,
1152,,,,
1153,,,,
1154,,|1114_1154_1_551_,,
1155,,,|1115_1155_2_552_,
1156,,,,
1157,,,,
1158,,,|1118_1158_2_553_,
1159,,,,
1160,,,,
1161,,,,
1162,|1122_1162_0_554_,,,
1163,,,,
1164,,,,
1165,,,,
1166,,|1126_1166_1_555_,,
1167,,,,
1168,,,|1128_1168_2_556_,
1169,,,,
1170,,,,
1171,,,,
1172,,|1132_1172_1_557_,,
1173,,,,
1174,,,|1134_1174_2_558_,
1175,,|1135_1175_1_559_,,
1176,,,,
1177,,,|1137_1177_2_560_,
1178,,,,
1179,,,,
1180,,,,
1181,,,,
1182,,|1142_1182_1_561_,,
1183,,,,
1184,,,|1144_1184_2_562_,
1185,,,,
1186,,,,
1187,,,,
1188,,,|1148_1188_2_563_,
1189,,,,
1190,,,,
1191,,,,
1192,,,,
1193,,,,
1194,,,|1154_1194_2_564_,
1195,,,|1155_1195_2_565_,
1196,,,|1156_1196_2_566_,
1197,,,,
1198,,,,
1199,,,|1159_1199_2_567_,
1200,,,,
1201,,,,
1202,,,,
1203,,,,
1204,,,|1164_1204_2_568_,
1205,,,,
1206,,,,
1207,,,|1167_1207_2_569_,
1208,,,,
1209,,,,
1210,,,|1171_1210_2_570_,
1211,,,,
1212,,,|1172_1212_2_571_,
1213,,,,
1214,,,,
1215,,,,
1216,,,|1176_1216_2_572_,
1217,,,,
1218,,,|1178_1218_2_573_,
1219,,|1179_1219_1_574_,,
1220,,,|1180_1220_2_575_,
1221,,,|1181_1221_2_576_,
1222,,|1182_1222_1_577_,,
1223,,,,
1224,,|1184_1224_1_578_,,
1225,,,,
1226,,,,
1227,,,,
1228,,,,
1229,,,|1189_1229_2_579_,
1230,,,|1190_1230_2_580_,
1231,,,,
1232,,,|1192_1232_2_581_,
1233,,|1193_1233_1_582_,,
1234,,,,
1235,,|1195_1235_1_583_,,
1236,,,,
1237,,|1197_1237_1_584_,,
1238,,,,
1239,,,,
1240,,,,
1241,,,|1201_1241_2_585_,
1242,,,,
1243,,,,
1244,|1204_1244_0_586_,,,
1245,,,,
1246,,,,
1247,,,|1207_1247_2_587_,
1248,,,|1208_1248_2_588_,
1249,,,,
1250,,,,
1251,,,,
1252,,,,
1253,,,,
1254,,,,
1255,,,,
1256,,|1216_1256_1_589_,,
1257,,,,
1258,,|1218_1258_1_590_,,
1259,,,|1219_1259_2_591_,
1260,,,,
1261,,,|1221_1261_2_592_,
1262,,|1222_1262_1_593_,,
1263,,,,
1264,,,,
1265,,,,
1266,,,|1226_1266_2_594_|1228_1266_2_596_,
1267,|1227_1267_0_595_,,,
1268,,,,
1269,,,,
1270,,,,
1271,,,,
1272,,,|1232_1272_2_597_,
1273,,|1233_1273_1_598_,,
1274,,,,
1275,,,,
1276,,,,
1277,,,|1237_1277_2_599_,
1278,,,,
1279,,,,
1280,,,|1240_1280_2_600_,
1281,,,,
1282,,,|1242_1282_2_601_,
1283,,,,
1284,,,,
1285,,,,
1286,,,,
1287,,,,
1288,,,,
1289,,,,
1290,|1250_1290_0_602_,,,
1291,,,,
1292,,,,
1293,,,|1253_1293_2_603_,
1294,,,|1254_1294_2_604_,
1295,,|1255_1295_1_605_,,
1296,,,,
1297,,,,
1298,,,,
1299,,,,
1300,,,,
1301,,,,
1302,,,,
1303,,,,
1304,,|1264_1304_1_606_,,
1305,,,,
1306,,|1266_1306_1_607_,,
1307,,,,
1308,,,,
1309,,|1269_1309_1_608_,,
1310,,,|1270_1310_2_609_,
1311,,,,
1312,,,,
1313,,,,
1314,,,,
1315,,,,
1316,,,,
1317,,|1277_1317_1_610_,,
1318,,,,
